N	2gram	Nazirov_Tr	Narrotol
1	не только	8	62
2	и не	7	50
3	при этом	3	47
4	но и	4	45
5	а не	1	38
6	в частности	2	31
7	может быть	7	30
8	и в	18	30
9	в том	2	29
10	в этом	9	28
11	тогда как	1	28
12	своего рода	3	28
13	том что	4	28
14	представляет собой	1	25
15	только в	1	25
16	в данном	2	24
17	как и	5	24
18	не в	2	23
19	то что	4	23
20	то есть	3	22
21	не может	5	20
22	в рассказе	2	18
23	в себе	4	17
24	данном случае	2	17
25	так и	5	17
26	а также	1	17
27	в его	3	16
28	к тому	2	15
29	но в	6	15
30	и его	6	14
31	то же	5	13
32	в своей	1	13
33	уже не	2	13
34	о том	2	13
35	в своем	3	13
36	у него	6	13
37	все же	5	12
38	как в	3	12
39	перед нами	2	12
40	как бы	7	12
41	прежде всего	4	12
42	об этом	4	11
43	к себе	1	11
44	в мире	3	11
45	в этой	4	11
46	в нем	4	11
47	жизни в	1	11
48	в отличие	2	11
49	отличие от	2	11
50	тем самым	3	11
51	один из	3	10
52	никогда не	2	10
53	между тем	1	10
54	как это	3	10
55	в то	5	10
56	и все	4	10
57	не является	1	10
58	с его	2	10
59	ничего не	2	10
60	того что	1	10
61	но не	1	10
62	и т.д	1	10
63	тем не	1	9
64	не сводится	1	9
65	я в	1	9
66	столь же	2	9
67	отнюдь не	3	9
68	что в	4	9
69	с ним	3	9
70	что он	6	9
71	еще не	4	9
72	потому что	2	9
73	для него	3	9
74	в той	1	8
75	в самом	2	8
76	в таком	2	8
77	о чем	3	8
78	не менее	1	8
79	матери и	1	8
80	не мог	2	8
81	одна из	2	8
82	он не	2	8
83	и он	3	8
84	самом деле	1	8
85	того чтобы	1	8
86	же время	6	8
87	в литературе	1	8
88	но при	2	8
89	в финале	1	7
90	в котором	1	7
91	в ее	2	7
92	на себя	1	7
93	в конце	3	7
94	в чем	1	7
95	и на	7	7
96	в форме	1	7
97	это не	5	7
98	в глазах	2	7
99	в ней	1	7
100	в целом	4	7
101	в результате	1	6
102	например в	1	6
103	то в	1	6
104	с одной	1	6
105	что и	2	6
106	могло бы	1	6
107	героя и	1	6
108	на другой	1	6
109	не могла	1	6
110	таким образом	1	6
111	то и	2	6
112	о нем	1	6
113	как у	2	6
114	слова в	1	6
115	вплоть до	1	6
116	в центре	1	5
117	только что	1	5
118	дело с	1	5
119	не столько	1	5
120	и даже	4	5
121	и сам	3	5
122	именно в	1	5
123	в другом	1	5
124	в одном	2	5
125	он сам	7	5
126	к нему	3	5
127	начала и	1	5
128	бы и	2	5
129	не было	1	5
130	я не	4	5
131	так сказать	1	5
132	между собой	1	5
133	по поводу	2	5
134	и от	1	5
135	с ее	3	5
136	и здесь	2	5
137	что это	5	5
138	с ними	1	5
139	стало быть	1	5
140	и то	2	5
141	свидетельствует о	1	5
142	о жизни	2	5
143	еще в	2	5
144	не случайно	2	5
145	и о	1	5
146	как будто	3	5
147	в душе	2	4
148	еще раз	2	4
149	и мира	1	4
150	в виду	1	4
151	по себе	1	4
152	в них	1	4
153	в первом	2	4
154	и с	7	4
155	ведет к	1	4
156	не вполне	1	4
157	роль в	1	4
158	когда в	1	4
159	которой он	1	4
160	хотя бы	1	4
161	только на	1	4
162	но они	2	4
163	в эпизоде	1	4
164	который в	2	4
165	ситуации и	1	4
166	несмотря на	5	4
167	к жизни	5	4
168	и притом	1	4
169	тому что	1	4
170	по своей	1	4
171	и по	1	4
172	и ее	2	4
173	это уже	2	4
174	вместе с	1	4
175	не имеет	2	4
176	во сне	2	4
177	в обоих	1	4
178	в сфере	1	4
179	в поле	3	4
180	мог бы	3	4
181	что я	4	4
182	всяком случае	1	4
183	друг друга	2	4
184	в ходе	2	4
185	ему в	1	4
186	во всяком	1	4
187	для нас	1	4
