N	4gram	Bakhtin_sl	Dialekti
1	в то же время	15	14
2	одно и то же	2	12
3	в то время как	2	8
4	и в то же	6	6
5	одной и той же	1	5
6	с этой точки зрения	1	4
7	с одной стороны и	2	4
8	с точки зрения самого	2	3
9	на самом же деле	1	3
10	но в то же	6	3
11	и с другой стороны	2	2
12	с той или иной	1	2
13	дело в том что	1	2
14	не с точки зрения	1	2
15	ни в чем не	1	2
16	тем не менее в	1	2
17	то же время и	2	2
18	никогда не может быть	2	1
19	именно в том что	1	1
20	в том и в	2	1
21	необходимо иметь в виду	1	1
22	как мы уже сказали	3	1
23	как одно и то	1	1
24	том и в другом	2	1
25	все более и более	1	1
26	в том что в	1	1
27	и т д если	1	1
28	на ту же тему	2	1
29	и в другом случае	2	1
30	то время как поэзия	1	1
31	бы то ни было	1	1
32	мы имеем в виду	1	1
33	рассматривать с точки зрения	1	1
34	уходит своими корнями в	2	1
35	но и в смысле	1	1
36	и не может избежать	1	1
37	то с точки зрения	1	1
38	для нас в данном	1	1
39	до сих пор не	2	1
40	в широком смысле но	1	1
41	не только в смысле	1	1
42	может идти не о	1	1
43	и в том и	2	1
44	не уходит своими корнями	1	1
45	а в том что	1	1
46	только один и единственный	1	1
47	как бы она ни	1	1
48	нужно отнести также и	1	1
49	нас в данном случае	1	1
50	бы она ни была	1	1
51	можно прямо сказать что	2	1
52	в том что он	1	1
53	не может находиться в	1	1
54	и с точки зрения	1	1
55	и нет ничего что	1	1
56	в зависимости от характера	1	1
57	привело к тому что	1	1
58	ту же тему и	1	1
