N	2gram	Bakhtin_fo	Morfolog
1	и т	21	62
2	может быть	18	61
3	т д	3	60
4	и пр	2	45
5	таким образом	14	26
6	действующих лиц	1	22
7	могут быть	7	21
8	так как	12	20
9	мы имеем	2	19
10	не может	8	19
11	в этом	41	18
12	в этих	6	17
13	и в	84	17
14	и не	19	16
15	мы видим	4	15
16	перед нами	1	14
17	с этим	11	14
18	прежде всего	28	14
19	эта форма	2	14
20	по существу	17	13
21	при помощи	1	12
22	связи с	14	12
23	и др	13	12
24	а не	7	11
25	чаще всего	1	11
26	что в	9	10
27	то же	18	10
28	а затем	3	10
29	вопрос о	2	10
30	мы увидим	2	10
31	этом случае	1	10
32	в том	16	10
33	так и	17	10
34	что и	5	10
35	в связи	13	10
36	то что	13	10
37	все же	12	9
38	с другой	4	9
39	но и	14	9
40	можно наблюдать	1	8
41	не только	16	8
42	в результате	6	8
43	имеем в	3	8
44	мы не	4	8
45	в качестве	6	8
46	но не	9	8
47	в тех	1	8
48	а в	6	8
49	как мы	19	8
50	во втором	2	7
51	один из	5	7
52	и здесь	2	7
53	если в	1	7
54	не могут	4	7
55	том что	7	7
56	потому что	11	7
57	по отношению	3	7
58	наряду с	7	7
59	точки зрения	14	7
60	как это	2	7
61	и этим	2	7
62	а также	5	7
63	отношению к	5	7
64	и другие	6	6
65	о том	4	6
66	как бы	11	6
67	но это	1	6
68	это не	8	6
69	с точки	9	6
70	в образе	8	6
71	в нашем	3	6
72	или в	3	6
73	и как	12	6
74	вовсе не	20	6
75	во всех	13	6
76	если мы	2	6
77	очень часто	1	6
78	также и	6	6
79	в форме	5	6
80	во время	7	6
81	они и	1	5
82	героя в	1	5
83	этот момент	2	5
84	из которых	1	5
85	другой стороны	1	5
86	начинается с	2	5
87	что он	2	5
88	как в	10	5
89	хотя бы	2	5
90	было бы	2	5
91	к тому	6	5
92	ничего не	9	5
93	что они	3	5
94	хотя и	5	5
95	прежде чем	3	5
96	тому что	1	5
97	учение о	1	5
98	ясно что	2	5
99	все эти	12	5
100	одна из	3	5
101	между собой	5	5
102	на его	1	5
103	об этом	3	5
104	в других	9	5
105	там где	4	5
106	мы можем	2	5
107	сюда же	2	5
108	между тем	1	5
109	он не	6	5
110	то перед	1	5
111	далеко не	3	5
112	и затем	1	5
113	главным образом	1	5
114	в целом	2	5
115	и ее	4	5
116	и к	4	4
117	смысле слова	4	4
118	в некоторых	4	4
119	есть и	4	4
120	на этом	2	4
121	нами в	1	4
122	как и	15	4
123	самом деле	2	4
124	но все	6	4
125	тем что	4	4
126	никто не	2	4
127	уже не	5	4
128	еще не	8	4
129	не является	4	4
130	тех же	2	4
131	входит в	3	4
132	того чтобы	11	4
133	говорить о	1	4
134	так же	7	4
135	сказать что	4	4
136	следующим образом	1	4
137	на него	1	4
138	основные формы	1	4
139	на котором	2	4
140	и для	12	4
141	из них	8	4
142	но в	16	4
143	герой и	2	4
144	несмотря на	1	4
145	на самом	1	4
146	его в	8	4
147	к этому	5	4
148	в то	13	4
149	мы уже	17	4
150	этот вопрос	1	4
151	в иных	1	4
152	могла бы	1	4
153	значит что	2	4
154	в пропасть	1	4
155	независимо от	1	4
156	всего это	2	3
157	то время	4	3
158	та же	4	3
159	в последнем	3	3
160	с этой	3	3
161	и при	1	3
162	по всему	3	3
163	что это	1	3
164	это уже	1	3
165	в сущности	5	3
166	ни в	9	3
167	этого момента	2	3
168	как таковых	1	3
169	с собой	2	3
170	только в	12	3
171	и вызывает	1	3
172	в плоскости	2	3
173	здесь мы	4	3
174	время как	5	3
175	женится на	1	3
176	или на	1	3
177	можно назвать	2	3
178	есть нечто	1	3
179	состоит из	1	3
180	имеется в	1	3
181	но мы	1	3
182	на первый	2	3
183	не существует	1	3
184	и что	1	3
185	связана с	1	3
186	для того	12	3
187	но эти	4	3
188	и тогда	1	3
189	или не	2	3
190	вне связи	1	3
191	целый ряд	2	3
192	здесь прежде	1	3
193	ее по	3	3
194	и вне	3	3
195	здесь не	5	3
196	с его	10	3
197	в отдельных	2	3
198	кроме того	7	3
199	для этой	1	3
200	в настоящее	1	3
201	он должен	2	3
202	то в	2	3
203	не происходит	1	3
204	к герою	1	3
205	формы которые	1	3
206	они не	4	3
207	благодаря этому	1	3
208	и функции	1	3
209	сам он	1	3
210	того что	5	3
211	ее в	2	3
212	задачи на	1	3
213	но как	1	3
214	у нас	2	3
215	это и	1	3
216	и есть	3	3
217	в ином	1	3
218	в виде	1	3
219	а на	1	3
220	в таких	2	3
221	животных и	2	3
222	но для	2	3
223	здесь же	2	3
224	к месту	1	3
225	большинстве случаев	2	3
226	даже не	2	3
227	из дому	1	3
228	по функциям	2	3
229	это было	2	3
230	форма в	3	3
231	и у	8	3
232	героя и	7	3
233	как уже	3	3
234	для наших	1	3
235	совсем не	4	3
236	если бы	6	3
237	друг друга	3	3
238	мы должны	2	3
239	из ряда	1	3
240	и тем	1	3
241	не в	10	3
242	в которой	3	3
243	и их	11	3
244	в начале	3	3
245	в пределах	8	3
246	пр и	1	3
247	в большинстве	3	3
248	требует чтобы	1	3
249	значение и	7	3
250	в этой	3	3
251	вступают в	3	3
252	к ней	2	3
253	приводит к	1	3
254	но есть	1	3
255	не значит	1	3
256	мы будем	5	3
257	же в	6	3
258	на то	1	3
259	и его	26	3
260	и по	5	3
261	и только	3	3
262	в один	2	3
263	следует за	1	3
264	от него	1	2
265	которой все	1	2
266	к другу	2	2
267	друг к	2	2
268	сюжета от	1	2
269	самого себя	1	2
270	д он	1	2
271	должна быть	1	2
272	вопросу о	3	2
273	и дает	3	2
274	другой пример	1	2
275	или просто	1	2
276	различным образом	1	2
277	он действует	2	2
278	например с	1	2
279	все действие	2	2
280	формах в	1	2
281	не меняет	1	2
282	лишь на	1	2
283	и тот	2	2
284	не на	4	2
285	или непосредственно	1	2
286	оно не	3	2
287	как они	1	2
288	в своих	1	2
289	под углом	2	2
290	например в	7	2
291	в числе	1	2
292	с тем	5	2
293	очень важный	3	2
294	их в	6	2
295	рассматриваются как	1	2
296	в которых	4	2
297	себя и	6	2
298	только для	2	2
299	не имеет	5	2
300	по этим	2	2
301	углом зрения	2	2
302	роль в	12	2
303	поставить вопрос	1	2
304	в каком	2	2
305	к другому	2	2
306	не входит	2	2
307	но оно	2	2
308	во всяком	5	2
309	или ее	1	2
310	его и	2	2
311	можно сказать	2	2
312	в данном	4	2
313	в основе	9	2
314	и более	3	2
315	что этот	1	2
316	что мы	2	2
317	в очень	1	2
318	такую же	1	2
319	к отдельным	1	2
320	но здесь	1	2
321	одной стороны	3	2
322	на друга	4	2
323	царя и	1	2
324	в другом	2	2
325	другу и	1	2
326	в каких	1	2
327	том как	2	2
328	оно как	1	2
329	к себе	8	2
330	с большой	3	2
331	особое место	2	2
332	и больше	1	2
333	увидим что	1	2
334	в одном	10	2
335	в различных	2	2
336	от других	1	2
337	в совершенно	3	2
