N	3gram	Losev_Dial	Analitik
1	в том что	12	25
2	не может быть	12	19
3	в то же	3	16
4	о том что	6	15
5	в данном случае	3	14
6	в отличие от	1	14
7	то же время	3	14
8	той или иной	2	14
9	к тому же	2	13
10	в конечном счете	1	11
11	мы имеем дело	1	11
12	того или иного	3	9
13	с другой стороны	3	9
14	по крайней мере	10	9
15	подобно тому как	5	9
16	с одной стороны	3	9
17	с точки зрения	25	8
18	как и в	3	8
19	не только в	1	8
20	в этом отношении	2	8
21	в свое время	1	7
22	в таком случае	11	7
23	во всяком случае	3	7
24	что иное как	6	7
25	тем не менее	10	6
26	по природе своей	1	6
27	так или иначе	2	6
28	не что иное	6	6
29	не только не	7	5
30	есть не что	3	5
31	в нашем случае	1	4
32	все той же	1	4
33	в самом деле	6	4
34	для того чтобы	1	4
35	не в том	5	4
36	собственно говоря и	1	4
37	тех или иных	2	4
38	и не может	1	4
39	и в этом	4	4
40	и не в	1	4
41	в этом смысле	1	4
42	из того что	2	4
43	с той или	1	4
44	сама по себе	11	4
45	в основе своей	1	4
46	и как бы	2	3
47	и то что	1	3
48	и т п	1	3
49	дело не в	1	3
50	крайней мере в	3	3
51	далеко не всегда	1	3
52	сам по себе	6	3
53	сами по себе	3	3
54	именно в этом	1	3
55	бы то ни	2	3
56	в глубине души	1	3
57	речь идет о	1	3
58	в зависимости от	3	3
59	не о том	1	3
60	то ни было	1	3
61	в связи с	3	3
62	то же самое	1	3
63	как раз и	3	3
64	можно сказать что	1	3
65	и той же	4	3
66	имеем дело не	1	3
67	включает в себя	1	3
68	содержит в себе	2	3
69	одной и той	4	3
70	но о том	1	3
71	не могут быть	3	3
72	тот или иной	2	3
73	при условии что	2	2
74	в применении к	1	2
75	такой же мере	1	2
76	в коем случае	4	2
77	ничего не говорит	5	2
78	но ведь и	1	2
79	с этой точки	4	2
80	не только его	2	2
81	более или менее	1	2
82	одних и тех	2	2
83	до сих пор	1	2
84	и тех же	2	2
85	в такой же	1	2
86	ни в коем	4	2
87	в особенности же	1	2
88	в собственном значении	1	2
89	и прежде всего	6	2
90	и то же	2	2
91	что не есть	3	2
92	к тому что	2	2
93	а не только	2	2
94	коем случае не	4	2
95	в чистом виде	1	2
96	вместе с ним	1	2
97	на то что	3	2
98	в данный момент	2	2
99	заключается в том	1	2
100	в сравнении с	5	2
101	этой точки зрения	4	2
102	есть в сущности	2	2
103	не в состоянии	1	2
104	того и другого	1	2
105	до тех пор	1	2
106	личности а не	1	2
107	не говоря уже	6	2
