N	3gram	Propp_Morf	Psycholo
1	в том что	4	78
2	для того чтобы	3	70
3	на то что	3	55
4	о том что	3	34
5	совершенно ясно что	1	33
6	с точки зрения	6	29
7	с одной стороны	2	28
8	не может быть	9	23
9	до сих пор	1	23
10	и т д	60	22
11	к тому что	4	20
12	с другой стороны	5	20
13	мы увидим что	2	19
14	на самом деле	4	17
15	мы видим что	11	16
16	с самого начала	1	16
17	во всяком случае	2	14
18	в то время	3	14
19	в этом отношении	2	14
20	можно было бы	2	13
21	то время как	3	13
22	этой точки зрения	1	12
23	то что он	1	11
24	то что в	2	11
25	подобно тому как	5	11
26	с этой точки	1	10
27	только в том	1	10
28	том что он	1	10
29	потому что в	1	9
30	таким образом что	1	9
31	надо сказать что	1	9
32	не то что	1	9
33	в том случае	3	9
34	точно так же	2	9
35	в данном случае	2	9
36	и то же	1	8
37	друг с другом	1	8
38	и таким образом	2	8
39	так как это	1	7
40	состоит в том	3	7
41	бы сказать что	1	7
42	на этот вопрос	1	7
43	том случае если	2	7
44	если бы мы	1	7
45	в свою очередь	1	7
46	можно сказать что	1	7
47	одно и то	1	7
48	что и в	1	7
49	как и в	3	7
50	и может быть	1	6
51	было бы сказать	1	6
52	не что иное	2	6
53	мы не можем	1	6
54	и тот же	1	6
55	тем не менее	6	6
56	более или менее	2	6
57	и что следовательно	1	6
58	что иное как	2	6
59	друг к другу	2	6
60	о том как	2	5
61	в собственном смысле	3	5
62	в первый раз	1	5
63	в таком случае	1	5
64	образом мы видим	4	5
65	что в основе	1	5
66	один и тот	1	5
67	как бы в	1	5
68	вместо того чтобы	1	5
69	потому что они	1	5
70	вслед за этим	1	4
71	в применении к	1	4
72	в настоящее время	3	4
73	о котором говорит	1	4
74	правильнее было бы	1	4
75	но так как	2	4
76	те или иные	1	4
77	и в этой	1	4
78	собственном смысле слова	3	4
79	таким образом мы	7	4
80	и когда мы	1	4
81	как раз обратное	1	4
82	вопрос о том	2	4
83	это было бы	1	4
84	он не может	1	4
85	не значит что	3	4
86	в этой области	1	4
87	мы должны будем	1	4
88	все более и	1	4
89	одна из них	1	4
90	более и более	1	4
91	так как они	1	4
92	не потому что	1	3
93	но если бы	1	3
94	и как он	1	3
95	и там где	1	3
96	по отношению к	7	3
97	действующих лиц и	1	3
98	ни одна из	1	3
99	не могут быть	4	3
100	между тем в	1	3
101	а вовсе не	2	3
102	может быть и	2	3
103	она должна быть	1	3
104	может быть дано	1	3
105	которые не могут	1	3
106	иметь в виду	1	3
107	бросается в глаза	1	3
108	в том или	1	3
109	в высшей степени	1	3
110	бы то ни	3	3
111	то же время	1	3
112	ясно что и	1	3
113	является то что	1	3
114	так как мы	1	3
115	говорить о том	2	3
116	в то же	1	3
117	он может быть	2	3
118	оно может быть	2	3
119	во всех этих	1	3
120	в этом случае	10	3
121	то что ему	1	3
122	приводит к тому	1	3
123	после того как	1	3
124	с этим и	1	2
125	мы уже знаем	1	2
126	он как бы	1	2
127	дело не в	2	2
128	который может быть	1	2
129	решить вопрос о	1	2
130	в том порядке	1	2
131	должны рассматриваться как	2	2
132	видим таким образом	1	2
133	следующим образом если	1	2
134	в точном смысле	1	2
135	к вопросу о	2	2
136	с тем как	1	2
137	это значит что	1	2
138	но в этом	1	2
139	в тех случаях	2	2
140	в связи с	9	2
141	т д и	1	2
142	и тем не	2	2
143	т д все	1	2
144	той или иной	1	2
145	а на самом	1	2
146	в целом не	1	2
147	в чем же	1	2
148	то мы увидим	1	2
149	который позволил бы	1	2
150	как один из	1	2
151	не означает что	1	2
152	или во всяком	1	2
153	здесь мы имеем	1	2
154	если мы не	3	2
155	самом деле в	1	2
156	это еще не	2	2
157	это и не	2	2
158	порядке в каком	1	2
159	мы имеем в	2	2
160	которое может быть	2	2
161	может быть объяснено	1	2
162	как мы увидим	5	2
163	самом деле он	1	2
164	бы в том	1	2
165	то это еще	1	2
166	мы увидим ниже	6	2
167	так например в	1	2
168	перед нами в	1	2
169	но они не	1	2
170	все же в	1	2
171	в первом случае	3	2
172	было бы показать	1	2
173	тех или иных	1	2
174	есть не что	1	2
175	то ни было	2	2
176	если это так	2	2
177	к которой все	1	2
178	так же и	1	2
179	сих пор не	1	2
180	то для того	1	2
181	мы приходим к	3	2
182	хотя и не	2	2
183	там где есть	1	2
184	но никто не	2	2
185	мы видим таким	1	2
186	указанием на то	1	2
187	составные части но	1	2
188	и здесь можно	1	1
189	отличие от других	1	1
190	но то что	1	1
191	все это мы	1	1
192	чаще всего в	1	1
193	чем перейти к	1	1
194	те случаи когда	1	1
195	что далеко не	1	1
196	можно себе представить	1	1
197	следует остановиться на	1	1
198	наряду с этими	1	1
199	то что не	1	1
200	один из них	1	1
201	том что такое	1	1
202	от него герой	1	1
203	ни в каких	1	1
204	она могла бы	1	1
205	с другими формами	1	1
206	в коем случае	1	1
207	в какой степени	1	1
208	всем ее объеме	1	1
209	здесь мы говорили	1	1
210	не соответствуют тому	1	1
211	как мы уже	1	1
212	обращаются с просьбой	2	1
213	к другу и	2	1
214	материала еще не	1	1
215	первый раз он	1	1
216	могут быть изучены	1	1
217	что под этим	1	1
218	из которых один	2	1
219	даже в тех	1	1
220	за тридевять земель	1	1
221	представители этой школы	1	1
222	в наши дни	1	1
223	из них не	1	1
224	одна из форм	1	1
225	можно показать что	2	1
226	хотя бы только	1	1
227	мы увидим как	1	1
228	не входит в	2	1
229	и здесь этот	1	1
230	во время боя	2	1
231	тем мы видим	1	1
232	что вопрос о	1	1
233	но все же	4	1
234	как это уже	1	1
235	одновременно с этим	1	1
236	в одном случае	1	1
237	то прежде всего	2	1
238	то это значит	1	1
239	на этом основании	1	1
240	но это не	1	1
241	наших целей это	1	1
242	еще упомянуть о	1	1
243	а также и	5	1
244	существу вовсе не	1	1
245	представляют собой наиболее	1	1
246	и могут быть	1	1
247	т д то	1	1
248	и др это	1	1
249	главным образом и	1	1
250	мы скажем что	1	1
251	это так то	1	1
252	значит что его	1	1
253	однако если мы	1	1
254	с того что	2	1
255	с первых же	1	1
256	смысле слова она	1	1
257	они и в	1	1
258	а затем уже	1	1
259	ясно что это	1	1
260	во всех других	1	1
261	ни в коем	1	1
262	как это видно	1	1
263	мы нашли что	1	1
264	потому что его	2	1
265	как таковые как	1	1
266	тем и другим	2	1
267	связи с этим	5	1
268	как таковое не	1	1
269	в этом и	1	1
270	мы переходим к	1	1
271	мы не сумеем	2	1
272	независимо от того	4	1
273	со всеми другими	1	1
274	мы будем говорить	1	1
275	уже не может	1	1
276	они все же	1	1
277	как это обычно	1	1
278	совсем не так	1	1
279	показать как в	1	1
280	все эти вопросы	1	1
281	так как та	1	1
282	и по этим	1	1
283	весь этот материал	1	1
284	таким образом принцип	1	1
285	вполне может быть	1	1
286	вдруг совершенно неожиданно	1	1
287	мы уже видели	2	1
288	которые могут быть	1	1
289	следует отличать от	1	1
290	даже не упоминается	1	1
291	которые должны быть	1	1
292	и другое что	1	1
293	в совершенно другом	1	1
294	не говорится и	1	1
295	тем что она	1	1
296	лиц и их	1	1
297	она может быть	1	1
298	бы мы имели	1	1
299	и вслед за	1	1
300	изучения в то	1	1
301	в чем она	1	1
302	тому что при	1	1
303	статей и заметок	1	1
304	точки зрения их	1	1
305	коем случае не	1	1
306	из которых каждый	1	1
307	видим что с	1	1
308	в другом случае	1	1
309	только в тех	1	1
310	вовсе не необходимо	1	1
311	том случае когда	1	1
312	при помощи которых	1	1
313	в этой главе	1	1
314	в отдельности может	1	1
315	между героем и	1	1
316	свои законы и	1	1
317	может войти в	1	1
318	следующим образом объект	1	1
319	действующих лиц должны	1	1
320	действующих лиц от	1	1
321	том что все	1	1
322	они представляют собой	1	1
323	и даже не	1	1
324	но если это	2	1
325	видим что в	1	1
326	какого бы то	1	1
327	так как эти	1	1
328	что они должны	1	1
329	однако все это	1	1
330	на составные части	2	1
331	того или другого	1	1
332	до наших дней	2	1
333	и посвящена настоящая	1	1
334	отношении друг к	1	1
335	ответить на этот	1	1
336	и независимо от	1	1
337	она не есть	1	1
338	не оказывает никакого	1	1
339	во что бы	1	1
340	очень большую роль	1	1
341	которых каждый в	1	1
342	и есть то	1	1
343	каким способом они	1	1
344	что совсем не	1	1
345	и не всегда	1	1
346	на этот сюжет	1	1
347	а и в	1	1
348	сомневаться в том	1	1
349	могло бы быть	1	1
350	совершенно непонятно почему	1	1
351	могут быть названы	1	1
352	мы опять имеем	1	1
353	но как мы	1	1
354	является одновременно и	1	1
355	встречаются на пути	1	1
356	и в других	2	1
357	но для наших	2	1
358	что они хотят	1	1
359	и у него	1	1
360	не имеет ничего	1	1
361	это означает что	1	1
362	такую же роль	1	1
363	которые можно назвать	1	1
364	мы видим как	1	1
365	этой формы в	1	1
366	два раза в	1	1
367	по существу и	1	1
368	как в этих	1	1
369	во всем ее	1	1
370	к чему не	2	1
371	и пр как	1	1
372	в третий раз	1	1
373	что они имеют	1	1
374	том порядке в	1	1
375	что это и	1	1
376	то ни стало	1	1
377	тому что в	1	1
378	до известной степени	1	1
379	к тому или	1	1
380	в глаза что	1	1
381	что он может	1	1
382	если это не	1	1
383	нашу мысль на	1	1
384	за ним гонятся	1	1
385	иногда может быть	1	1
386	но и здесь	1	1
387	и заставляет его	1	1
388	ни к чему	2	1
389	а не по	1	1
390	т д с	1	1
391	мы постараемся показать	1	1
392	но об этом	1	1
393	что же касается	1	1
394	по существу вовсе	1	1
395	то с другой	1	1
396	но если мы	1	1
397	между тем мы	1	1
398	ее не менее	1	1
399	и как будто	1	1
400	с собой в	1	1
401	в противном случае	1	1
402	что бы то	1	1
403	то же с	1	1
404	можно сравнить с	1	1
405	один из его	1	1
406	далеко не все	3	1
407	мы имеем здесь	1	1
408	она все же	1	1
409	думается что в	1	1
410	что в таких	1	1
411	иначе чем это	1	1
412	элемента из которых	1	1
413	не более как	1	1
414	образом если мы	1	1
415	может быть сделано	1	1
416	еще не все	1	1
417	и в некоторых	1	1
418	на первый взгляд	3	1
419	как это сделано	1	1
420	а для того	1	1
421	не в той	1	1
422	во второй раз	2	1
423	прежде всего и	1	1
424	то что они	1	1
425	для наших целей	2	1
426	каждый в отдельности	1	1
427	с известными формами	1	1
428	самого начала в	1	1
429	что несмотря на	1	1
430	может быть названо	4	1
