N	3gram	Savitsky_E	Narrotol
1	в том что	6	18
2	в данном случае	2	17
3	не только в	4	13
4	в отличие от	1	11
5	к тому же	1	9
6	не может быть	2	8
7	не сводится к	1	8
8	в соответствии с	1	8
9	той или иной	4	8
10	то же время	14	8
11	по большей части	1	8
12	в то же	15	8
13	в этом отношении	3	8
14	и тем самым	1	6
15	в известном смысле	3	6
16	можно сказать что	3	6
17	с одной стороны	8	6
18	для того чтобы	5	5
19	в свою очередь	2	5
20	но и в	1	5
21	к тому что	1	4
22	во всяком случае	3	4
23	заключает в себе	3	3
24	речь идет о	1	3
25	в связи с	1	3
26	а также и	1	3
27	того или иного	4	3
28	на то что	2	3
29	с точки зрения	16	3
30	дело в том	1	3
31	в ряде случаев	1	2
32	в той или	3	2
33	и не в	1	2
34	и в то	8	2
35	более или менее	1	2
36	в частности в	2	2
37	одного и того	1	2
38	так и по	1	2
39	можно ли признать	1	2
40	и того же	1	2
41	на то чтобы	1	2
42	на этот раз	1	2
43	хотя и не	1	2
44	к ней в	1	2
45	в том смысле	1	2
46	тому или иному	2	2
47	можно было бы	3	2
48	так же как	5	2
49	настоящего времени в	1	1
50	одной стороны и	6	1
51	и тот же	1	1
52	настоящего и будущего	1	1
53	или иной степени	1	1
54	том смысле что	1	1
55	в большинстве случаев	2	1
56	в этом смысле	3	1
57	по сравнению с	2	1
58	то или иное	1	1
59	и со стороны	2	1
60	в этом процессе	1	1
61	в том числе	1	1
62	друг от друга	2	1
63	связи с этим	1	1
64	так и в	2	1
65	в определенный момент	1	1
66	но не только	2	1
67	друг с другом	3	1
68	что для него	1	1
69	в том случае	1	1
70	а также в	1	1
71	только в качестве	1	1
72	может быть сведена	1	1
73	большей или меньшей	1	1
74	само по себе	4	1
75	в полной мере	1	1
76	можно развернуть в	1	1
77	а тем более	2	1
78	как же обстоит	1	1
79	в качестве одного	1	1
80	оставляя открытым вопрос	1	1
81	то ни было	4	1
82	не может не	1	1
83	не исключено что	1	1
84	имеет место в	2	1
85	его жизни но	1	1
86	в стороне от	1	1
87	том числе и	1	1
88	с другой стороны	2	1
89	бы то ни	4	1
90	из того что	2	1
91	в значительной степени	1	1
92	или хотя бы	2	1
93	качестве одной из	1	1
94	и т д	1	1
95	например в том	1	1
96	можно представить себе	1	1
97	же обстоит дело	1	1
98	то есть в	1	1
99	к тому или	1	1
100	отнюдь не означает	1	1
101	в качестве одной	1	1
102	качестве одного из	1	1
103	в противном случае	1	1
104	между тем для	1	1
105	один и тот	1	1
106	себе не только	1	1
107	этой точки зрения	5	1
108	точки зрения развития	1	1
109	что же касается	1	1
110	может относиться к	1	1
111	быть сведена к	1	1
112	и не было	1	1
113	и тем более	1	1
114	находятся в отношении	1	1
115	действительности как и	1	1
116	в то время	1	1
117	на этот вопрос	1	1
118	в большей или	1	1
119	по своему характеру	2	1
120	и не только	1	1
121	не означает что	1	1
122	и та же	1	1
123	и с точки	1	1
124	так и со	1	1
125	как мы видели	2	1
126	то время как	1	1
127	в себе не	1	1
128	же как и	3	1
129	тем самым в	2	1
130	представление о том	1	1
131	одна и та	1	1
132	том случае если	1	1
133	было бы совершенно	1	1
134	с другой в	1	1
135	не исключает возможности	1	1
136	вместо того чтобы	1	1
137	с этой точки	5	1
138	мы не можем	1	1
139	может быть и	1	1
