N	2gram	Tiupa_Hudo	ViktorSh
1	а.н веселовского	2	2
2	в конце	1	2
3	и в	23	2
4	в том	20	2
5	том что	9	2
6	в другом	4	1
7	говоря иначе	2	1
8	одно и	3	1
9	столь же	2	1
10	том же	1	1
11	ведь это	1	1
12	в самом	7	1
13	теории литературы	2	1
14	и т.д	4	1
15	а только	4	1
16	то я	1	1
17	именно в	2	1
18	все то	1	1
19	ни к	2	1
20	самом деле	2	1
21	за свою	1	1
22	более чем	1	1
23	и составляет	3	1
24	речи и	4	1
25	говоря о	3	1
26	в частности	18	1
27	и то	4	1
28	так в	4	1
29	крайней мере	1	1
30	этом и	1	1
31	время в	1	1
32	и его	12	1
33	сводится к	11	1
34	к чему	1	1
35	значительной степени	2	1
36	по поводу	1	1
37	далеко не	4	1
38	тем более	2	1
39	по крайней	1	1
40	только в	7	1
41	одном и	1	1
42	потому что	3	1
43	в значительной	2	1
44	в их	5	1
45	то же	12	1
46	по своим	1	1
47	чего не	1	1
48	и том	1	1
49	и не	16	1
50	собственно и	1	1
51	я не	2	1
52	дело в	1	1
53	да и	1	1
54	в этом	12	1
55	так как	1	1
56	все это	2	1
