N	3gram	Bakhtin_Fr	Sovremen
1	с точки зрения	4	5
2	не может быть	2	4
3	мы видели что	1	3
4	с самого начала	1	3
5	в свою очередь	2	2
6	во всяком случае	2	2
7	не подлежит сомнению	2	2
8	в отличие от	3	2
9	в настоящее время	2	2
10	может быть и	2	2
11	подлежит никакому сомнению	2	1
12	есть не что	1	1
13	все же в	2	1
14	то ни было	1	1
15	таким образом все	2	1
16	не может дать	1	1
17	мы знаем что	1	1
18	в том что	2	1
19	один и тот	3	1
20	сих пор в	1	1
21	но все эти	1	1
22	на самом деле	5	1
23	и до сих	2	1
24	до сих пор	6	1
25	одной стороны и	2	1
26	все более и	1	1
27	до наших дней	5	1
28	в свое время	1	1
29	и тот же	3	1
30	в новое время	1	1
31	не что иное	1	1
32	в связи с	5	1
33	может быть в	2	1
34	но только не	1	1
35	какой бы то	1	1
36	дело в том	2	1
37	в том случае	1	1
38	во всех деталях	1	1
39	это как бы	1	1
40	как мы видим	2	1
41	той или иной	2	1
42	и во всех	1	1
43	что иное как	1	1
44	в данном случае	3	1
45	и не было	2	1
46	и во всей	2	1
47	но все же	2	1
48	не подлежит никакому	2	1
49	и прежде всего	3	1
50	и той же	2	1
51	в конечном счете	1	1
52	с одной стороны	4	1
53	одной и той	2	1
54	не дает нам	2	1
55	они не могут	1	1
56	как одной из	1	1
57	мы не знаем	1	1
58	более и более	1	1
59	то же время	13	1
60	что в ней	1	1
61	прежде всего необходимо	3	1
62	по отношению к	2	1
63	никакому сомнению что	2	1
64	в то же	13	1
65	но ведь это	1	1
66	оно может быть	1	1
67	бы то ни	1	1
68	на этот раз	1	1
69	и в этом	1	1
70	в этом случае	1	1
71	все эти три	2	1
72	можно было бы	2	1
73	его таким образом	1	1
74	и в то	2	1
75	только на его	1	1
76	и не может	1	1
77	сказать несколько слов	1	1
78	ровно ничего не	1	1
79	раз и навсегда	1	1
80	мы видим что	2	1
81	и в настоящее	1	1
82	может быть только	1	1
