N	3gram	Medvedev_U	Freidism
1	не может быть	4	14
2	в самом деле	2	10
3	в том что	2	9
4	и прежде всего	1	7
5	в то же	3	6
6	то же время	3	6
7	можно сказать что	1	5
8	сам по себе	1	4
9	в данном случае	1	4
10	не могут быть	2	4
11	на первый план	1	4
12	в этом отношении	2	4
13	до сих пор	2	3
14	бы то ни	3	3
15	но в то	1	3
16	в конечном счете	4	3
17	равно как и	1	2
18	в этом смысле	2	2
19	хотя бы и	2	2
20	в конце концов	2	2
21	том что она	1	2
22	конечно не приходится	1	2
23	по меньшей мере	1	2
24	у нас в	1	2
25	мы полагаем что	1	2
26	то ни было	3	2
27	с одной стороны	1	2
28	то же самое	2	2
29	быть не может	1	1
30	в этом случае	1	1
31	в широком и	1	1
32	но прежде всего	1	1
33	него не существует	1	1
34	по крайней мере	2	1
35	в сторону от	1	1
36	для него не	1	1
37	имеем в виду	1	1
38	содержания и формы	1	1
39	может пройти мимо	1	1
40	в своей совокупности	1	1
41	сводится к следующему	1	1
42	конечно не в	1	1
43	уже знакомый нам	1	1
44	только в этом	1	1
45	т.е то что	1	1
46	и быть не	1	1
47	но даже и	2	1
48	все же не	1	1
49	не было бы	1	1
50	друг с другом	1	1
51	а между тем	2	1
52	или по крайней	1	1
53	т.е в конечном	2	1
54	и в то	1	1
55	не может пройти	1	1
56	не может обойтись	1	1
57	органического единства и	1	1
58	на первый взгляд	1	1
59	на своем месте	1	1
60	все же остается	1	1
61	оно все же	1	1
62	мы имеем в	1	1
63	является одним из	1	1
64	что он и	1	1
65	еще ничего не	2	1
66	это было бы	1	1
