N	2gram	Savitsky_P	PoTuStor
1	может быть	5	17
2	и в	14	16
3	и пр	5	12
4	в этом	10	9
5	прежде всего	3	9
6	мы можем	1	9
7	и только	1	9
8	точки зрения	3	8
9	и с	2	8
10	не может	4	8
11	не только	17	7
12	с его	1	7
13	и к	4	6
14	я и	3	6
15	и это	2	6
16	с точки	3	6
17	еще не	1	5
18	как бы	4	5
19	и на	1	4
20	все это	2	4
21	в его	2	4
22	мысли и	1	4
23	его в	1	4
24	с ними	3	4
25	только в	7	4
26	и не	12	4
27	но и	6	4
28	хотя бы	8	4
29	в этой	1	4
30	отнюдь не	2	4
31	в нем	3	4
32	с ее	1	4
33	и ее	1	4
34	но в	9	4
35	и вот	2	3
36	в основном	1	3
37	в том	9	3
38	мы знаем	1	3
39	те же	1	3
40	на этой	1	3
41	отношения к	2	3
42	этом смысле	1	3
43	и как	3	3
44	что в	4	3
45	том что	4	3
46	большинстве случаев	1	3
47	вместе с	1	3
48	в этих	1	3
49	сравнению с	1	3
50	во всех	2	3
51	во всяком	1	3
52	и потому	4	3
53	и притом	1	3
54	только как	1	3
55	по сравнению	2	3
56	и теперь	1	3
57	только на	1	3
58	а в	4	3
59	в большинстве	1	3
60	то что	4	3
61	на две	1	3
62	могут быть	3	3
63	и есть	2	3
64	в общем	2	3
65	в области	11	3
66	всяком случае	1	3
67	в самом	1	2
68	мы видим	1	2
69	что оно	1	2
70	и мы	2	2
71	к другим	1	2
72	они не	1	2
73	мы не	3	2
74	по всему	1	2
75	что это	1	2
76	на этих	2	2
77	для нас	2	2
78	и через	1	2
79	и этим	1	2
80	но как	1	2
81	что и	1	2
82	быть может	6	2
83	сводится к	3	2
84	в душе	1	2
85	в них	2	2
86	и других	2	2
87	что не	1	2
88	в жизни	2	2
89	из тех	1	2
90	как и	1	2
91	есть в	2	2
92	же как	1	2
93	не есть	1	2
94	только то	1	2
95	в одно	1	2
96	связанные с	1	2
97	знаем что	1	2
98	не менее	2	2
99	в каком	1	2
100	с этим	2	2
101	что мы	3	2
102	смерти но	1	2
103	из этих	1	2
104	на основе	1	2
105	пр при	1	2
106	в развитии	1	2
107	и образы	1	2
108	в частности	2	2
109	и вся	1	2
110	говорить о	2	2
111	есть и	1	2
112	в начале	2	2
113	в мир	1	2
114	в пределах	8	2
115	так же	1	2
116	было бы	6	2
117	к ним	1	2
118	и о	5	2
119	к следующему	1	2
120	если мы	1	2
121	находится в	1	2
122	во всей	2	2
123	и по	1	2
124	для этого	1	2
125	то же	9	2
126	никогда не	1	2
127	что было	1	1
128	к сожалению	1	1
129	они являются	1	1
130	от нее	1	1
131	одних и	2	1
132	и то	1	1
133	государство и	1	1
134	в ком	1	1
135	и здесь	1	1
136	мы и	1	1
137	мир в	1	1
138	в момент	1	1
139	только что	1	1
140	в психологии	1	1
141	с одной	3	1
142	уже в	1	1
143	наших глазах	1	1
144	тогда когда	1	1
145	есть прежде	1	1
146	не будем	2	1
147	теперь в	2	1
148	еще более	2	1
149	в применении	1	1
150	характер этого	1	1
151	хотя и	3	1
152	сохранить и	1	1
153	с тем	3	1
154	что при	1	1
155	как раз	2	1
156	пути в	2	1
157	в стадии	1	1
158	в качестве	9	1
159	и всегда	1	1
160	из предшествующего	1	1
161	для них	2	1
162	касается не	1	1
163	весь мир	1	1
164	в русском	2	1
165	них и	1	1
166	творчества и	2	1
167	они быть	1	1
168	является и	1	1
169	не более	1	1
170	если бы	4	1
171	конечно и	1	1
172	столь же	3	1
173	так было	1	1
174	оказывается в	1	1
175	оно ни	1	1
176	разрыва между	1	1
177	именно здесь	1	1
178	что его	1	1
179	окружающей среды	1	1
180	любовь и	1	1
181	оно есть	1	1
182	есть та	1	1
183	но не	3	1
184	развития в	1	1
185	он будет	1	1
186	в эпоху	1	1
187	основные черты	1	1
188	бы оно	1	1
189	методами и	1	1
190	что по	1	1
191	веры и	1	1
192	из рамок	4	1
193	в порядке	3	1
194	в мире	2	1
195	все же	1	1
196	всеми его	1	1
197	лежат его	1	1
198	не имеет	1	1
199	и жизнь	1	1
200	или что	1	1
201	века в	1	1
202	в свете	1	1
203	в себя	1	1
204	со стороны	2	1
205	идеи и	1	1
206	с другом	1	1
207	в смысле	6	1
208	могут показаться	1	1
209	но к	2	1
210	в философии	1	1
211	которые были	1	1
212	этих двух	1	1
213	и мир	1	1
214	нет ничего	1	1
215	ли они	1	1
216	и тех	1	1
217	он был	1	1
218	на сторону	1	1
219	а с	1	1
220	в данном	1	1
221	и быть	1	1
222	на экономической	1	1
223	план в	1	1
224	пр в	1	1
225	вопрос о	1	1
226	к предмету	1	1
227	применении к	1	1
228	она не	1	1
229	того чтобы	1	1
230	испытания и	2	1
231	одной стороны	3	1
232	как известно	1	1
233	почти исключительно	1	1
234	бы из	1	1
235	для того	3	1
236	многих случаях	1	1
237	в ней	6	1
238	в отношениях	1	1
239	пусть в	1	1
240	что если	1	1
241	а не	2	1
242	из мира	1	1
243	в которую	2	1
244	да в	1	1
245	и что	1	1
246	еще в	1	1
247	к чему	2	1
248	быть именно	1	1
249	взгляда на	2	1
250	с другой	5	1
251	в рамках	1	1
252	как на	2	1
253	и еще	1	1
254	в эту	2	1
255	она может	1	1
256	культуры и	1	1
257	наука и	1	1
258	главным образом	2	1
259	друг другу	2	1
260	что есть	1	1
261	исключительно на	1	1
262	что жизнь	1	1
263	во многих	1	1
264	может оказаться	1	1
265	с которым	1	1
266	или иной	1	1
267	же в	4	1
268	говорить об	1	1
269	одна из	2	1
270	иной раз	1	1
271	эти силы	1	1
272	бы ни	2	1
273	это значение	1	1
274	были в	1	1
275	друг с	1	1
276	это в	1	1
277	исторической и	1	1
278	не будут	1	1
279	мы должны	4	1
280	себя в	1	1
281	и особенно	1	1
282	тот же	3	1
283	на путях	4	1
284	было с	1	1
285	из этой	1	1
286	рождается и	1	1
