N	2gram	Vygotskiy_	Poddanst
1	не только	36	17
2	и в	47	14
3	и не	27	12
4	в области	5	11
5	в этом	47	10
6	в отношении	9	10
7	в том	38	9
8	то же	16	9
9	в качестве	9	9
10	но в	9	9
11	н и	1	8
12	в пределах	3	8
13	только в	24	7
14	же время	1	7
15	в то	10	7
16	в ней	5	6
17	быть может	1	6
18	было бы	12	6
19	но и	19	6
20	в смысле	9	6
21	и пр	1	5
22	может быть	20	5
23	отношении к	4	5
24	с другой	7	5
25	не в	7	5
26	и о	4	5
27	в которых	3	5
28	и к	11	4
29	что в	23	4
30	в котором	6	4
31	гораздо большей	1	4
32	по себе	5	4
33	и потому	3	4
34	но также	3	4
35	мы должны	7	4
36	на пути	1	4
37	не может	23	4
38	в гораздо	1	4
39	а в	3	4
40	то что	40	4
41	как бы	13	4
42	если бы	8	4
43	в своем	3	4
44	же в	1	4
45	том что	28	4
46	наряду с	2	3
47	в себе	14	3
48	что мы	14	3
49	с одной	7	3
50	мы не	10	3
51	это не	6	3
52	одной стороны	7	3
53	для того	24	3
54	между тем	2	3
55	с точки	31	3
56	хотя и	4	3
57	с тем	8	3
58	потому что	26	3
59	она есть	2	3
60	прежде всего	9	3
61	тем самым	14	3
62	заключается в	14	3
63	но не	13	3
64	могут быть	7	3
65	и т	1	3
66	и как	7	3
67	столь же	2	3
68	в порядке	3	3
69	в нем	6	3
70	и без	2	3
71	точки зрения	39	3
72	с этим	5	2
73	во всех	9	2
74	сказывается в	2	2
75	одних и	1	2
76	является в	7	2
77	и это	2	2
78	и других	5	2
79	и мы	1	2
80	как факт	1	2
81	ней не	1	2
82	которую мы	1	2
83	если в	6	2
84	м и	1	2
85	и вот	1	2
86	время в	3	2
87	в значительной	3	2
88	том числе	2	2
89	еще более	1	2
90	начала и	1	2
91	по сравнению	23	2
92	на этих	2	2
93	в ее	7	2
94	и тем	10	2
95	того что	27	2
96	никак не	5	2
97	как раз	6	2
98	в недрах	1	2
99	в частности	4	2
100	в его	7	2
101	а не	7	2
102	нужно было	4	2
103	для нас	4	2
104	все это	5	2
105	говорить о	1	2
106	для них	1	2
107	заключает в	2	2
108	может и	3	2
109	своем значении	2	2
110	и есть	4	2
111	стороны и	6	2
112	в виде	2	2
113	в них	3	2
114	не было	1	2
115	х и	1	2
116	к чему	1	2
117	и с	5	2
118	из важнейших	4	2
119	в начале	6	2
120	как на	8	2
121	слова но	3	2
122	мысль о	1	2
123	в сфере	8	2
124	главным образом	1	2
125	именно в	9	2
126	значительной мере	2	2
127	должно быть	3	2
128	отношения к	5	2
129	друг другу	5	2
130	в определенную	1	2
131	во всей	3	2
132	есть нечто	1	2
133	в силу	21	2
134	одна из	2	2
135	например в	5	2
136	не менее	6	2
137	в ряду	3	2
138	в выборе	1	2
139	думать что	1	2
140	отнюдь не	2	2
141	по характеру	1	2
142	культуры в	1	2
143	из них	2	2
144	но к	1	2
145	есть не	3	2
146	тем более	1	2
147	есть в	5	2
148	образом на	1	2
149	переход от	5	2
150	не к	1	2
151	и везде	2	1
152	что было	2	1
153	к сожалению	1	1
154	чем к	2	1
155	этих двух	4	1
156	были бы	5	1
157	представить себе	5	1
158	будет с	1	1
159	говорится о	1	1
160	возможность не	1	1
161	поскольку она	1	1
162	как к	4	1
163	от нее	3	1
164	исключает всякую	1	1
165	во всяком	2	1
166	могли бы	10	1
167	ни к	1	1
168	не есть	4	1
169	собственном смысле	4	1
170	и теперь	1	1
171	находятся в	2	1
172	и то	10	1
173	это осуществляется	1	1
174	но как	3	1
175	понимать что	1	1
176	и целиком	1	1
177	ибо только	1	1
178	чтобы это	1	1
179	момент когда	1	1
180	мы можем	7	1
181	на этой	7	1
182	мы видим	10	1
183	а с	3	1
184	в данном	7	1
185	два разных	1	1
186	что от	1	1
187	только к	4	1
188	с его	1	1
189	что оно	9	1
190	имеют в	1	1
191	и более	2	1
192	можно говорить	2	1
193	исключительно и	1	1
194	те же	1	1
195	вместе с	19	1
196	и здесь	5	1
197	по природе	2	1
198	в определенный	1	1
199	выражена в	1	1
200	новое по	1	1
201	до тех	1	1
202	и на	4	1
203	уяснить себе	3	1
204	отличие от	4	1
205	в самом	15	1
206	вопрос о	9	1
207	и очень	1	1
208	не означает	4	1
209	они не	2	1
210	в восприятии	1	1
211	может не	1	1
212	она должна	2	1
213	этой области	2	1
214	что происходит	1	1
215	них в	1	1
216	в момент	4	1
217	это в	2	1
218	только что	7	1
219	мысль и	3	1
220	гласит что	1	1
221	предпосылки в	1	1
222	они являются	1	1
223	также что	1	1
224	в психологии	5	1
