N	2gram	Voloshinov	DiskursI
1	в качестве	2	72
2	а не	9	60
3	может быть	28	56
4	не только	10	49
5	и в	28	49
6	как и	13	47
7	при этом	8	46
8	и не	34	44
9	в том	10	44
10	представляет собой	2	41
11	то есть	1	41
12	том что	12	40
13	в этом	28	38
14	в себе	7	37
15	но и	10	35
16	и т.п	4	32
17	но не	7	31
18	отличие от	2	28
19	со стороны	5	28
20	но в	13	28
21	так и	14	28
22	в отличие	2	27
23	не может	30	27
24	как в	4	25
25	такого рода	2	24
26	отнюдь не	5	23
27	еще не	8	23
28	а также	2	20
29	в своей	14	19
30	все же	8	19
31	в нем	7	19
32	прежде всего	26	19
33	далеко не	5	18
34	в основе	6	18
35	то же	12	17
36	в данном	4	17
37	с другой	2	17
38	в мире	2	17
39	по отношению	13	17
40	отношению к	11	17
41	точки зрения	31	16
42	только в	11	16
43	о том	3	15
44	то что	17	15
45	роль в	7	15
46	в его	25	15
47	не менее	6	14
48	можно сказать	6	14
49	одной стороны	2	14
50	с одной	2	14
51	не в	10	14
52	картины мира	1	14
53	не является	7	14
54	это не	5	14
55	или иной	2	14
56	как бы	19	13
57	для него	12	13
58	в целом	4	13
59	в своих	5	12
60	при всей	1	12
61	в своем	4	12
62	того же	3	12
63	и на	9	12
64	и все	13	12
65	данном случае	4	12
66	не было	5	11
67	что в	7	11
68	с его	9	11
69	и как	3	11
70	той или	1	10
71	а с	2	10
72	для себя	2	10
73	вследствие этого	1	10
74	а в	8	10
75	же время	6	10
76	также и	2	10
77	и т.д	1	10
78	в них	3	9
79	уже не	9	9
80	себя в	3	9
81	внимание на	1	9
82	между тем	3	9
83	в то	7	9
84	сводится к	4	9
85	еще в	1	9
86	в этих	5	8
87	и даже	3	8
88	к тому	6	8
89	в котором	4	8
90	в противоположность	1	8
91	в одном	3	8
92	из них	7	8
93	хотя и	1	8
94	в себя	5	8
95	он не	10	8
96	не на	1	8
97	не следует	2	8
98	жизни в	3	8
99	потому что	4	8
100	этом отношении	4	8
101	человека в	4	8
102	как уже	1	8
103	не с	1	8
104	и о	6	8
105	таким образом	34	7
106	в русской	1	7
107	одной из	1	7
108	что и	5	7
109	его в	11	7
110	к этому	9	7
111	в этой	7	7
112	я в	1	7
113	могут быть	9	7
114	например в	1	7
115	ни в	12	7
116	в составе	2	7
117	в процессе	5	7
118	приводит к	3	7
119	перед нами	1	7
120	той же	5	7
121	но это	4	7
122	и для	7	7
123	основе своей	1	7
124	в пределах	6	7
125	и ее	7	7
126	и его	22	7
127	мира в	2	7
128	не как	2	6
129	одно из	6	6
130	в строгом	1	6
131	именно в	4	6
132	конечном счете	3	6
133	и того	1	6
134	в контексте	1	6
135	одна из	4	6
136	крайней мере	1	6
137	никогда не	10	6
138	то в	2	6
139	сказать и	3	6
140	с точки	15	6
141	в ее	5	6
142	в конечном	3	6
143	не знает	5	6
144	во всех	13	6
145	однако в	1	6
146	в особенности	1	6
147	и то	3	6
148	имеет место	1	6
149	что он	12	6
150	к его	3	6
151	по крайней	1	6
152	в истории	4	6
153	что же	10	6
154	здесь не	1	6
155	дело в	2	6
156	в эпоху	3	6
157	времени и	1	6
158	в одной	2	6
159	тому как	1	6
160	и может	4	6
161	отношение к	7	6
162	одного из	1	6
163	в период	5	6
164	можно говорить	1	5
165	зрения на	6	5
166	исходя из	1	5
167	может служить	1	5
168	в виду	4	5
169	мысль о	1	5
170	к своим	1	5
171	в ряду	1	5
172	было в	1	5
173	в другом	4	5
174	не всегда	4	5
175	говорить о	5	5
176	для данного	1	5
177	свою очередь	4	5
178	в прошлом	2	5
179	сказать что	11	5
180	на протяжении	7	5
181	к себе	3	5
182	проявляется в	1	5
183	как раз	6	5
184	для своего	2	5
