N	2gram	Bakhtin_Pr	Freidism
1	таким образом	9	34
2	и не	41	34
3	точки зрения	17	31
4	не может	18	30
5	и пр	1	29
6	в этом	24	28
7	может быть	23	28
8	и в	83	28
9	прежде всего	20	26
10	в его	15	25
11	и его	13	22
12	с помощью	4	20
13	мы можем	9	20
14	как бы	27	19
15	как мы	12	18
16	то что	14	17
17	вовсе не	12	16
18	с точки	13	15
19	точка зрения	1	15
20	все эти	9	15
21	так как	12	15
22	с ним	3	14
23	в своей	5	14
24	так и	9	14
25	в душе	1	13
26	и все	14	13
27	как и	13	13
28	по отношению	6	13
29	но в	12	13
30	во всех	15	13
31	в самом	7	12
32	то же	10	12
33	ни в	4	12
34	что он	6	12
35	том что	9	12
36	точку зрения	1	12
37	для него	1	12
38	все это	11	12
39	и потому	6	12
40	и наконец	4	12
41	мы видели	2	12
42	только в	10	11
43	сказать что	12	11
44	отношению к	5	11
45	его в	4	11
46	все что	1	10
47	один из	7	10
48	не только	14	10
49	и с	10	10
50	но и	16	10
51	конечно не	11	10
52	тот же	2	10
53	никогда не	10	10
54	в том	22	10
55	мы уже	9	10
56	он не	5	10
57	за пределы	7	10
58	не в	10	10
59	и на	27	9
60	те же	1	9
61	уже не	5	9
62	во всяком	2	9
63	совершенно не	4	9
64	мы не	7	9
65	с его	4	9
66	к этому	5	9
67	к нему	3	9
68	в чем	1	9
69	а не	19	9
70	мы должны	4	9
71	и др	18	9
72	могут быть	5	9
73	при этом	6	8
74	все же	3	8
75	еще не	10	8
76	с этим	3	8
77	было бы	6	8
78	и вот	1	8
79	знаем что	1	8
80	а в	4	8
81	по мнению	1	8
82	с другими	6	8
83	на этом	4	8
84	в ней	8	8
85	оно и	2	8
86	всяком случае	1	8
87	что в	5	7
88	и к	13	7
89	не могут	4	7
90	связь с	4	7
91	в жизни	14	7
92	роль в	1	7
93	так сказать	8	7
94	с сознанием	1	7
95	его жизни	2	7
96	хотя бы	6	7
97	если мы	5	7
98	до конца	3	7
99	что все	3	7
100	и для	5	7
101	из них	7	7
102	на протяжении	5	7
103	сознания с	1	7
104	того что	1	7
105	не является	1	7
106	но не	9	7
107	я и	2	7
