N	2gram	Medvedev_V	Otkroven
1	и в	2	19
2	и не	1	13
3	в этом	1	12
4	потому что	1	9
5	все это	1	6
6	в самом	1	5
7	в том	2	5
8	и его	1	4
9	хотя бы	1	3
10	и то	1	2
11	так как	1	2
12	в другом	1	2
13	ведь это	1	2
14	к этому	1	2
15	том что	2	2
16	ни к	1	1
17	жизнь их	1	1
18	и заключается	1	1
19	речи и	1	1
20	в частности	1	1
21	чего не	1	1
22	самом деле	1	1
23	к чему	1	1
24	дело в	1	1
25	связанным с	1	1
26	в конце	2	1
27	все время	1	1
28	не одно	1	1
29	другом месте	1	1
30	да и	1	1
31	но это	1	1
32	связаны и	1	1
33	под влиянием	1	1
