N	2gram	Losev_Prob	Otkroven
1	у него	1	22
2	и в	62	19
3	и не	56	13
4	но и	20	13
5	в этом	25	12
6	а не	28	11
7	не только	33	11
8	не в	21	11
9	может быть	39	11
10	вопрос о	2	10
11	человека и	1	10
12	и все	13	10
13	в нем	13	10
14	потому что	40	9
15	прежде всего	13	9
16	не было	6	9
17	в самой	4	9
18	никогда не	7	9
19	и он	3	8
20	нет ничего	6	7
21	от него	2	7
22	ни с	5	7
23	в его	10	7
24	он всегда	1	7
25	он не	10	7
26	но он	1	7
27	лишь в	1	7
28	в глубине	1	7
29	до конца	1	7
30	человек не	1	7
31	все это	9	6
32	как и	15	6
33	в самом	4	5
34	в том	35	5
35	для него	4	5
36	в этой	10	5
37	а в	9	5
38	отношение к	1	5
39	о его	3	5
40	то что	42	5
41	все в	4	4
42	что в	11	4
43	только и	9	4
44	того чтобы	4	4
45	т е	1	4
46	не может	14	4
47	человеческих отношений	4	4
48	всегда есть	6	4
49	что не	4	4
50	человек и	1	4
51	все эти	14	4
52	на земле	1	4
53	и его	12	4
54	он сам	7	4
55	и от	11	3
56	все что	1	3
57	и вот	1	3
58	хотя бы	6	3
59	это за	3	3
60	это не	10	3
61	для того	5	3
62	с ним	11	3
63	мысли и	1	3
64	когда он	2	3
65	быть может	1	3
66	в этих	6	3
67	не могут	1	3
68	не исчезает	1	3
69	в своих	2	3
70	как бы	11	3
71	было бы	14	3
72	могут быть	2	3
73	в себе	23	3
74	и есть	9	3
75	что он	16	3
76	никто не	5	3
77	человеческого духа	1	3
78	различие между	1	3
79	это было	4	3
80	и ее	7	3
81	о том	14	3
82	того что	10	3
83	к нему	3	3
84	еще не	12	3
85	и к	9	2
86	как к	1	2
87	природы в	1	2
88	и потому	13	2
89	так и	16	2
90	что они	8	2
91	и то	17	2
92	и все-таки	3	2
93	в душе	1	2
94	все же	10	2
95	что у	3	2
96	никогда и	1	2
97	не могли	2	2
98	так как	14	2
99	и очень	6	2
100	должно быть	1	2
101	к этой	2	2
102	раз уже	1	2
103	даже и	33	2
104	к ней	2	2
105	человека все	1	2
106	его не	2	2
107	для всякого	2	2
108	и ни	5	2
109	уже в	5	2
110	ничто не	2	2
111	в человеческом	2	2
112	в другом	4	2
113	совсем не	4	2
114	ничего кроме	2	2
115	так что	21	2
116	в своем	7	2
117	в этот	1	2
118	с тем	9	2
119	с которой	2	2
120	в которой	3	2
121	ее в	2	2
122	о которой	2	2
123	не все	1	2
124	что и	11	2
125	для человека	1	2
126	с богом	1	2
127	которую он	1	2
128	от самого	2	2
129	и бесконечно	1	2
130	разных сторон	1	2
131	можно ли	8	2
132	в истории	4	2
133	его в	4	2
134	чем в	2	2
135	он весь	1	2
136	не очень	4	2
137	и с	11	2
138	что же	9	2
139	и там	2	2
140	он в	3	2
141	и о	8	2
142	природы и	3	2
143	сказать что	24	2
144	что для	4	2
145	тем что	8	2
146	что есть	1	2
147	из всего	1	2
148	ничего и	2	2
149	и на	4	2
150	в других	2	2
151	с чем	3	2
152	учение о	3	2
153	что все	2	2
154	ничего не	4	2
155	его бесконечной	1	2
156	хотя и	9	2
157	не есть	57	2
158	в своей	8	2
159	момент в	1	2
160	по себе	36	2
161	не имеет	12	2
162	к этому	2	2
163	сразу же	2	2
164	и никогда	1	2
165	же это	2	2
166	том что	25	2
167	от человека	1	2
168	и для	5	2
169	ли сказать	3	2
170	в антропологии	1	2
171	в ее	6	2
172	природы все	1	2
173	но в	17	2
174	и нет	2	2
175	он прежде	1	2
176	было у	1	1
177	уже с	1	1
178	у л	1	1
179	и изображает	1	1
180	во всем	2	1
181	к одному	1	1
182	и бесконечным	1	1
183	в каждом	1	1
184	презрение к	1	1
185	не подходит	1	1
186	и весь	2	1
187	во всяком	14	1
188	связан с	2	1
189	не так	8	1
190	бросается в	1	1
191	ко всему	1	1
192	лет назад	2	1
193	ни к	3	1
194	но можно	1	1
195	совершенно не	7	1
196	смерть и	1	1
197	а потому	1	1
198	то он	3	1
199	ее и	2	1
200	но оно	3	1
201	над ними	1	1
202	для его	4	1
203	а с	2	1
204	и самое	1	1
205	и скажет	1	1
206	это конечно	1	1
207	не существует	6	1
208	все его	1	1
209	самой жизни	2	1
210	и других	1	1
211	и всякий	5	1
212	к другу	1	1
213	для нашего	1	1
214	в котором	3	1
215	и здесь	8	1
216	виду не	1	1
217	а вовсе	3	1
218	после этого	1	1
219	характер его	1	1
220	не нужна	1	1
221	и состоит	2	1
222	друг к	1	1
223	же и	7	1
224	ней не	1	1
225	не имеют	4	1
226	каждом из	1	1
227	сам и	1	1
228	о бесконечных	1	1
229	к одной	2	1
230	жизни а	4	1
231	бог и	1	1
232	нет такой	1	1
233	и личной	2	1
234	и заключается	1	1
235	его целиком	1	1
236	имеют самостоятельного	1	1
237	собой в	1	1
238	она не	3	1
239	том как	4	1
240	должна быть	1	1
241	мы не	15	1
