N	3gram	Bakhtin_KF	RusskieA
1	в том что	2	49
2	тем не менее	2	14
3	вместе с тем	1	11
4	для того чтобы	1	8
5	но это не	1	8
6	в настоящее время	1	7
7	мы не можем	1	7
8	не может быть	11	6
9	к тому что	1	5
10	только тогда когда	1	4
11	во всяком случае	1	4
12	по отношению к	22	3
13	до сих пор	1	3
14	мы не имеем	1	3
15	в свою очередь	1	3
16	на то что	1	3
17	с точки зрения	10	3
18	здесь мы имеем	2	3
19	в разные стороны	1	3
20	может быть и	1	3
21	это не значит	1	2
22	ничего общего не	2	2
23	в большинстве случаев	1	2
24	дело не в	1	2
25	не значит что	1	2
26	может быть только	7	2
27	пока еще не	1	2
28	равно как и	1	2
29	ту или иную	1	2
30	а именно в	1	2
31	вопрос о том	2	2
32	на самом деле	3	2
33	мы имеем здесь	1	2
34	во всех этих	2	2
35	и в этом	3	2
36	мы имеем не	1	2
37	время от времени	1	1
38	в том же	1	1
39	и как бы	1	1
40	можно говорить об	1	1
41	здесь дело не	1	1
42	место и в	1	1
43	не в этом	1	1
44	во всех отношениях	2	1
45	потому что в	1	1
46	время вместе с	1	1
47	и пр и	1	1
48	одного и того	1	1
49	того что в	1	1
50	здесь не в	1	1
51	но может быть	1	1
52	между тем как	3	1
53	не имеет смысла	1	1
54	и того же	1	1
55	есть на самом	2	1
56	не может не	1	1
57	иной мир в	1	1
58	то же самое	1	1
59	для нас важно	2	1
60	то что и	1	1
61	ко всему что	1	1
62	в значительной степени	1	1
63	но ни одно	1	1
64	быть не может	1	1
65	ни о каких	1	1
66	во второй половине	1	1
67	только по отношению	2	1
68	в противном случае	1	1
69	одновременно и в	1	1
70	и может быть	2	1
71	должен быть признан	1	1
72	и всей своей	1	1
73	дело здесь не	2	1
74	не потому что	1	1
75	может быть понято	1	1
76	а следовательно и	1	1
77	только в том	1	1
78	независимо от того	1	1
79	может быть правильно	1	1
80	с него как	1	1
81	но все это	1	1
82	это не имеет	1	1
83	чем ближе к	1	1
84	дело в том	1	1
85	не было ни	1	1
86	не отличаются от	1	1
87	и та же	2	1
88	о том кто	1	1
89	там где есть	1	1
90	смысле этого слова	1	1
91	всех этих случаях	1	1
92	и в своем	1	1
93	же с точки	1	1
94	это и не	1	1
95	к такому же	1	1
96	одна и та	2	1
97	и связанных с	1	1
98	и одна из	1	1
99	тем как оно	1	1
100	общего не имеет	1	1
101	это и есть	1	1
102	что и в	1	1
103	в основе своей	1	1
