N	3gram	Tiupa_Lite	Stilisti
1	в то же	12	9
2	для того чтобы	1	7
3	в зависимости от	1	7
4	то же время	12	7
5	с точки зрения	4	5
6	одно и то	1	5
7	мы никогда не	1	5
8	и т.д и	1	5
9	и то же	1	5
10	в свою очередь	2	4
11	той или иной	1	4
12	ту или иную	2	4
13	с самого начала	1	4
14	прежде всего в	4	4
15	внутренней и внешней	1	3
16	на самом деле	1	3
17	в конце концов	1	3
18	как мы видели	1	3
19	тех или иных	2	3
20	не только в	4	3
21	и тем самым	2	3
22	в этом случае	2	3
23	но все же	1	3
24	в самом деле	1	2
25	все то что	1	2
26	чуть ли не	2	2
27	и тем же	1	2
28	не может быть	5	2
29	по отношению к	4	2
30	о том что	3	2
31	но при этом	2	2
32	что перед нами	1	2
33	но в то	1	2
34	только потому что	1	2
35	и в то	1	2
36	на первый взгляд	1	2
37	в связи с	4	2
38	к тому что	1	2
39	в этом отношении	5	2
40	и не только	1	2
41	в значительной степени	1	2
42	тот или иной	1	2
43	деятельности направленной к	1	2
44	отношению к действительности	1	1
45	личность не знает	1	1
46	в том что	15	1
47	образом если б	1	1
48	в одном из	1	1
49	несмотря на свою	1	1
50	в конечном счете	8	1
51	в большинстве случаев	1	1
52	решающую роль в	1	1
53	на наш взгляд	7	1
54	по крайней мере	2	1
55	в русской литературе	5	1
56	точки зрения было	1	1
57	из которых он	1	1
58	говоря уже об	1	1
59	в другом месте	1	1
60	по большей части	1	1
61	каждому из них	1	1
62	и не было	1	1
63	тем не менее	4	1
64	только в том	2	1
65	и тем более	1	1
66	по ту сторону	1	1
67	при этом не	1	1
68	но и его	1	1
69	но даже и	1	1
70	свою звонкую силу	1	1
71	одного и того	1	1
72	не говоря уже	3	1
73	хотя бы на	1	1
74	как это ни	1	1
75	места и его	1	1
76	вновь и вновь	1	1
77	в исторической жизни	1	1
78	до сих пор	1	1
79	в разговоре с	2	1
80	одним и тем	1	1
81	иметь в виду	1	1
82	это еще не	1	1
83	если и не	1	1
84	сознания прежде всего	1	1
85	всю свою звонкую	1	1
86	к нему другими	1	1
87	может быть сказано	1	1
88	несет в себе	2	1
89	не только на	1	1
90	и того же	1	1
91	звонкую силу поэта	1	1
92	как раз и	1	1
93	в хх веке	8	1
94	литература и т.п	1	1
95	как бы два	1	1
96	вовсе не является	1	1
97	если б мы	1	1
98	не нуждается в	1	1
99	общей для них	1	1
100	с другой стороны	5	1
101	перед нами не	1	1
102	жизни и в	2	1
103	и от самой	1	1
104	это прежде всего	1	1
105	нет и не	1	1
106	на эту тему	1	1
107	можно было бы	2	1
108	слово как таковое	1	1
109	мы не можем	1	1
110	теми или иными	1	1
111	и не может	1	1
112	и в этом	1	1
113	бытие человека и	1	1
