N	3gram	Kanaev_Sov	Problemy
1	то же время	1	26
2	в то же	1	26
3	с точки зрения	5	25
4	по отношению к	1	18
5	в этом смысле	1	16
6	на самом деле	1	15
7	не может быть	4	14
8	до сих пор	1	10
9	в самом деле	1	9
10	с самого начала	3	9
11	во всяком случае	2	9
12	в том что	1	8
13	и не может	1	8
14	друг с другом	2	8
15	и в то	1	7
16	бы то ни	1	7
17	и в этом	1	7
18	в отличие от	2	6
19	то ни было	1	6
20	дело идет о	1	5
21	в зависимости от	4	5
22	той или иной	1	5
23	по крайней мере	1	5
24	но все же	1	5
25	можно было бы	1	5
26	тем не менее	2	4
27	друг на друга	1	4
28	сами по себе	1	4
29	и прежде всего	1	4
30	может быть и	2	4
31	а может быть	1	3
32	в настоящее время	2	3
33	и к другому	1	3
34	в данном случае	1	3
35	на этот вопрос	1	3
36	в этом случае	1	3
37	но все эти	1	2
38	точки зрения своего	1	2
39	что же это	3	2
40	в свою очередь	2	2
41	дело в том	1	2
42	но тем не	1	2
43	в такой же	1	2
44	мы без труда	1	2
45	то же самое	2	2
46	как бы два	1	2
47	на этот раз	1	2
48	раз и навсегда	1	2
49	что дело идет	1	2
50	таким образом все	1	2
51	какой бы то	1	2
52	он может быть	1	2
53	и та же	1	2
54	лишь там где	1	2
55	всяком случае не	1	2
56	одна и та	1	2
57	оно может быть	1	2
58	но для чего	1	1
59	так же как	1	1
60	одной стороны и	1	1
61	своими собственными законами	1	1
62	каждого из них	2	1
63	в одном направлении	1	1
64	это как бы	1	1
65	в этом направлении	1	1
66	в себе в	1	1
67	ничего общего не	1	1
68	этом смысле можно	1	1
69	же это за	2	1
70	для чего же	1	1
71	заключает в себе	1	1
72	могут быть поняты	1	1
73	мы должны признать	1	1
74	и во всех	1	1
75	не может но	1	1
76	она и не	1	1
77	они не могут	1	1
78	и тот же	1	1
79	не в том	1	1
80	прежде всего необходимо	1	1
81	она не может	1	1
82	зависимости от различных	1	1
83	для наших целей	1	1
84	со всеми ее	1	1
85	может быть только	1	1
86	все более и	1	1
87	образом все элементы	1	1
88	пока наконец не	2	1
89	как мы это	1	1
90	быть и речи	1	1
91	только и могут	1	1
92	в каждом отдельном	5	1
93	и к одному	1	1
94	между собой поэтому	1	1
95	самом деле все	1	1
96	и есть то	1	1
97	в связи с	1	1
98	каждая из этих	1	1
99	он приводит к	1	1
100	не может не	3	1
101	а не только	1	1
102	несмотря на кажущуюся	1	1
103	заключают в себе	1	1
104	мы видели что	3	1
105	вне времени и	2	1
106	и могут быть	1	1
107	в известном смысле	1	1
108	для каждого случая	1	1
109	мы видим не	1	1
110	общего не имеет	1	1
111	со всеми его	1	1
112	в которой он	1	1
113	в целом эта	1	1
114	и не было	1	1
115	как и во	1	1
116	ни в один	1	1
117	времени и пространства	2	1
118	и ни в	1	1
119	более и более	1	1
120	собственную точку зрения	1	1
121	не было бы	1	1
122	если бы эти	1	1
123	и до сих	1	1
124	не опирается на	1	1
125	вот пример такого	1	1
126	как мы видим	1	1
127	не в виде	1	1
128	мы не знаем	1	1
129	и ничего не	1	1
130	не имеет с	1	1
131	именно в том	1	1
132	и именно в	1	1
133	один и тот	1	1
134	его и не	1	1
135	не могут быть	1	1
136	может находиться в	1	1
137	на второй или	1	1
138	по его мнению	1	1
139	с одной стороны	1	1
140	в любом месте	1	1
141	точки зрения и	1	1
142	теперь мы должны	1	1
143	данном случае и	1	1
144	ни о каком	1	1
