N	2gram	Medvedev_V	StatiiOP
1	и в	26	103
2	в том	15	89
3	том что	8	77
4	в этом	29	76
5	что в	11	74
6	пушкина в	1	70
7	не только	26	60
8	и т	25	51
9	о том	10	47
10	у пушкина	2	46
11	но и	10	46
12	то что	7	44
13	что он	4	42
14	в его	15	42
15	и не	20	41
16	может быть	23	38
17	т е	18	33
18	было бы	8	32
19	т д	16	32
20	в этой	4	31
21	вовсе не	3	31
22	тем что	1	29
23	все это	13	29
24	таким образом	32	28
25	а в	3	27
26	а не	7	27
27	но в	2	26
28	так и	6	25
29	этом отношении	14	24
30	и его	6	24
31	все же	6	23
32	точки зрения	3	23
33	не в	6	23
34	потому что	1	23
35	пушкин в	3	22
36	для того	3	22
37	в которой	2	22
38	как в	1	22
39	пушкина к	1	22
40	того что	3	22
41	прежде всего	13	22
42	у нас	3	22
43	в области	2	22
44	того чтобы	3	21
45	до сих	2	20
46	это не	7	20
47	в своей	4	19
48	сих пор	2	19
49	т п	9	19
50	в то	6	19
51	только в	8	19
52	в котором	3	18
53	с другой	11	18
54	он не	2	18
55	об этом	9	18
56	не может	17	18
57	в самом	4	17
58	в году	7	17
59	как на	3	17
60	между прочим	2	17
61	самом деле	1	17
62	как бы	5	17
63	в данном	1	17
64	в этих	1	16
65	с этим	3	16
66	сказать что	5	16
67	можно было	2	16
68	в статье	4	16
69	если бы	3	16
70	в ней	2	16
71	другой стороны	8	15
72	с тем	4	15
73	как и	7	15
74	по поводу	4	15
75	из этих	7	15
76	у него	6	15
77	например в	3	15
78	как раз	4	15
79	для него	9	15
80	также и	2	15
81	то же	10	14
82	но все	1	14
83	так например	2	14
84	к тому	5	14
85	между тем	6	14
86	и что	1	14
87	в течение	2	14
88	в той	1	13
89	именно в	3	13
90	во всяком	2	13
91	в своем	8	13
92	из них	11	13
93	в качестве	12	13
94	а с	1	13
95	в конце	3	13
96	в нем	7	13
97	вместе с	8	13
98	со стороны	1	13
99	всяком случае	2	13
100	но это	1	13
101	жизни и	3	13
102	тому что	7	13
103	в своих	2	12
104	не менее	2	12
105	хотя бы	20	12
106	что у	3	12
107	ни в	1	12
108	как например	2	12
109	что они	3	12
110	в них	5	11
111	в печатном	1	11
112	в другом	2	11
113	никогда не	5	11
114	не было	7	11
115	и по	3	11
116	из его	4	11
117	того как	2	11
118	вопрос о	1	11
119	все эти	8	11
120	это было	1	11
121	на то	2	11
122	на эти	2	10
123	кроме того	1	10
124	не столько	2	10
125	в виду	4	10
126	речь идет	1	10
127	так же	3	10
128	отметить что	2	10
129	в целом	5	10
130	что такое	2	10
131	что и	3	10
132	но он	1	10
133	во всех	7	10
134	а как	2	10
135	в каком	1	10
136	в истории	1	10
137	же время	5	10
138	ответ на	1	10
139	на вопрос	2	10
140	по словам	8	10
141	но не	2	10
142	в частности	12	10
143	в начале	1	10
144	и к	3	9
145	с этой	1	9
146	говорит о	7	9
147	можно сказать	4	9
148	он был	1	9
149	в одном	5	9
150	говорит что	1	9
151	внимание на	2	9
152	несмотря на	1	9
153	письме к	12	9
154	и это	1	9
155	в чем	2	9
156	в каждом	2	9
157	и тем	1	9
158	что эта	1	9
159	во время	4	9
160	вряд ли	1	9
161	не является	5	9
162	и для	2	9
163	для нас	1	9
164	что мы	2	9
165	по этому	10	9
166	но ведь	1	8
167	в результате	5	8
168	и даже	2	8
169	связано с	1	8
170	по его	2	8
171	еще более	1	8
172	что она	2	8
173	к этому	9	8
174	связи с	5	8
175	одним из	5	8
176	действующих лиц	5	8
177	и др	10	8
178	могут быть	8	8
179	в общем	2	8
180	к сожалению	2	8
181	заключается в	2	8
182	евгения онегина	1	8
183	в которых	3	8
184	не имеет	1	8
185	совершенно не	1	8
186	мы имеем	3	8
187	при помощи	3	8
188	подчеркнуть что	2	8
189	в их	5	8
190	а также	1	8
191	в какой	1	8
192	дело не	1	8
193	п в	3	8
194	отношение к	1	8
195	это в	1	8
196	о чем	2	7
197	по себе	2	7
198	года в	1	7
199	отличается от	2	7
200	а а	1	7
201	работы над	5	7
202	уже о	1	7
203	на почве	1	7
204	в ее	4	7
205	что все	4	7
206	кажется что	1	7
207	как это	12	7
208	нельзя не	1	7
209	что для	4	7
210	то в	1	7
211	и то	1	7
212	нет никакого	1	7
213	то время	1	7
214	можно назвать	1	7
215	том как	3	7
216	еще не	2	7
217	еще и	2	7
218	одной из	2	7
219	на этот	1	7
220	этой области	3	7
221	данном случае	1	7
222	уже в	1	7
223	в виде	1	7
224	но с	2	7
225	материал для	1	7
226	что этот	1	7
227	говорит об	2	7
228	тем более	1	7
229	не все	1	7
230	конце концов	2	7
231	этому поводу	7	7
232	лишь в	2	7
233	отношению к	7	7
234	вплоть до	2	7
235	же и	3	6
236	на его	1	6
237	д но	1	6
238	вот что	12	6
239	и сам	2	6
240	в жизни	2	6
241	в письме	16	6
242	говорить о	2	6
243	несколько примеров	2	6
244	по отношению	7	6
245	даже в	5	6
246	ни одного	2	6
247	крайней мере	2	6
248	рыцарских времен	1	6
249	только не	2	6
250	том отношении	2	6
251	время как	1	6
252	же как	2	6
253	одном из	4	6
254	в устах	1	6
255	из рыцарских	1	6
256	этом смысле	1	6
257	этот вопрос	3	6
258	в себе	6	6
259	в особенности	2	6
260	из которых	2	6
261	и все	1	6
