N	3gram	Tiupa_Hudo	NovoeSre
1	не может быть	4	4
2	подобно тому как	3	3
3	в том и	2	2
4	так же как	1	2
5	в этом смысле	3	2
6	с одной стороны	3	2
7	с другой стороны	6	2
8	быть не может	1	1
9	в том что	8	1
10	в том случае	1	1
11	и в жизни	1	1
12	и потому что	1	1
13	в зависимости от	1	1
14	по своей природе	2	1
15	нового времени в	1	1
16	том числе и	2	1
17	не было и	1	1
18	в отличие от	7	1
19	в значительной степени	2	1
20	весь мир все	1	1
21	о том что	1	1
22	и того же	3	1
23	не могут быть	1	1
24	добро и зло	1	1
25	мы говорим о	1	1
26	заключает в себе	1	1
27	в новое время	1	1
28	как и в	1	1
29	том случае если	1	1
30	а не с	1	1
31	для себя и	1	1
32	та или иная	1	1
33	к одному из	1	1
34	в том числе	3	1
35	к вопросу о	1	1
36	содержанию а не	1	1
37	в то время	1	1
38	имея в виду	1	1
39	это и есть	1	1
40	в известном смысле	2	1
41	одного и того	3	1
42	я думаю что	1	1
