N	2gram	Voloshinov	VeschiIm
1	и не	8	57
2	не только	6	48
3	то что	6	48
4	не может	8	46
5	и в	13	45
6	и есть	1	40
7	может быть	8	39
8	а не	2	37
9	общения с	1	25
10	потому что	1	25
11	было бы	4	24
12	только в	6	23
13	по себе	1	23
14	что она	1	23
15	в себе	3	23
16	сказать что	1	22
17	и что	1	22
18	как бы	6	20
19	что такое	1	20
20	и следовательно	2	20
21	что же	3	19
22	но и	3	19
23	и ее	2	19
24	в этом	2	18
25	все же	5	18
26	так как	3	17
27	что мы	1	17
28	прежде всего	9	17
29	и это	1	17
30	есть не	2	17
31	таким образом	6	16
32	как и	3	15
33	в том	2	15
34	в ней	2	15
35	но это	1	14
36	и то	3	14
37	не в	3	14
38	в самом	2	13
39	том что	2	13
40	и для	3	13
41	это и	1	13
42	в себя	1	13
43	что в	3	12
44	то же	4	12
45	еще не	1	12
46	не что	2	12
47	точки зрения	7	12
48	но если	1	12
49	она есть	1	12
50	что они	2	12
51	что иное	2	12
52	между собою	2	12
53	и как	1	12
54	иное как	2	12
55	и их	7	11
56	не менее	2	11
57	и пр	7	11
58	еще и	4	11
59	тем не	1	11
60	вовсе не	2	11
61	также и	1	11
62	в то	1	11
63	в чем	2	10
64	с ее	1	10
65	хотя бы	5	9
66	говорить о	3	9
67	явление и	1	9
68	в своем	1	9
69	должно быть	1	9
70	но что	1	9
71	бы в	2	9
72	другими словами	1	9
73	но не	1	9
74	на то	1	9
75	и его	12	9
76	если бы	2	8
77	что он	1	8
78	себя и	1	8
79	но в	4	8
80	мы не	4	8
81	мы имеем	1	8
82	для него	2	8
83	в ее	3	8
84	все это	4	8
85	в отношении	2	8
86	его в	1	8
87	только и	4	8
88	с другой	2	8
89	отнюдь не	1	8
90	с этой	2	7
91	то не	1	7
92	самом деле	3	7
93	все эти	2	7
94	тем что	2	7
95	в действительности	2	7
96	и тогда	1	7
97	слова и	2	7
98	мог бы	2	7
99	и тем	2	7
100	а в	2	7
101	необходимо чтобы	1	7
102	для себя	2	6
103	в разных	1	6
104	и позитивизма	1	6
105	их в	1	6
106	в своей	4	6
107	в данном	2	6
108	в одном	3	6
109	и до	1	6
110	одна из	1	6
111	вопрос о	1	6
112	несмотря на	2	6
113	с точки	5	6
114	все равно	1	6
115	как же	1	6
116	и другое	1	6
117	в нем	2	6
118	должны быть	1	6
119	одно и	3	6
120	можно было	1	6
121	этот вопрос	1	6
122	когда мы	1	6
123	тех или	1	6
124	ведь и	1	6
125	и все	3	6
126	никогда не	3	6
127	как это	1	5
128	один из	1	5
129	и здесь	1	5
130	даже и	1	5
131	как к	1	5
132	мысли и	1	5
133	подобно тому	1	5
134	как о	1	5
135	вместе с	1	5
136	да и	3	5
137	я хочу	3	5
138	себе в	1	5
139	чем же	2	5
140	и если	1	5
141	быть не	1	5
142	те или	1	5
143	собою и	1	5
144	нет и	1	5
145	того же	1	5
146	понять и	1	5
147	мы видим	2	5
148	в его	7	5
149	от всех	2	5
150	в которой	3	5
151	на себя	1	5
152	то это	1	5
153	об этом	1	5
154	тому как	1	5
155	когда я	1	5
156	мы должны	6	5
157	быть и	1	5
158	то или	1	5
159	или как	1	5
160	собственно говоря	2	5
161	для этого	1	5
162	в чисто	1	5
163	в особенности	1	4
164	собственном смысле	1	4
165	переходит в	1	4
166	сводится к	1	4
167	более или	1	4
168	этой точки	1	4
169	существует но	1	4
170	равно как	1	4
171	она является	2	4
172	его на	2	4
173	с ними	2	4
174	с этим	3	4
175	его и	1	4
176	не существует	1	4
177	в основе	1	4
178	и более	1	4
179	того чтобы	1	4
180	есть прежде	3	4
181	же время	1	4
182	так же	2	4
183	никакого отношения	1	4
184	утверждаю что	1	4
185	тут же	1	4
186	тот же	2	4
187	общение в	1	4
188	и вот	1	4
189	так и	3	4
190	же не	1	4
191	же такое	1	4
192	в их	3	4
193	и чисто	1	4
194	и эта	5	4
195	в конце	1	4
196	и оно	1	4
197	или менее	1	4
198	и у	1	4
199	о сущности	1	4
200	мы можем	4	4
201	на этом	1	4
202	не было	1	4
203	который мы	2	4
204	только то	1	4
205	по своей	1	4
206	в этой	1	4
207	отношение к	1	4
208	и о	1	4
209	и чем	1	4
210	само по	1	4
211	только что	1	3
212	с вещами	1	3
213	из того	1	3
214	остановиться на	1	3
215	другой стороны	2	3
216	быть может	1	3
217	нет никакого	1	3
218	в своих	2	3
219	если не	1	3
220	ни о	1	3
221	заключается в	1	3
222	себя как	1	3
223	если он	1	3
224	в собственном	1	3
225	понимания и	1	3
226	как в	2	3
227	не имеет	2	3
228	явлений и	2	3
229	же есть	1	3
230	к тому	2	3
231	от этого	2	3
232	не является	4	3
233	но даже	1	3
234	одной стороны	2	3
235	это все	1	3
236	явления но	1	3
237	только на	1	3
238	мы получим	2	3
239	превращается в	3	3
240	есть она	1	3
241	в истории	1	3
242	или нет?	1	3
243	только с	1	3
244	не мог	2	3
245	вопроса о	4	3
246	в самой	1	3
247	в другом	2	3
248	к нему	1	3
249	но когда	1	3
250	явления как	1	3
251	на язык	2	3
252	не можем	1	3
253	с одной	2	3
254	этот метод	1	3
255	то мы	1	3
256	или иную	1	3
257	бы что	1	3
258	в виде	1	3
259	себе что	2	3
260	или в	1	3
261	раз навсегда	1	3
262	же как	1	3
263	тем более	1	3
264	к одному	3	3
265	выражение в	1	3
266	мы уже	2	3
267	ту или	1	3
268	как некая	1	3
269	и может	2	3
270	в науке	1	3
271	для человека	1	3
272	человека и	1	3
273	для того	1	3
274	оно может	1	3
275	может и	1	3
276	в целом	2	3
277	к другому	1	3
278	данной области	1	2
279	во всем	2	2
280	и к	2	2
281	и уже	3	2
282	можно говорить	1	2
283	и этот	2	2
284	и который	1	2
285	или иных	1	2
286	тому что	1	2
287	и дает	1	2
288	нужно сказать	1	2
289	не как	3	2
290	одно из	1	2
291	в связи	2	2
292	не столько	3	2
293	не на	2	2
294	все то	1	2
295	от одного	1	2
296	в столь	1	2
297	следовательно в	1	2
298	психологизма и	1	2
299	где она	1	2
300	другое дело	1	2
301	какой-то смысл	1	2
302	только одно	1	2
303	нет ничего	2	2
304	то он	1	2
305	он только	2	2
306	на основе	1	2
307	и уж	1	2
308	и должна	1	2
309	осмысления и	1	2
310	со всей	3	2
311	общения и	2	2
312	язык есть	1	2
313	конечно не	1	2
314	что существуют	1	2
315	не вполне	1	2
316	из наиболее	1	2
317	на две	2	2
318	в параллель	1	2
319	с его	1	2
320	к этому	1	2
321	не из	1	2
322	только о	1	2
323	точку зрения	3	2
324	едва ли	1	2
325	находятся в	1	2
326	ее и	1	2
327	она и	1	2
328	данном случае	2	2
329	ее на	1	2
330	на три	1	2
331	о значении	1	2
332	уже в	2	2
333	есть его	1	2
334	языка как	3	2
335	к истории	1	2
336	так в	1	2
337	этом отношении	1	2
338	он и	1	2
339	сознания и	2	2
340	слово в	3	2
341	не знаем	1	2
342	существует только	1	2
343	связи с	1	2
344	а также	2	2
345	в виду	1	2
346	должен сказать	1	2
347	может в	2	2
348	оба метода	1	2
349	но ведь	5	2
350	учение о	2	2
351	является не	1	2
352	же точно	1	2
353	на все	1	2
354	зрения и	1	2
355	один и	1	2
356	о которых	1	2
357	только к	1	2
358	он говорит	1	2
359	которую мы	1	2
360	ту же	1	2
361	совсем не	1	2
362	может идти	1	2
363	что эта	2	2
364	в начале	1	2
365	далеко не	1	2
366	лишь как	1	2
367	как совершенно	1	2
368	истории и	1	2
369	и вне	1	2
370	та или	1	2
371	отождествляется с	1	2
372	говорить об	2	2
373	нуждается в	2	2
374	но для	3	2
375	сливаются в	1	2
376	и подобно	1	1
377	это некое	1	1
378	из живого	1	1
379	в категории	1	1
380	которые только	2	1
381	определенных идей	1	1
382	ведь уже	1	1
383	оказалось не	1	1
384	для всех	1	1
385	что касается	1	1
386	одном случае	1	1
387	или только	1	1
388	языка что	1	1
389	общение по	1	1
390	за исключением	1	1
391	в языке	2	1
392	слово для	1	1
393	и должно	2	1
394	понятно но	1	1
395	момента в	1	1
396	в субъекте	1	1
397	этот материал	2	1
398	явлений или	1	1
399	связанное с	1	1
400	в некоторых	1	1
401	мы в	1	1
402	представим себе	2	1
403	и является	2	1
404	мышление и	1	1
405	эпохи не	1	1
406	в живом	1	1
407	в выражении	1	1
408	понимается как	1	1
409	со всеми	1	1
410	в них	2	1
411	классификацией и	1	1
412	связь с	1	1
413	систему оно	1	1
414	здесь мы	3	1
415	мы понимаем	2	1
416	вслед за	2	1
417	в чистую	1	1
418	если еще	1	1
419	ему в	1	1
420	тела и	3	1
421	не смогут	1	1
422	уже на	1	1
423	же самый	1	1
424	представление о	1	1
425	к другим	1	1
426	устойчивое и	1	1
427	не дается	1	1
428	может стать	2	1
429	языкового сознания	1	1
430	на эту	1	1
431	которого является	1	1
432	в которых	1	1
433	никто не	1	1
434	только ее	2	1
435	в абстрактное	1	1
436	говоря и	1	1
437	ничего в	1	1
438	метода в	5	1
439	но у	1	1
440	зависимости от	2	1
441	не пытается	1	1
442	беседую с	1	1
443	в поэтическом	1	1
444	ничего общего	3	1
445	но мы	4	1
446	в дальнейшем	1	1
447	как то	1	1
448	в природе	1	1
449	структуре этого	1	1
450	понятно что	3	1
451	которые не	1	1
452	в организме	1	1
453	входя в	1	1
454	во все	1	1
455	перейти в	1	1
456	уже из	1	1
457	где нет	1	1
458	эта связь	1	1
459	не имеют	1	1
460	и психологизма	1	1
461	можем установить	1	1
462	душа и	1	1
463	сознание что	1	1
464	случае и	2	1
465	и социальной	1	1
466	мое собственное	1	1
467	смысловой и	1	1
468	наконец в	2	1
469	и место	1	1
470	ее восприятия	1	1
471	они считают	1	1
472	наш анализ	1	1
473	не всегда	1	1
474	когда в	1	1
475	и истории	2	1
476	точно и	1	1
477	остается только	1	1
478	лишь в	4	1
479	но может	1	1
480	на почву	1	1
481	мы все	1	1
482	каждое слово	2	1
483	слов и	4	1
484	в различных	1	1
485	материи и	1	1
486	и наиболее	2	1
487	до того	1	1
488	этого общения	1	1
489	при этом	2	1
490	утверждается что	1	1
491	этого мы	1	1
492	и там	1	1
493	в отличие	1	1
494	из живой	1	1
495	него не	1	1
496	он все	1	1
497	с большим	1	1
498	одной из	1	1
499	жизнь как	1	1
500	к которому	1	1
501	членов этой	1	1
502	все время	1	1
503	процессов в	1	1
504	в сознании	4	1
505	это является	1	1
506	организма и	1	1
507	и всякого	1	1
508	здесь и	1	1
509	по поводу	1	1
510	в понимании	1	1
511	понимании его	1	1
512	только потому	1	1
513	как действительное	1	1
514	в едином	1	1
515	формы и	1	1
516	его можно	1	1
517	обратиться к	1	1
518	не зная	1	1
519	от более	1	1
520	только одного	1	1
521	и он	1	1
522	логики к	1	1
523	общения в	1	1
524	равно и	1	1
525	они не	1	1
526	и творческого	1	1
527	как средство	1	1
528	указать на	1	1
529	на том	1	1
530	внимание на	1	1
531	позитивистической метафизикой	1	1
532	нами четыре	1	1
533	силой этого	1	1
534	ее в	2	1
535	на самом	1	1
536	в течение	2	1
537	возможно только	1	1
538	и один	1	1
539	с их	1	1
540	слова есть	1	1
541	идеализма и	1	1
542	поэтому не	1	1
543	лежит в	1	1
544	а на	1	1
545	вне этой	1	1
546	что к	1	1
547	вещь он	1	1
548	в общем	2	1
549	сознания не	1	1
550	объекта и	1	1
551	движение в	1	1
552	сознания но	1	1
553	возможности в	1	1
554	или иная	1	1
555	это слово	1	1
556	сочетания этих	1	1
557	такого воззрения	1	1
558	тело которое	1	1
559	за которым	1	1
560	форм но	2	1
561	эти три	1	1
562	и иметь	1	1
563	переходим к	1	1
564	и социальная	1	1
565	и вместе	1	1
566	ставится в	1	1
567	этим самым	1	1
568	этого слова	1	1
569	в ряду	1	1
570	ли не	1	1
571	на одном	1	1
572	должно было	1	1
573	бы мы	1	1
574	в двух	4	1
575	что слово	1	1
576	то можно	1	1
577	которые с	1	1
578	которая есть	1	1
579	напр в	1	1
580	которая как	1	1
581	языка в	1	1
582	того или	2	1
583	обычно в	1	1
584	это конечно	1	1
585	как ни	1	1
586	на нем	1	1
587	вообще в	1	1
588	с самого	2	1
589	отличие от	1	1
590	в целях	2	1
591	в самых	1	1
592	не могу	1	1
593	которую не	1	1
594	во всей	2	1
595	и речи	1	1
596	однако если	1	1
597	конечно для	1	1
598	к новым	1	1
599	уже к	1	1
600	первое и	1	1
601	нами вопроса	1	1
602	связана с	3	1
603	в системе	1	1
604	или иные	1	1
605	не имеющие	1	1
606	свойств а	1	1
607	не приходится	1	1
608	из него	1	1
609	и тот	1	1
610	философия языка	1	1
611	конечно в	2	1
612	его чисто	1	1
613	в нашей	1	1
614	в пределах	3	1
615	речи она	1	1
616	но так	2	1
617	думать что	2	1
618	или иное	1	1
619	и часто	1	1
620	уже у	1	1
621	знаков не	1	1
622	если только	1	1
623	чтобы данная	1	1
624	как из	1	1
625	всего не	1	1
626	почему же	1	1
627	же самое	1	1
628	вопрос в	1	1
629	в книге	2	1
630	тех пор	4	1
631	природы и	1	1
632	могут быть	2	1
633	возможность а	1	1
634	в зависимости	2	1
635	я беседую	1	1
636	одним из	1	1
637	которое мы	2	1
638	всех существующих	1	1
639	подойти к	2	1
640	еще одно	1	1
641	том основании	1	1
642	была действительно	1	1
643	этот трудный	1	1
644	эта категория	1	1
645	в античной	1	1
646	а как	2	1
647	его внутреннее	1	1
648	и наконец	5	1
649	познания в	1	1
650	кажется что	2	1
651	воззрений на	1	1
652	что данное	1	1
653	и самый	1	1
654	бесконечно разнообразной	1	1
655	себе а	1	1
