N	2gram	Propp_Russ	Marksizm
1	точки зрения	3	69
2	может быть	14	64
3	и в	59	63
4	и не	6	55
5	как бы	18	53
6	не может	6	47
7	с точки	3	46
8	и пр	4	42
9	и его	2	41
10	в этом	18	39
11	таким образом	10	38
12	как мы	11	32
13	в пределах	2	31
14	не только	28	29
15	то же	6	28
16	в нем	3	28
17	но и	20	27
18	связи с	6	25
19	самом деле	1	25
20	как и	19	24
21	прежде всего	2	24
22	только в	4	23
23	так и	8	23
24	в том	33	22
25	то что	10	22
26	а не	3	22
27	при этом	11	20
28	для него	1	20
29	на почве	1	19
30	не в	2	19
31	если бы	1	19
32	том что	33	19
33	в его	3	19
34	и для	3	18
35	но в	5	18
36	все же	7	17
37	по отношению	1	16
38	и как	2	16
39	в то	3	16
40	во всех	6	15
41	в связи	4	15
42	отнюдь не	3	15
43	что он	2	15
44	русском языке	1	15
45	в русском	4	15
46	отношению к	1	15
47	в данном	7	14
48	в своей	1	13
49	так же	7	13
50	что в	35	13
51	и здесь	3	13
52	не является	2	13
53	того чтобы	6	13
54	было бы	3	13
55	ничего не	4	13
56	мы не	11	13
57	слова в	3	13
58	для того	6	12
59	того же	1	12
60	между тем	9	12
61	он не	1	12
62	в основе	1	12
63	а в	16	12
64	не столько	3	11
65	и того	1	11
66	к нему	3	11
67	мы уже	2	11
68	и что	8	11
69	и от	2	11
70	слова как	1	11
71	и на	14	11
72	и все	4	11
73	как в	10	11
74	еще не	7	11
75	друг друга	3	11
76	так как	25	11
77	на самом	3	11
78	все эти	5	11
79	в ней	3	11
80	именно в	3	10
81	во всяком	1	10
82	с другой	1	10
83	сказать что	1	10
84	к этому	7	10
85	никогда не	1	10
86	в своем	3	10
87	его в	9	10
88	в таком	5	10
89	одна из	12	10
90	в каждом	2	10
91	в основном	4	10
92	здесь мы	3	10
93	в большинстве	2	10
94	в отличие	4	10
95	с его	1	10
96	здесь в	1	10
97	и потому	3	10
98	отличие от	4	10
99	быть и	3	9
100	к тому	4	9
101	одного и	1	9
102	только на	4	9
103	в нашем	2	9
104	точка зрения	1	9
105	в себе	1	9
106	большинстве случаев	2	9
107	рядом с	1	9
108	и следовательно	2	9
109	и это	2	9
110	а как	1	9
111	мы видели	3	9
112	что это	4	9
113	ни в	1	9
114	не имеет	9	9
115	и более	3	9
116	это не	14	9
117	в истории	1	9
118	кроме того	3	8
119	не как	1	8
120	но что	2	8
121	и даже	1	8
122	и с	12	8
123	на этой	3	8
124	настоящее время	3	8
125	мы знаем	1	8
126	что и	8	8
127	у него	2	8
128	не было	3	8
129	что не	1	8
130	тому что	4	8
131	мы можем	2	8
132	или же	2	8
133	не будет	1	8
134	в форме	3	8
135	к другому	2	8
136	перед нами	2	8
137	в свою	3	8
138	этого слова	3	8
139	в настоящее	3	8
140	с этим	4	8
141	у нас	11	8
142	в их	5	8
143	и их	4	8
144	и ее	3	8
145	на то	2	8
146	от него	1	7
147	в этих	3	7
148	в котором	2	7
149	и те	3	7
150	свою очередь	2	7
151	те же	1	7
152	как раз	1	7
153	в качестве	5	7
154	в этой	4	7
155	могут быть	3	7
156	там где	3	7
157	с ними	6	7
158	на основе	1	7
159	до конца	5	7
160	о том	14	7
161	того что	6	7
162	в начале	1	7
163	далеко не	5	7
164	место в	2	7
165	в той	1	6
166	по мере	1	6
167	от одного	2	6
168	уже не	9	6
169	входит в	4	6
170	одной стороны	1	6
171	в другом	1	6
172	в различных	3	6
173	она может	1	6
174	с одной	1	6
175	с другими	3	6
176	между ними	1	6
177	из одного	1	6
178	всяком случае	1	6
179	должны быть	1	6
180	этот вопрос	4	6
181	то есть	3	6
182	должна быть	1	6
183	зависимости от	1	6
184	ничего общего	3	6
185	не имеют	1	6
