N	2gram	Savitsky_E	DiskursI
1	в качестве	14	72
2	а не	2	60
3	может быть	6	56
4	не только	18	49
5	и в	37	49
6	как и	7	47
7	тогда как	1	47
8	при этом	1	46
9	и не	14	44
10	в том	11	44
11	представляет собой	3	41
12	то есть	6	41
13	том что	6	40
14	в этом	12	38
15	в себе	9	37
16	состоит в	1	37
17	в частности	5	36
18	но и	14	35
19	но не	5	31
20	отличие от	1	28
21	со стороны	5	28
22	но в	14	28
23	так и	10	28
24	в отличие	1	27
25	не может	9	27
26	по своей	2	26
27	как в	3	25
28	отнюдь не	9	23
29	в рамках	1	23
30	а также	7	20
31	в своей	8	19
32	все же	1	19
33	в нем	1	19
34	прежде всего	9	19
35	далеко не	2	18
36	в основе	1	18
37	то же	15	17
38	в данном	3	17
39	с другой	7	17
40	в мире	2	17
41	по отношению	1	17
42	точки зрения	23	16
43	только в	9	16
44	о том	3	15
45	то что	6	15
46	в его	2	15
47	не менее	1	14
48	можно сказать	4	14
49	одной стороны	8	14
50	с одной	8	14
51	не в	5	14
52	не является	3	14
53	или иной	4	14
54	как бы	6	13
55	для него	1	13
56	в своих	2	12
57	в своем	14	12
58	того же	3	12
59	и на	6	12
60	и все	2	12
61	данном случае	2	12
62	являет собой	1	12
63	по природе	1	11
64	не было	1	11
65	не сводится	1	11
66	столь же	5	11
67	что в	21	11
68	с его	1	11
69	и как	2	11
70	той или	4	10
71	для себя	1	10
72	а в	2	10
73	же время	14	10
74	также и	7	10
75	в них	3	9
76	уже не	1	9
77	внимание на	1	9
78	между тем	8	9
79	в силу	2	9
80	в то	16	9
81	сводится к	1	9
82	еще в	1	9
83	тем самым	5	9
84	в этих	2	8
85	и даже	6	8
86	в соответствии	1	8
87	к тому	8	8
88	в котором	2	8
89	в одном	2	8
90	из них	3	8
91	хотя и	2	8
92	он не	2	8
93	если в	2	8
94	не на	4	8
95	жизни в	3	8
96	потому что	3	8
97	соответствии с	1	8
98	этом отношении	3	8
99	и о	1	8
100	другой стороны	2	7
101	таким образом	2	7
102	иначе говоря	2	7
103	одной из	5	7
104	что и	3	7
105	тому же	1	7
106	в этой	2	7
107	могут быть	2	7
108	например в	1	7
109	в процессе	4	7
110	ни для	1	7
111	той же	1	7
112	но это	1	7
113	и для	3	7
114	в пределах	25	7
115	лишь в	1	7
116	и ее	1	7
117	и его	1	7
118	мира в	4	7
119	не как	1	6
120	одно из	1	6
121	именно в	4	6
122	и того	2	6
123	времени в	1	6
124	одна из	1	6
125	никогда не	3	6
126	то в	4	6
127	в принципе	1	6
128	с точки	17	6
129	в ее	8	6
130	во всех	6	6
131	и то	2	6
132	имеет место	2	6
133	в которых	3	6
134	в истории	2	6
135	что же	2	6
136	дело в	3	6
137	в одной	1	6
138	одного из	1	6
139	в той	5	5
140	мысль о	1	5
141	по своим	3	5
142	но они	1	5
143	говорить о	1	5
144	не обязательно	1	5
145	значительной степени	1	5
146	свою очередь	2	5
147	в прошлом	3	5
148	к ним	3	5
149	сказать что	4	5
150	несмотря на	4	5
151	же касается	1	5
152	в сторону	2	5
153	на этом	1	5
154	с ее	1	5
155	тем что	3	5
156	одного и	1	5
157	во второй	3	5
158	во втором	2	5
159	один из	1	5
160	себе не	3	5
161	за пределы	1	5
162	оно не	1	5
163	в свою	3	5
164	в значительной	2	5
165	известной степени	3	5
166	к той	2	5
167	того что	7	5
168	в ней	4	5
169	мира и	3	5
170	в их	11	5
171	и потому	5	5
172	стороны и	6	5
173	как будто	2	5
174	не к	2	5
175	в самом	4	4
176	и к	3	4
177	человеческой жизни	1	4
178	говорит о	3	4
179	в результате	3	4
180	или на	1	4
181	и до	1	4
182	в жизни	1	4
183	его на	2	4
184	во всяком	3	4
185	точка зрения	2	4
186	по преимуществу	2	4
