N	3gram	Vinokur_St	SlovoVZh
1	по отношению к	3	11
2	не может быть	5	7
3	в том что	29	4
4	дело в том	7	4
5	и по отношению	1	3
6	то ни было	1	3
7	до сих пор	12	3
8	и не в	1	3
9	бы то ни	2	3
10	тем не менее	4	3
11	и не может	1	3
12	может быть и	2	3
13	на самом деле	7	2
14	в какой степени	1	2
15	с этой стороны	1	2
16	одно и то	1	2
17	в отношении к	1	2
18	в данном случае	7	2
19	в зависимости от	2	2
20	с одной стороны	2	2
21	с другой стороны	8	2
22	что не может	2	2
23	и то же	1	2
24	с точки зрения	10	2
25	в настоящее время	2	2
26	сих пор не	1	1
27	сам по себе	1	1
28	является то что	1	1
29	для него не	1	1
30	сами по себе	2	1
31	и таким образом	1	1
32	о том что	19	1
33	одной точки зрения	1	1
34	бы они ни	1	1
35	в самом деле	7	1
36	такой же степени	1	1
37	в том и	1	1
38	чтобы убедиться в	1	1
39	в высшей степени	1	1
40	не может особенно	1	1
41	и на этом	1	1
42	ничего общего с	3	1
43	а между тем	2	1
44	ее отношении к	1	1
45	то что для	1	1
46	как и в	2	1
47	в том же	3	1
48	же время не	1	1
49	на протяжении всей	1	1
50	и проч все	1	1
51	в так называемой	1	1
52	во всяком случае	8	1
53	о том кто	2	1
54	но в то	2	1
55	имеем дело с	2	1
56	в лучшем случае	1	1
57	в ее отношении	1	1
58	только то что	1	1
59	и тем же	2	1
60	как это делает	1	1
61	с самого начала	3	1
62	то что оно	1	1
63	же как и	1	1
64	он не должен	1	1
65	точки зрения как	1	1
66	можно было бы	8	1
67	в этом отношении	13	1
68	о самом себе	1	1
69	так же как	5	1
70	если бы оно	1	1
71	то же время	5	1
72	свое выражение в	2	1
73	уже и сейчас	1	1
74	более или менее	2	1
75	но и в	2	1
76	но сами по	1	1
77	в то же	5	1
78	в значительной степени	2	1
79	то время как	1	1
80	как на самом	1	1
81	это прежде всего	2	1
82	говорит о том	3	1
83	том что в	4	1
84	мы имеем дело	1	1
85	так как в	2	1
86	и в этом	4	1
87	по крайней мере	2	1
88	ни в чем	1	1
89	на этом основании	1	1
90	того чтобы не	1	1
91	может быть ни	1	1
92	есть в ней	1	1
93	но и вся	1	1
94	в то время	2	1
95	в этом смысле	2	1
96	но все это	2	1
97	является для нас	1	1
98	того что именно	2	1
99	но все же	3	1
100	каких бы то	1	1
101	убедиться в этом	1	1
102	одним и тем	2	1
103	к тому же	2	1
104	они ни были	1	1
