N	3gram	Bakhtin_Pr	PoTuStor
1	с точки зрения	21	6
2	на самом деле	4	4
3	по ту сторону	2	4
4	с самого начала	1	4
5	до сих пор	9	3
6	не может быть	8	3
7	в большинстве случаев	10	3
8	по крайней мере	2	3
9	может быть это	1	3
10	в этом смысле	12	3
11	по сравнению с	1	3
12	мы полагаем что	1	3
13	во всяком случае	4	3
14	можно сказать что	2	3
15	все то что	3	2
16	так же как	1	2
17	а потому и	1	2
18	не существовало бы	1	2
19	во всех его	1	2
20	о том что	2	2
21	не могут быть	1	2
22	в самом деле	6	2
23	и это главное	1	2
24	в начале пути	1	2
25	в его целом	6	2
26	друг на друга	2	2
27	и в этом	5	2
28	нам кажется что	3	2
29	он может быть	2	1
30	быть не может	1	1
31	остановимся прежде всего	1	1
32	так и в	2	1
33	те же что	1	1
34	в том что	6	1
35	друг с другом	3	1
36	и со всеми	1	1
37	и на своей	1	1
38	точки зрения может	1	1
39	а может быть	1	1
40	каких бы то	1	1
41	только себя и	1	1
42	рано или поздно	1	1
43	и быть не	1	1
44	дело в том	1	1
45	он прежде всего	1	1
46	могут быть поняты	1	1
47	оно ни было	1	1
48	той или иной	1	1
49	я и мир	1	1
50	только в этой	2	1
51	но несмотря на	1	1
52	подобно тому как	3	1
53	ничего общего не	1	1
54	в пределах своего	1	1
55	как мы сказали	3	1
56	в известной степени	1	1
57	можно было бы	3	1
58	прежде всего на	1	1
59	и есть та	1	1
60	с нею и	1	1
61	мы должны перейти	1	1
62	того в каком	1	1
63	при всей их	1	1
64	в данном случае	2	1
65	мы имеем в	1	1
66	это последнее слово	1	1
67	лишь абстрактный момент	1	1
68	как мы знаем	1	1
69	переносит центр тяжести	1	1
70	же что и	1	1
71	есть прежде всего	1	1
72	это творчество как	1	1
73	и ту же	1	1
74	должны перейти к	1	1
75	для него только	1	1
76	самом деле в	1	1
77	может быть даже	1	1
78	же как и	2	1
79	так как его	1	1
80	со всеми его	1	1
81	всяком случае не	1	1
82	то ни было	2	1
83	имеем в виду	1	1
84	с ним и	2	1
85	нельзя сказать о	1	1
86	мы отвлечемся от	1	1
87	этой точки зрения	2	1
88	с другими моментами	1	1
89	в высшей степени	1	1
90	мы увидим что	1	1
91	которая позволила бы	1	1
92	одну и ту	1	1
93	мы видим и	1	1
94	на первый взгляд	1	1
95	то же самое	1	1
96	она может быть	1	1
97	как один из	2	1
98	если б я	1	1
99	жизни и наконец	1	1
100	для того чтобы	1	1
101	что может быть	3	1
102	как и всегда	1	1
103	и лишь в	1	1
104	из этих трех	3	1
105	точки зрения сознания	1	1
106	в нем и	1	1
107	с одной стороны	1	1
108	то что я	1	1
109	центр тяжести в	1	1
110	отношения к предмету	1	1
111	при всей ее	1	1
112	в этом отношении	3	1
113	и пр как	1	1
114	бы оно ни	1	1
115	таким образом и	2	1
116	это и есть	1	1
117	из одного плана	1	1
118	бы то ни	3	1
119	и входит в	2	1
120	теперь мы должны	1	1
121	чтобы войти в	1	1
122	зависит от того	1	1
123	его целом это	1	1
124	если бы он	1	1
125	но именно этот	1	1
126	в связи с	1	1
127	быть объяснены и	1	1
128	уже не может	1	1
129	между собою в	1	1
130	может быть только	1	1
