N	4gram	Tiupa_Hudo	Myslijsy
1	в то же время	11	13
2	но тем не менее	2	10
3	только в том что	3	8
4	не в том что	1	7
5	все более и более	1	4
6	дело в том что	1	4
7	и в этом смысле	1	4
8	в том что он	1	3
9	заключается в том что	1	3
10	и то и другое	1	3
11	а в том как	1	3
12	с этой точки зрения	1	3
13	и в этом случае	1	3
14	с одной стороны и	1	3
15	а между тем в	1	3
16	в том смысле как	1	2
17	в человеке и в	1	2
18	то же самое что	2	2
19	если бы не было	1	2
20	состоит в том что	3	2
21	в том случае если	2	2
22	не только в том	2	2
23	уже в том что	1	2
24	одна и та же	1	2
25	но с другой стороны	1	2
26	и по отношению к	1	2
27	что он не знает	1	1
28	до сих пор еще	1	1
29	только в том случае	1	1
30	что бы то ни	1	1
31	которому она могла бы	1	1
32	в том как он	1	1
33	только о том что	1	1
34	сводится к тому что	1	1
35	то а не другое	1	1
36	тому и другому в	1	1
37	том случае если бы	1	1
38	во что бы то	1	1
39	имеет ничего общего с	1	1
40	в том что она	1	1
41	упускать из виду что	1	1
42	мы тем не менее	1	1
43	а для того чтобы	1	1
44	еще и потому что	1	1
45	между внешним и внутренним	2	1
46	и в самом деле	4	1
47	бы то ни стало	1	1
48	и о том что	2	1
49	не только потому что	1	1
50	не имеют для них	1	1
51	в том числе и	1	1
52	не имеет ничего общего	1	1
53	в самом деле в	1	1
54	к своей исходной точке	1	1
55	лишь в том случае	1	1
56	то же время не	1	1
57	по отношению к другим	1	1
58	так же как и	1	1
59	в том и состоит	1	1
60	и в этом отношении	1	1
61	мы имеем дело с	1	1
62	точно так же как	1	1
63	он не нуждается в	1	1
