N	3gram	Tiupa_Disk	RusskieA
1	в том что	18	49
2	состоит в том	3	29
3	тем не менее	1	14
4	в этом случае	3	12
5	вместе с тем	1	11
6	о том что	8	10
7	том что в	3	9
8	в том чтобы	2	9
9	в данном случае	6	8
10	подобно тому как	4	8
11	не может быть	5	6
12	в это время	1	6
13	как мы видели	1	6
14	в связи с	1	5
15	в отличие от	12	4
16	а иногда и	1	4
17	во всяком случае	2	4
18	по отношению к	13	3
19	по своему происхождению	2	3
20	более или менее	2	3
21	до сих пор	1	3
22	и в том	1	3
23	в свою очередь	3	3
24	и потому что	1	3
25	на то что	1	3
26	с точки зрения	3	3
27	тому как в	1	3
28	далеко не все	1	3
29	о том как	1	2
30	в большинстве случаев	2	2
31	дело не в	1	2
32	ни одно из	2	2
33	в е годы	2	2
34	из них в	1	2
35	что каждый из	1	2
36	в одном ряду	1	2
37	том что на	1	2
38	в россии в	1	2
39	но все же	1	2
40	с другой стороны	4	2
41	к этому времени	1	2
42	пока еще не	3	2
43	в тех случаях	1	2
44	не только по	1	2
45	в евгении онегине	1	2
46	состояло в том	1	2
47	равно как и	1	2
48	ту или иную	1	2
49	сближает его с	1	2
50	как и в	3	2
51	но и потому	1	2
52	можно сказать что	3	2
53	на самом деле	1	2
54	это пока еще	1	2
55	это еще не	2	2
56	в равной степени	2	2
57	не только в	2	2
58	во всех этих	1	2
59	тех случаях когда	1	2
60	одна из них	1	2
61	с одной стороны	12	2
62	в этом отношении	4	2
63	еще в xix	1	2
64	в одних случаях	1	1
65	время от времени	1	1
66	и как бы	5	1
67	с этим связан	1	1
68	по нескольку раз	1	1
69	как будто бы	2	1
70	это приводит к	1	1
71	в этом состояло	1	1
72	как и вообще	1	1
73	задача науки состоит	1	1
74	они и не	1	1
75	в xix веке	1	1
76	одни и те	1	1
77	до наших дней	1	1
78	в предыдущей главе	1	1
79	о любви и	1	1
80	но далеко не	1	1
81	так например в	1	1
82	представление будто именно	1	1
83	следующим образом в	1	1
84	далеко не всегда	1	1
85	потому что в	2	1
86	только потому что	1	1
87	все то что	1	1
88	в таком случае	1	1
89	одного и того	4	1
90	на этом основании	1	1
91	об этом так	1	1
92	сам по себе	1	1
93	не может так	1	1
94	приходит к выводу	1	1
95	но в данном	1	1
96	в такой же	1	1
97	за тридевять земель	1	1
98	далеко не полностью	1	1
99	можно указать на	1	1
100	легко заметить что	1	1
101	между тем как	1	1
102	по аналогии с	2	1
103	что в них	2	1
104	можно говорить о	1	1
105	встречается и в	1	1
106	к тому же	4	1
107	говорит о том	1	1
108	и того же	4	1
109	при этом он	1	1
110	то же самое	2	1
111	имеются и другие	1	1
112	значении этого слова	1	1
113	и там где	1	1
114	по-видимому в том	1	1
115	несмотря на все	1	1
116	в другом месте	1	1
117	то что и	2	1
118	или во всяком	1	1
119	одном и том	1	1
120	имея в виду	1	1
121	в значительной степени	3	1
122	можно рассматривать как	1	1
123	в своем значении	1	1
124	и один из	1	1
125	прежде всего как	1	1
126	из значений слова	1	1
127	в научной литературе	1	1
128	только по отношению	1	1
129	и том же	1	1
130	в своего рода	1	1
131	еще и в	1	1
132	и те же	1	1
133	следует обратить внимание	1	1
134	в противном случае	1	1
135	и может быть	3	1
136	представляет собой как	1	1
137	что не только	1	1
138	в греко-римской античности	1	1
139	в целом ряде	1	1
140	то что в	1	1
141	что с ними	1	1
142	там же с	1	1
143	на некоторое время	1	1
144	быть и не	1	1
145	только в том	2	1
146	это бывает в	1	1
147	но она имела	1	1
148	из того что	1	1
149	хотя бы на	1	1
150	дело в том	3	1
151	это как будто	1	1
152	как и все	1	1
153	состоит не только	1	1
154	когда он пишет	1	1
155	между собой и	1	1
156	не только потому	1	1
157	данном случае мы	1	1
158	особый интерес представляет	1	1
159	распространенное представление о	1	1
160	с ней и	1	1
161	в первую очередь	3	1
162	в новое время	1	1
163	на первый взгляд	1	1
164	одно из значений	1	1
165	тогда как в	5	1
166	сюда же относятся	1	1
167	и не только	2	1
168	это и есть	1	1
169	ее к себе	1	1
170	это прежде всего	3	1
171	в основе своей	4	1
172	то что происходило	1	1
