N	3gram	Berdyaev_M	Freidism
1	с точки зрения	1	15
2	не может быть	22	14
3	по отношению к	4	11
4	в самом деле	1	10
5	в том что	3	9
6	во всяком случае	1	8
7	на протяжении всей	1	6
8	в высшей степени	4	6
9	может быть и	2	6
10	– все это	1	5
11	мы увидим что	4	4
12	сам по себе	1	4
13	на самом деле	1	4
14	в зависимости от	1	4
15	в чем не	2	4
16	по ту сторону	1	4
17	в первый период	1	4
18	не могут быть	2	4
19	в этом отношении	1	4
20	ни в чем	2	4
21	для того чтобы	4	3
22	выйти за пределы	1	3
23	о том что	3	3
24	до сих пор	5	3
25	к тому чтобы	2	3
26	и той же	2	3
27	во всех своих	1	3
28	одной и той	2	3
29	быть и речи	1	3
30	– один из	3	3
31	а вовсе не	1	3
32	нет и не	1	3
33	и не может	2	3
34	и есть та	1	2
35	– пишет он	1	2
36	он не только	2	2
37	хотя бы и	2	2
38	его отношение к	2	2
39	в конце концов	3	2
40	чем он сам	1	2
41	а следовательно и	1	2
42	для этого нужно	1	2
43	– одно из	1	2
44	что он сам	1	2
45	с отцом и	1	2
46	что и в	3	2
47	в отличие от	1	2
48	и по отношению	1	2
49	том что он	1	2
50	природной и социальной	1	2
51	выходит за пределы	1	2
52	к тому что	1	2
53	это и есть	7	2
54	это прежде всего	1	2
55	он никогда не	3	1
56	что он не	3	1
57	о себе и	1	1
58	человек не может	3	1
59	никогда и нигде	1	1
60	в вопросе о	1	1
61	и те же	2	1
62	но ведь как	1	1
63	сих пор не	1	1
64	часто трудно бывает	1	1
65	к нему и	1	1
66	а может быть	1	1
67	же прежде всего	1	1
68	в самые последние	1	1
69	природа человека –	1	1
70	как будто бы	2	1
71	что она не	1	1
72	он не принимает	1	1
73	том что это	1	1
74	вообще не существует	1	1
75	но не может	1	1
76	новых и новых	1	1
77	культуры и истории	1	1
78	влечет его к	1	1
79	него не существует	1	1
80	он хочет быть	1	1
81	в свою противоположность	4	1
82	в истории –	1	1
83	но и в	4	1
84	от того что	4	1
85	мы видим в	1	1
86	по сравнению с	2	1
87	но и его	1	1
88	но она не	1	1
89	и вот с	1	1
90	потому не может	1	1
91	для него не	2	1
92	во всех его	1	1
93	выходят за пределы	1	1
94	– не только	1	1
95	имеем в виду	1	1
96	а иногда и	1	1
97	– нет не	1	1
98	одни и те	1	1
99	никогда не отражает	1	1
100	она не знает	1	1
101	в себе и	2	1
102	и социальной среды	1	1
103	него никогда не	1	1
104	как бы в	1	1
105	не был связан	1	1
106	в этой борьбе	1	1
107	иное отношение к	1	1
108	и не было	2	1
109	в человеке –	1	1
110	отличает его от	1	1
111	они не могут	1	1
112	у него никогда	1	1
113	ответ на это	1	1
114	в глубине ее	1	1
115	для человека в	1	1
116	только в этом	1	1
117	в то время	2	1
118	и во многих	1	1
119	страдания и это	1	1
120	друг на друга	1	1
121	что он был	1	1
122	во многих отношениях	1	1
123	и только он	1	1
124	не было бы	5	1
125	но не только	1	1
126	жизни и в	1	1
127	– только одно	1	1
128	он остается в	1	1
129	в себе самом	1	1
130	не что иное	4	1
131	социальной среды если	1	1
132	то же что	1	1
133	как в самом	1	1
134	прежде всего должен	1	1
135	как и все	1	1
136	она не может	1	1
137	люди а не	1	1
138	с еще большей	1	1
139	бросается в глаза	1	1
140	так как они	1	1
141	но для этого	2	1
142	так же как	1	1
143	смысле этого слова	1	1
144	в этом опыте	1	1
145	было для него	2	1
146	во всех этих	1	1
147	находятся в состоянии	1	1
148	том что в	1	1
149	точку зрения и	1	1
150	и никогда не	3	1
151	есть прежде всего	4	1
152	быть может наиболее	1	1
153	то мы имеем	1	1
154	к которой он	1	1
155	есть не что	3	1
156	человека и все	1	1
157	но не в	1	1
158	своей души и	1	1
159	себя и не	1	1
160	кровь от крови	3	1
161	нужно сказать что	1	1
162	и тогда когда	1	1
163	плоть от плоти	3	1
164	личности и ее	1	1
165	в наше время	1	1
166	все в нем	1	1
167	что иное как	4	1
168	что это не	2	1
169	все это не	1	1
170	в нем и	1	1
171	и в нем	3	1
172	на этом пути	4	1
173	он не был	1	1
174	мы имеем в	1	1
175	может быть непосредственно	1	1
176	но и сама	1	1
177	не было такого	1	1
178	между тем как	2	1
179	до конца и	1	1
180	можно было бы	1	1
181	мы чувствуем себя	1	1
182	и потому не	3	1
