N	3gram	Losev_Dial	EvropaiE
1	с точки зрения	25	16
2	в то же	3	15
3	то же время	3	14
4	и в то	2	8
5	с одной стороны	3	8
6	в том что	12	6
7	одной стороны и	1	6
8	так же как	2	5
9	этой точки зрения	4	5
10	для того чтобы	1	5
11	с этой точки	4	5
12	того или иного	3	4
13	той или иной	2	4
14	само по себе	8	4
15	не только в	1	4
16	то ни было	1	4
17	бы то ни	2	4
18	и в этом	4	4
19	в применении к	1	3
20	в этом смысле	1	3
21	же как и	1	3
22	ту или иную	1	3
23	не является ли	1	3
24	во всяком случае	3	3
25	можно сказать что	1	3
26	и прежде всего	6	3
27	в этом отношении	2	3
28	в одном из	1	2
29	сказать что в	1	2
30	рано или поздно	1	2
31	и в частности	2	2
32	но в то	1	2
33	не может быть	12	2
34	на то что	3	2
35	в данном случае	3	2
36	прежде всего в	1	2
37	по себе не	1	2
38	по сравнению с	1	2
39	заключается в том	1	2
40	есть не только	3	2
41	имеет место в	1	2
42	друг от друга	1	2
43	с другой стороны	3	2
44	из того что	2	2
45	не говоря уже	6	2
46	и т д	38	1
47	говорить не о	1	1
48	хотя и не	2	1
49	как одно из	1	1
50	этом отношении с	1	1
51	не имеет значения	2	1
52	этом несмотря на	1	1
53	и не только	5	1
54	совершенно достаточно чтобы	1	1
55	другой стороны в	1	1
56	может быть установлена	1	1
57	и та же	3	1
58	если так то	3	1
59	т е не	4	1
60	о котором мы	1	1
61	это может быть	1	1
62	здесь говорить о	1	1
63	речь идет о	1	1
64	в лучшем случае	2	1
65	то или иное	4	1
66	мы не можем	2	1
67	к тому что	2	1
68	мы отнюдь не	2	1
69	том смысле что	1	1
70	для нас в	2	1
71	но если так	2	1
72	и эта последняя	1	1
73	в этом мире	1	1
74	тех или иных	2	1
75	как и всякая	1	1
76	то время как	6	1
77	и имеет место	1	1
78	есть то что	8	1
79	в истории культуры	1	1
80	рассматривать с точки	1	1
81	в том смысле	1	1
82	в отличие от	1	1
83	во всем его	1	1
84	принимая во внимание	1	1
85	так как мы	1	1
86	в себе не	2	1
87	в каком же	1	1
88	и то и	1	1
89	то что с	1	1
90	что оно не	1	1
91	именно тогда когда	1	1
92	и это потому	1	1
93	только в виде	1	1
94	и в отношении	1	1
95	из всего этого	1	1
96	не более как	1	1
97	не могут быть	3	1
98	не есть ли	2	1
99	то и другое	2	1
100	не может не	3	1
101	в каком смысле	5	1
102	с тем что	1	1
103	ли он в	1	1
104	в силу этого	3	1
105	и даже более	1	1
106	но также и	1	1
107	вовсе не в	3	1
108	в связи с	3	1
109	религии и философии	1	1
110	и не в	1	1
111	в некоторых случаях	1	1
112	та или иная	3	1
113	в последнее время	2	1
114	хотя бы только	2	1
115	сотни и тысячи	1	1
116	это значит что	25	1
117	во внимание что	1	1
118	том что обе	1	1
119	поскольку речь идет	1	1
120	связи с этим	1	1
121	говоря уже о	6	1
122	в то время	6	1
123	только тогда когда	6	1
124	чем в других	1	1
125	более или менее	1	1
126	есть ли уже	1	1
127	независимо от того	1	1
128	но так как	1	1
129	это потому что	1	1
130	не нужно думать	1	1
131	нужно думать что	1	1
132	к тому же	2	1
133	одна и та	3	1
134	не значит ли	1	1
