N	4gram	Potebnia_M	VeschiIm
1	не что иное как	1	12
2	бы то ни было	1	12
3	есть не что иное	1	8
4	одно и то же	7	5
5	дело в том что	1	4
6	в то же время	8	4
7	в то время как	3	4
8	это значит что я	1	3
9	и то же понятие	1	3
10	или по крайней мере	2	2
11	или что то же	1	2
12	заключается в том что	1	2
13	в том что он	2	2
14	и в самом деле	1	1
15	только в том что	3	1
16	мы не можем потому	1	1
17	в том смысле что	2	1
18	не только не есть	1	1
19	не можем потому что	1	1
20	от того что она	1	1
21	в самом деле в	1	1
22	но и то что	1	1
23	когда мы говорим что	1	1
24	с одной стороны и	1	1
25	в том что и	1	1
26	одного и того же	2	1
27	можно выразить и иначе	1	1
28	действует на него как	1	1
29	и та и другая	2	1
30	что как бы ни	1	1
31	и то и другое	1	1
32	самом общем смысле этого	1	1
33	уже одно то что	1	1
34	этот звук не есть	1	1
35	иначе и быть не	1	1
36	а в том что	1	1
37	и быть не может	1	1
38	есть то что мы	1	1
39	дело вовсе не в	1	1
40	общем смысле этого слова	1	1
41	нужно для того чтобы	1	1
42	в том что это	1	1
43	потому что оно есть	1	1
44	один и тот же	2	1
