N	2gram	Vinokur_St	BTomashe
1	у нас	12	3
2	все это	13	2
3	в ней	9	2
4	на стр	4	2
5	можно было	14	2
6	ее задач	1	2
7	не то	1	2
8	стр и	5	2
9	больше чем	3	2
10	и не	23	2
11	видеть в	1	2
12	следовало бы	2	1
13	неудивительно что	2	1
14	вопрос о	9	1
15	говорить о	3	1
16	и о	4	1
17	только более	1	1
18	о них	3	1
19	не только	36	1
20	г стр	1	1
21	остановиться на	1	1
22	создает впечатление	1	1
23	нас еще	1	1
24	таким образом	16	1
25	не было	7	1
26	меньшей мере	3	1
27	в эпоху	3	1
28	прежде всего	11	1
29	стр в	4	1
30	бы только	2	1
31	и в	61	1
32	их что	2	1
33	на самом	8	1
34	так и	15	1
35	на которой	2	1
36	в своей	12	1
37	стиля и	1	1
38	если таким	1	1
39	во всяком	8	1
40	и потому	3	1
41	и во	3	1
42	литературы поэтика	1	1
43	за пределы	2	1
44	томашевского и	1	1
45	по крайней	2	1
46	с другой	11	1
47	об этом	9	1
48	художественного произведения	1	1
49	стих и	1	1
50	как будто	5	1
51	зато очень	1	1
52	совершенно не	7	1
53	не о	2	1
54	другой стороны	9	1
55	крайней мере	2	1
56	основное значение	1	1
57	всяком случае	8	1
58	кроме того	3	1
59	было бы	21	1
60	не следует	1	1
61	не признать	1	1
62	точно и	2	1
63	чем на	1	1
64	одной из	4	1
65	в значительной	2	1
66	по меньшей	3	1
67	в пределах	1	1
68	в данном	16	1
69	более что	2	1
70	должна быть	3	1
71	в области	16	1
72	заслуживает всяческого	1	1
73	далеко не	1	1
74	тем более	4	1
75	в научном	1	1
76	не вполне	1	1
77	то как	1	1
78	и более	4	1
79	что все	3	1
80	не все	3	1
81	нельзя не	3	1
82	никак не	1	1
83	в книге	1	1
84	значительной степени	3	1
85	чтобы можно	2	1
86	его не	3	1
87	будто бы	4	1
88	ясного и	1	1
89	а не	19	1
90	отметить также	1	1
91	до конца	4	1
92	не укладывается	1	1
93	и на	7	1
94	по отдельным	1	1
95	между ними	1	1
96	еще не	4	1
97	целиком в	1	1
98	к ней	1	1
99	все же	12	1
100	работа по	1	1
101	что в	41	1
