N	4gram	Losev_Prob	Mirosoze
1	и вместе с тем	2	5
2	в то время как	4	4
3	не что иное как	3	4
4	добра и зла и	1	3
5	в том что он	2	3
6	легенда о великом инквизиторе	1	2
7	все более и более	1	2
8	ни в чем не	2	2
9	познания добра и зла	1	2
10	вместе с тем он	1	2
11	и в конце концов	1	2
12	в том смысле что	1	1
13	двойственность с одной стороны	1	1
14	общего не имеет с	1	1
15	не сам по себе	2	1
16	то время как у	1	1
17	указывает на то что	1	1
18	не только о том	1	1
19	в то же время	1	1
20	в преступлении и наказании	1	1
21	это не значит что	1	1
22	и точном смысле слова	1	1
23	свободы человеческого духа свободы	1	1
24	только о том что	2	1
25	у достоевского нет ни	1	1
26	в своей борьбе с	1	1
27	с одной стороны он	1	1
28	ничего общего не имеет	1	1
29	по своему значению и	1	1
