N	3gram	Medvedev_U	VLabPisa
1	в этом отношении	2	14
2	не может быть	4	8
3	с другой стороны	3	8
4	более или менее	1	6
5	в том что	2	5
6	в конечном счете	4	5
7	хотя бы и	2	5
8	в художественном творчестве	2	5
9	в то же	3	5
10	то же время	3	5
11	в художественном произведении	2	4
12	равно как и	1	4
13	можно сказать что	1	4
14	не было бы	1	4
15	не могут быть	2	4
16	большей или меньшей	1	3
17	в значительной мере	1	3
18	произведения как целого	1	3
19	в процессе художественного	1	3
20	процессе художественного творчества	1	3
21	в этой области	3	3
22	и в то	1	3
23	по крайней мере	2	2
24	не в том	1	2
25	в точном смысле	1	2
26	в большей или	1	2
27	говорить не о	1	2
28	в противном случае	2	2
29	до сих пор	2	2
30	в конце концов	2	2
31	или меньшей степени	1	2
32	не только в	1	2
33	с одной стороны	1	2
34	но по существу	1	1
35	художественное творчество и	1	1
36	приходится признать что	1	1
37	достоевского и толстого	1	1
38	на то что	1	1
39	на предыдущих страницах	1	1
40	словесного художественного творчества	1	1
41	в этом смысле	2	1
42	в течение многих	1	1
43	но не могут	1	1
44	имеем в виду	1	1
45	данного произведения в	1	1
46	содержания и формы	1	1
47	в этом случае	1	1
48	может быть в	1	1
49	в самом деле	2	1
50	что все они	1	1
51	только в этом	1	1
52	тех или иных	2	1
53	а между тем	2	1
54	но даже и	2	1
55	все же не	1	1
56	так или иначе	1	1
57	что для него	1	1
58	то о чем	1	1
59	другой стороны в	1	1
60	и в их	1	1
61	в этом плане	1	1
62	в известном письме	1	1
63	но в то	1	1
64	в сфере искусства	1	1
65	по меньшей мере	1	1
66	по его собственному	1	1
67	в данном случае	1	1
68	этом отношении очень	1	1
69	в словесном творчестве	1	1
70	мы полагаем что	1	1
71	л толстого и	1	1
72	в ней не	1	1
73	не может обойтись	1	1
74	свойственна не только	1	1
75	сводится именно к	1	1
76	то же самое	2	1
77	никогда не может	1	1
78	лирических стихотворений и	1	1
79	не случайно и	1	1
80	а не только	1	1
81	наивно полагая что	1	1
