N	4gram	Losev_Vlad	Komedia
1	в то же время	7	16
2	в то время как	2	9
3	бы то ни было	1	7
4	не говоря уже о	3	6
5	в том что он	2	4
6	ни в чем не	1	3
7	один и тот же	2	3
8	само собой разумеется что	1	3
9	в самой общей форме	1	2
10	в том что в	2	2
11	и в то же	3	2
12	и на этот раз	2	2
13	и в том что	1	1
14	по поводу того что	1	1
15	не что иное как	2	1
16	и есть для нас	1	1
17	но вместе с тем	1	1
18	вступить с ней в	1	1
19	и о том что	1	1
20	в дружеских отношениях с	2	1
21	до тех пор пока	2	1
22	но как раз в	1	1
23	насколько можно судить по	1	1
24	и во всяком случае	1	1
25	за несколько месяцев до	1	1
26	о том что он	2	1
27	на этот раз не	1	1
28	как мы уже знаем	1	1
29	потому что как раз	1	1
30	в том же году	1	1
31	в конце концов в	1	1
32	по себе не может	1	1
33	только об этом и	1	1
34	и в том числе	1	1
35	и в конце концов	1	1
36	мы имеем дело с	1	1
37	то что у него	1	1
