N	3gram	Potebnia_M	Russkaja
1	то же время	3	10
2	в то же	3	10
3	с точки зрения	3	9
4	в том что	18	7
5	на самом деле	2	6
6	во всяком случае	7	6
7	для того чтобы	4	6
8	а между тем	5	5
9	до сих пор	5	5
10	в том случае	1	4
11	не может быть	11	4
12	на то что	3	4
13	более или менее	6	4
14	бы то ни	2	4
15	во что бы	1	3
16	что бы то	1	3
17	вместе с тем	1	3
18	можно было бы	1	3
19	том случае если	1	3
20	и не может	1	3
21	то ни стало	1	3
22	лишь в том	1	2
23	в том и	2	2
24	и в том	3	2
25	точно так же	1	2
26	в большинстве случаев	1	2
27	и тем самым	2	2
28	о том что	1	2
29	только в том	7	2
30	сама по себе	4	2
31	не только к	1	2
32	к тому что	2	2
33	а следовательно и	1	2
34	таким же образом	1	2
35	это потому что	1	2
36	друг от друга	3	2
37	она не может	1	2
38	для всех народов	1	2
39	в себе внутренние	1	1
40	быть не может	2	1
41	со стороны их	1	1
42	народа точно так	1	1
43	что и то	1	1
44	как и при	1	1
45	в противном случае	3	1
46	но при этом	1	1
47	и в жизни	3	1
48	указывает на то	1	1
49	и как бы	4	1
50	может быть назван	1	1
51	ни от какого	1	1
52	дело в том	3	1
53	смысле этого слова	3	1
54	по себе еще	1	1
55	не только для	2	1
56	себе еще не	1	1
57	ни одна не	1	1
58	в нем самом	6	1
59	не могло бы	2	1
60	мы не знаем	1	1
61	внутренней и внешней	1	1
62	именно так как	1	1
63	так же как	1	1
64	есть столько же	2	1
65	и таким образом	1	1
66	по отношению к	13	1
67	во многих случаях	2	1
68	только для того	1	1
69	от того что	5	1
70	во всех этих	1	1
71	как бы ни	4	1
72	даже и в	1	1
73	не только от	1	1
74	по крайней мере	6	1
75	в том виде	1	1
76	может совершиться только	1	1
77	заключается в том	1	1
78	а в том	4	1
79	и в других	1	1
80	с самого начала	5	1
81	и то и	2	1
82	потому что так	1	1
83	и что в	3	1
84	как сказано выше	1	1
85	всяком случае не	1	1
86	то ни было	1	1
87	о которых мы	1	1
88	и того же	6	1
89	что касается до	2	1
90	из всего этого	1	1
91	заключает в себе	6	1
92	в некоторых из	1	1
93	смотреть как на	1	1
94	для всех или	1	1
95	она могла бы	1	1
96	что не только	3	1
97	и вопрос о	1	1
98	в связи с	2	1
99	в этих последних	1	1
100	и все же	1	1
101	может быть достигнуто	1	1
102	оно и для	1	1
103	сих пор был	1	1
104	к которому принадлежит	1	1
105	показать что и	1	1
106	тем не менее	10	1
107	но все же	2	1
108	несмотря на все	1	1
109	только то что	1	1
110	жизни но и	1	1
111	себе внутренние противоречия	1	1
112	есть та форма	1	1
113	между нами и	1	1
114	чем больше в	1	1
115	в этом отношении	1	1
116	вопрос о том	1	1
117	то есть не	3	1
118	в свою очередь	8	1
119	бы для него	1	1
120	в применении к	3	1
121	и не только	1	1
122	и другое возможно	1	1
123	и при отсутствии	1	1
124	но даже и	1	1
125	на этот вопрос	2	1
126	то и другое	6	1
127	зависит от того	2	1
128	но и для	2	1
129	так как оно	1	1
130	с нею в	1	1
131	что во многих	1	1
132	того что не	1	1
133	одного и того	6	1
134	и в этом	7	1
135	друг к другу	1	1
