N	3gram	Tiupa_Narr	KFilosof
1	по отношению к	5	22
2	не может быть	6	11
3	с точки зрения	2	10
4	может быть только	1	7
5	в отвлечении от	1	5
6	к нему в	1	4
7	ни в чем	1	4
8	в чем не	1	4
9	того или иного	3	3
10	но и здесь	1	3
11	в этом смысле	1	3
12	один и тот	1	3
13	в данный момент	1	3
14	на самом деле	1	3
15	и тот же	1	3
16	то что я	1	2
17	в том что	11	2
18	той или иной	6	2
19	не со стороны	1	2
20	дело здесь не	1	2
21	прошлое и будущее	1	2
22	тем не менее	6	2
23	здесь мы имеем	1	2
24	в то же	7	2
25	и та же	1	2
26	в соответствии с	7	2
27	то ни было	1	2
28	есть на самом	1	2
29	одна и та	1	2
30	а не в	1	2
31	оба эти момента	1	2
32	бы то ни	1	2
33	то же время	7	2
34	только в форме	1	1
35	в свою очередь	2	1
36	и как бы	1	1
37	что и для	1	1
38	не от себя	1	1
39	не вступает в	1	1
40	в конечном счете	4	1
41	по себе а	1	1
42	во всяком случае	2	1
43	не превращается в	1	1
44	ни о каких	1	1
45	отношение к миру	1	1
46	на то что	2	1
47	в большинстве случаев	1	1
48	в противоречие с	1	1
49	не только от	2	1
50	позицию по отношению	1	1
51	в том смысле	1	1
52	на том что	1	1
53	не растворяется в	1	1
54	то же самое	3	1
55	во всех его	1	1
56	это уже не	1	1
57	себя в другом	1	1
58	случае мы имеем	1	1
59	в том случае	1	1
60	он не может	1	1
61	для того чтобы	4	1
62	в себе момент	1	1
63	между жизнью и	1	1
64	бы не было	1	1
65	не в том	1	1
66	но для того	1	1
67	потому что в	1	1
68	и вследствие этого	1	1
69	а все остальное	1	1
70	всю свою жизнь	2	1
71	в ее жизни	1	1
72	одного и того	2	1
73	в противном случае	1	1
74	как это было	1	1
75	не мог стать	1	1
76	до сих пор	3	1
77	как и на	1	1
78	быть определено как	1	1
79	вступает в противоречие	1	1
80	я не могу	1	1
81	не для того	1	1
82	в первом случае	3	1
83	дело в том	2	1
84	здесь не в	1	1
85	и для другого	1	1
86	жизни и смерти	1	1
87	вместо того чтобы	1	1
88	само по себе	1	1
89	не подлежит сомнению	1	1
90	не само по	1	1
91	не о том	1	1
92	уже не только	1	1
93	и на чем	1	1
94	и тем самым	6	1
95	и в то	2	1
96	не было и	2	1
97	и всякий другой	1	1
98	в нем не	2	1
99	и то что	1	1
100	не зависит от	1	1
101	но и от	2	1
102	не может иметь	1	1
103	тем или иным	2	1
104	в зависимости от	3	1
105	как если бы	2	1
106	и того же	2	1
107	не может не	1	1
108	возможна только в	1	1
109	но в этом	1	1
110	а во втором	2	1
111	она может быть	1	1
112	друг для друга	2	1
113	и все же	4	1
114	вследствие того что	2	1
115	к тому что	4	1
116	и смысловой значимости	1	1
117	но уже не	1	1
118	а в самом	1	1
119	той или другой	1	1
120	в известном смысле	4	1
121	и совершенно не	1	1
122	в этом последнем	2	1
123	никогда не было	1	1
124	отношение к ценности	1	1
125	я в мире	3	1
126	в значительной степени	1	1
127	пока еще не	1	1
128	в виду и	1	1
129	мы не можем	1	1
130	и не должен	1	1
131	в основе своей	1	1
132	если бы не	1	1
133	может быть и	1	1
