N	4gram	Vygotskiy_	DiskursI
1	в то же время	2	8
2	состоит в том что	1	7
3	с одной стороны и	1	5
4	дело в том что	1	5
5	то же самое можно	1	4
6	одного и того же	1	4
7	в том что в	1	3
8	в том числе и	1	3
9	одно и то же	1	3
10	той мере в какой	1	2
11	в той мере в	1	2
12	в том случае если	2	2
13	и не может быть	1	2
14	одной и той же	5	2
15	бы то ни было	1	2
16	одним и тем же	1	2
17	не что иное как	2	1
18	сам по себе не	1	1
19	одни и те же	3	1
20	сами по себе не	1	1
21	только в том случае	2	1
22	может быть сведена к	2	1
23	с другой стороны в	1	1
24	состоит в том чтобы	2	1
25	от одного сознания к	1	1
26	в такой же мере	1	1
27	по крайней мере в	1	1
28	и в том случае	1	1
29	одном и том же	1	1
30	заключается в том что	7	1
31	к одному и тому	1	1
32	но в такой же	1	1
33	том и состоит что	1	1
34	но в таком случае	1	1
35	в том что он	1	1
36	включает в себя и	1	1
37	никак не могут быть	1	1
38	том случае если оно	1	1
39	дело не в том	1	1
40	не знаем и не	1	1
41	в том случае когда	1	1
42	одного сознания к другому	1	1
43	одному и тому же	1	1
44	в том и состоит	2	1
45	от начала и до	1	1
46	все дело в том	1	1
47	не в том что	1	1
48	в том или ином	1	1
49	есть не что иное	1	1
