N	3gram	Tiupa_Disk	KFilosof
1	по отношению к	13	22
2	не может быть	5	11
3	с точки зрения	3	10
4	ни в чем	1	4
5	в чем не	1	4
6	но все эти	1	3
7	того или иного	2	3
8	в этом смысле	1	3
9	может быть в	1	3
10	в котором он	1	3
11	бытия в его	1	3
12	на самом деле	1	3
13	между тем как	1	3
14	могла бы быть	2	3
15	и не быть	1	2
16	в том что	18	2
17	только по отношению	1	2
18	той или иной	6	2
19	принципиально не может	1	2
20	бытия а не	1	2
21	к чему не	1	2
22	и может быть	3	2
23	мира в котором	1	2
24	она могла бы	1	2
25	тем не менее	1	2
26	в то же	7	2
27	включает в себя	1	2
28	события так и	1	2
29	в соответствии с	4	2
30	во всех этих	1	2
31	в целом и	1	2
32	а не в	2	2
33	ни к чему	1	2
34	то же время	9	2
35	время от времени	1	1
36	событие не есть	1	1
37	не должно быть	1	1
38	в свою очередь	3	1
39	и как бы	5	1
40	но прежде всего	1	1
41	вместе с тем	1	1
42	равно как и	1	1
43	в конечном счете	2	1
44	во всяком случае	2	1
45	то что и	2	1
46	и мир в	1	1
47	ее а не	1	1
48	на то что	1	1
49	в большинстве случаев	2	1
50	не только от	1	1
51	на том что	1	1
52	а не как	2	1
53	в себя и	1	1
54	то же самое	2	1
55	имеют дело с	1	1
56	во всех его	1	1
57	теоретического познания в	1	1
58	оно лежит в	1	1
59	себя в другом	1	1
60	и именно в	1	1
61	случае мы имеем	1	1
62	хотя бы и	1	1
63	ту или иную	1	1
64	дело не в	1	1
65	в том случае	1	1
66	он не может	1	1
67	всему что не	1	1
68	между жизнью и	1	1
69	и героиня и	1	1
70	времени и пространства	2	1
71	только в том	2	1
72	как и всякое	2	1
73	не в том	3	1
74	потому что в	2	1
75	и вследствие этого	2	1
76	не совпадает с	1	1
77	себя в нем	1	1
78	если бы я	1	1
79	не может стать	1	1
80	одного и того	4	1
81	пространственную и временную	1	1
82	точки зрения автора	1	1
83	в противном случае	1	1
84	именно в этой	1	1
85	до сих пор	1	1
86	и не должно	1	1
87	не было он	1	1
88	дело в том	3	1
89	чего не было	1	1
90	то все же	1	1
91	такова же и	1	1
92	в нем совершенно	1	1
93	в нем нет	1	1
94	в этом мире	2	1
95	и в то	2	1
96	но отнюдь не	2	1
97	не было и	1	1
98	к той же	1	1
99	и то что	2	1
100	но и от	1	1
101	мы ничего не	1	1
102	тем или иным	1	1
103	смысле можно говорить	1	1
104	и того же	4	1
105	чему не обязывающий	1	1
106	заключать в себе	1	1
107	возможна только в	2	1
108	но в этом	1	1
109	и все же	3	1
110	я и другой	1	1
111	это отнюдь не	2	1
112	и т.п но	4	1
113	на этом пути	1	1
114	в известном смысле	1	1
115	в этом последнем	1	1
116	никогда не было	1	1
117	отношение к ценности	1	1
118	я в мире	1	1
119	это и есть	1	1
120	в значительной степени	3	1
121	нет и не	1	1
122	пока еще не	3	1
123	в другом случае	1	1
124	в основе своей	4	1
125	не может претендовать	3	1
