N	2gram	Losev_Prob	ViktorSh
1	конце концов	11	2
2	в конце	13	2
3	и в	64	2
4	в том	19	2
5	том что	26	2
6	в другом	2	1
7	все время	3	1
8	но это	11	1
9	что имеется	1	1
10	одно и	1	1
11	столь же	1	1
12	том же	1	1
13	по существу	2	1
14	ведь это	4	1
15	поэтический акт	1	1
16	и сводится	1	1
17	тут ни	1	1
18	в самом	10	1
19	как же	6	1
20	в теории	4	1
21	чем больше	4	1
22	теории литературы	3	1
23	что слово	2	1
24	для них	5	1
25	говорили в	2	1
26	а только	9	1
27	от других	3	1
28	именно в	5	1
29	ни к	1	1
30	имеется в	1	1
31	самом деле	10	1
32	вещь и	3	1
33	но разве	1	1
34	ясно что	7	1
35	с большой	1	1
36	говоря о	1	1
37	в частности	5	1
38	же все	1	1
39	и то	15	1
40	крайней мере	8	1
41	и мало	1	1
42	и заключается	2	1
43	достаточно но	1	1
44	стоит на	1	1
45	и его	3	1
46	сводится к	3	1
47	даже не	3	1
48	под влиянием	1	1
49	на одном	2	1
50	хотя бы	15	1
51	по поводу	6	1
52	или без	1	1
53	о пределах	1	1
54	далеко не	9	1
55	тем более	13	1
56	по крайней	8	1
57	впрочем не	1	1
58	в которых	4	1
59	говорится в	1	1
60	к этому	1	1
61	о теории	1	1
62	которые они	1	1
63	только в	19	1
64	потому что	24	1
65	в значительной	2	1
66	ничуть не	1	1
67	в их	7	1
68	все дело	1	1
69	и почти	1	1
70	и только	7	1
71	то же	10	1
72	чего не	1	1
73	не будем	5	1
74	что язык	1	1
75	и не	63	1
76	гораздо более	6	1
77	я не	1	1
78	дело в	3	1
79	да и	11	1
80	в этом	30	1
81	так как	16	1
82	все это	11	1
83	значит и	2	1
