N	2gram	Berdyaev_O	NovoeSre
1	а не	11	17
2	не может	4	16
3	и в	19	16
4	во имя	3	15
5	совсем не	2	12
6	и не	13	11
7	и есть	3	10
8	что в	4	9
9	истории и	1	9
10	в эпоху	1	9
11	в том	5	8
12	жизни и	1	8
13	он не	7	8
14	в этом	12	7
15	может быть	11	7
16	это есть	1	7
17	как и	6	7
18	не в	11	6
19	лишь в	7	6
20	от бога	1	6
21	с его	4	6
22	но это	1	6
23	никогда не	9	6
24	и к	2	5
25	не только	11	5
26	в ней	1	5
27	все это	6	5
28	в жизни	1	5
29	в нем	10	5
30	и общественной	1	5
31	и потому	2	4
32	быть может	3	4
33	должно быть	2	4
34	потому что	9	4
35	это не	3	4
36	прежде всего	9	4
37	в них	1	4
38	то что	5	4
39	не было	9	4
40	есть лишь	4	4
41	и все	10	4
42	не имеет	2	4
43	и для	2	4
44	о том	3	4
45	вопрос о	10	3
46	и пр	1	3
47	должна быть	1	3
48	имя свободы	1	3
49	она не	1	3
50	в ее	2	3
51	смысле слова	1	3
52	стремится к	1	3
53	в истории	2	3
54	не существует	1	3
55	в россии	5	3
56	бога и	1	3
57	сказать что	2	3
58	духа и	1	3
59	с тем	2	3
60	не есть	2	3
61	в своей	2	3
62	в мире	1	3
63	как в	1	3
64	жизни в	2	3
65	но и	13	3
66	это было	3	3
67	жизни не	1	3
68	человека и	10	3
69	еще не	3	3
70	и от	3	2
71	и весь	1	2
72	ни к	1	2
73	в центре	1	2
74	стремиться к	1	2
75	права на	1	2
76	и что	1	2
77	не могли	2	2
78	бога но	1	2
79	что она	1	2
80	не имеют	1	2
81	и заключается	1	2
82	хотя бы	3	2
83	мы не	1	2
84	нем нет	3	2
85	того чтобы	4	2
86	хотя и	2	2
87	природе и	1	2
88	так и	2	2
89	как это	1	2
90	самой жизни	1	2
91	вкус к	1	2
92	это представляется	1	2
93	жизни все	3	2
94	думать что	1	2
95	можно было	1	2
96	свободы от	1	2
97	с их	1	2
98	в русском	1	2
99	у него	22	2
100	свободы и	2	2
101	а в	5	2
102	свободы в	1	2
103	все время	1	2
104	и даже	1	2
105	и формы	1	2
106	и с	2	2
107	и начинается	1	2
108	связана с	1	2
109	жизни как	1	2
110	могут быть	3	2
111	в себе	3	2
112	и на	2	2
113	уже не	1	2
114	что все	2	2
115	духа в	1	2
116	все эти	4	2
117	жизни ни	1	2
118	который в	1	2
119	одна из	1	2
120	божественной жизни	1	2
121	как будто	1	2
122	но не	1	2
123	в новом	1	2
124	том что	2	2
125	мир и	1	2
126	и это	1	2
127	к богу	1	2
128	но в	2	2
129	мысли в	1	2
130	мысли и	3	2
131	гуманизмом с	1	1
132	вопрос об	1	1
133	космической жизни	1	1
134	все в	4	1
135	и мир	1	1
136	в самом	5	1
137	ближе к	1	1
138	во всем	1	1
139	к одному	1	1
140	нет ничего	7	1
141	попал в	1	1
142	но можно	1	1
143	том случае	1	1
144	на западе	2	1
145	и мысли	4	1
146	то он	1	1
147	все что	3	1
148	человека в	11	1
149	заложенных в	2	1
150	но оно	1	1
151	на человека	1	1
152	это конечно	1	1
153	и человека	1	1
154	и более	1	1
155	бы он	1	1
156	в котором	1	1
157	из сторон	1	1
158	по природе	1	1
159	и всех	1	1
160	сам человек	1	1
161	мир в	1	1
162	и переживает	1	1
163	же и	1	1
164	еще люди	1	1
165	человеческих сил	1	1
166	из них	1	1
167	к ней	2	1
168	она должна	1	1
169	все еще	2	1
170	на нем	1	1
171	случае если	1	1
172	возможен лишь	1	1
173	о человеке	29	1
174	жизни а	1	1
175	бог и	1	1
176	этого она	1	1
177	не могу	1	1
178	уже в	2	1
179	погружается в	2	1
180	ней нужно	1	1
181	во всяком	1	1
182	его было	1	1
183	русского народа	2	1
184	всего мира	1	1
185	в раскрытии	1	1
186	путь которым	1	1
187	в человеческом	2	1
188	природе своей	1	1
189	для того	3	1
190	в глубину	2	1
191	это я	1	1
192	вопросу о	1	1
193	людей но	1	1
194	не по	1	1
195	быть не	1	1
196	не быть	1	1
197	лишь для	1	1
198	и зло	1	1
199	более всего	3	1
200	раскрывается лишь	1	1
201	а это	1	1
202	в этот	2	1
203	он и	1	1
204	было бы	3	1
205	и из	2	1
206	в сущности	1	1
207	этом он	2	1
208	в его	7	1
209	и через	1	1
210	бытия как	1	1
211	в которую	1	1
212	не с	1	1
213	и ему	1	1
214	но сам	1	1
215	природы ее	3	1
216	у нас	1	1
217	и когда	1	1
218	это была	1	1
219	с богом	2	1
220	людей и	1	1
221	в виду	1	1
222	в мир	1	1
223	и до	1	1
224	нет никакого	1	1
225	духовную жизнь	1	1
226	духа как	1	1
227	добро и	2	1
228	природу и	1	1
229	не могут	3	1
230	которые будут	1	1
231	есть уже	1	1
232	по своей	1	1
233	от того	1	1
234	было и	1	1
235	их не	2	1
236	потребность в	2	1
237	со злом	3	1
238	что нет	1	1
239	как например	1	1
240	свобода человека	1	1
241	о природе	3	1
242	особого рода	1	1
243	всего что	1	1
244	это должно	1	1
245	образ человека	2	1
246	но он	7	1
247	не народ	1	1
248	в которой	2	1
249	этого мира	2	1
250	человек от	1	1
251	заключает в	1	1
252	в этой	5	1
253	вот что	1	1
254	к чему	1	1
255	человек а	1	1
256	человеческого общества	1	1
257	он в	2	1
258	будто бы	1	1
259	него и	4	1
260	мысли как	1	1
261	всегда есть	4	1
262	из всех	1	1
263	в силах	1	1
264	посвящения в	1	1
265	что не	4	1
266	в глубине	7	1
267	свободе но	1	1
268	оба они	1	1
269	во внешней	1	1
270	тем что	2	1
271	проблема о	2	1
272	не хочет	1	1
273	и истребление	1	1
274	к этой	2	1
275	но нет	1	1
276	лишь к	1	1
277	огромное значение	1	1
278	в конце	1	1
279	так как	2	1
280	в своем	2	1
281	в космосе	1	1
282	характер и	1	1
283	лишь на	1	1
284	россии в	2	1
285	что он	3	1
286	показал что	1	1
287	зла в	2	1
288	глубину в	1	1
289	в силу	1	1
290	и очень	2	1
291	с душой	1	1
292	всю жизнь	1	1
293	про него	1	1
294	два пути	1	1
295	человеке и	5	1
296	в этих	3	1
297	я хочу	1	1
298	и русский	1	1
299	его призвании	1	1
300	по себе	2	1
301	нет у	1	1
302	нуждается в	1	1
303	с ним	3	1
304	образа человека	1	1
305	человек не	7	1
306	ли он	1	1
307	от всех	1	1
308	человеческого духа	3	1
309	всяком случае	1	1
310	нужно считать	1	1
311	была лишь	1	1
312	в эти	1	1
313	распадается на	1	1
314	в это	1	1
315	быть преодолено	1	1
316	на поверхности	1	1
317	не случайно	1	1
318	ничего нет	1	1
319	и его	4	1
320	прогресса в	1	1
321	себе и	1	1
322	был в	1	1
323	изнутри а	1	1
324	человека не	1	1
325	лишь по	1	1
326	в недра	1	1
327	от этого	1	1
328	и нет	2	1
329	к нему	3	1
330	людей в	1	1
