N	2gram	Medvedev_I	Sovremen
1	в этом	2	7
2	и в	1	7
3	ничего не	2	6
4	и не	2	6
5	все эти	1	5
6	а в	1	4
7	жизни и	1	4
8	в целом	1	4
9	же это	1	4
10	все это	1	3
11	у всех	1	3
12	следующим образом	1	3
13	что в	2	2
14	то и	1	2
15	не дает	1	2
16	что при	1	2
17	говорить о	1	2
18	со всеми	1	2
19	о жизни	1	2
20	на котором	1	2
21	с жизнью	1	1
22	с другой	1	1
23	он не	2	1
24	и та	1	1
25	по отношению	1	1
26	утверждает что	1	1
27	и ничего	1	1
28	и тот	1	1
29	не случайно	1	1
30	то она	1	1
31	если бы	1	1
32	и еще	1	1
33	в эту	1	1
34	во многом	1	1
35	по существу	1	1
36	отношению к	1	1
37	бы все	1	1
38	цель и	1	1
39	другое дело	1	1
40	того же	1	1
41	должен быть	2	1
42	он с	1	1
43	никогда не	1	1
