N	2gram	Potebnia_M	Problema
1	и в	58	182
2	то есть	69	165
3	и не	34	152
4	вовсе не	13	145
5	то что	24	144
6	не есть	13	113
7	не только	32	104
8	потому что	89	89
9	в этом	18	88
10	может быть	47	82
11	в том	38	81
12	том что	21	81
13	только в	36	73
14	сказать что	5	72
15	но и	26	70
16	в виде	1	69
17	у нас	3	68
18	и даже	4	66
19	по себе	24	64
20	даже и	4	63
21	не менее	10	58
22	о том	6	57
23	тем не	11	56
24	а не	38	56
25	так и	17	56
26	но в	12	55
27	так что	23	52
28	ни в	2	51
29	для нас	29	50
30	в себе	22	48
31	и вообще	5	48
32	при помощи	2	47
33	было бы	21	46
34	прежде всего	8	45
35	в своей	3	45
36	что в	34	44
37	в его	7	44
38	не в	23	43
39	все эти	3	43
40	то же	13	42
41	а именно	1	42
42	таким образом	21	42
43	если мы	5	42
44	и что	13	40
45	и то	4	40
46	что он	5	40
47	так как	29	40
48	что мы	11	40
49	во всяком	9	39
50	не может	30	39
51	такого рода	1	39
52	и тем	5	39
53	в этой	3	39
54	как бы	12	39
55	в данном	1	38
56	хотя бы	4	37
57	никак не	3	37
58	в нем	26	37
59	того что	15	37
60	точки зрения	8	36
61	есть нечто	7	36
62	еще не	9	36
63	и все	6	36
64	когда мы	4	35
65	и т	10	35
66	в виду	2	34
67	уже не	4	34
68	и с	3	34
69	как и	16	34
70	указывает на	2	34
71	в таком	7	33
72	т д	6	33
73	здесь не	2	32
74	в то	6	32
75	но не	19	32
76	едва ли	1	32
77	так же	7	31
78	в своем	3	31
79	связи с	6	31
80	что такое	3	31
81	но это	7	31
82	все это	3	31
83	и для	8	30
84	с другой	13	30
85	в связи	2	29
86	все же	11	29
87	можно сказать	1	29
88	перед нами	1	29
89	как мы	3	29
90	об этом	1	29
91	что же	3	28
92	мы не	17	28
93	а в	11	28
94	есть только	16	28
95	и о	3	28
96	и это	3	27
97	и как	11	27
98	хотя и	6	27
99	ничего общего	3	27
100	ничего не	2	27
101	в результате	1	26
102	другой стороны	7	26
103	крайней мере	6	26
104	да и	1	26
105	понятие символа	1	26
106	как будто	2	26
107	вместе с	12	26
108	по крайней	6	26
109	еще и	1	26
110	это не	10	26
111	и его	7	26
112	мы можем	10	25
113	и на	8	25
114	тем самым	6	25
115	с точки	4	25
116	всяком случае	7	25
117	с тем	9	24
118	на самом	2	24
119	тем более	2	24
120	в нашем	2	24
121	и вполне	2	24
122	не имеет	9	24
123	таком случае	4	23
124	на то	5	23
125	при этом	17	23
126	и притом	6	23
127	а только	8	23
128	то и	15	23
129	мы находим	3	23
130	есть не	7	23
131	раз и	1	22
132	только на	4	22
133	никогда не	7	22
134	всех этих	2	22
135	тоже не	1	22
136	нет ничего	2	22
137	есть в	4	22
138	значит что	1	22
139	сам по	5	22
140	его в	3	22
141	и от	5	22
142	и есть	4	22
143	и если	6	22
144	что и	16	22
145	в самом	5	21
146	сама по	4	21
147	мы должны	4	21
148	и ее	1	21
149	для себя	4	21
150	и без	4	21
151	и только	6	21
152	именно в	2	20
153	для того	8	20
154	но как	4	20
155	можно было	1	20
156	и потому	7	20
157	тем что	15	20
158	несмотря на	5	20
159	или в	4	20
160	это значит	1	19
161	в них	7	19
162	тоже есть	1	19
163	с ним	7	19
164	самом деле	2	19
165	в каком	7	19
166	но если	4	19
167	того или	1	19
168	есть знак	1	19
169	то это	8	19
170	уже в	5	19
171	то в	6	19
172	в отношении	1	19
173	но только	2	19
174	этом смысле	4	19
175	он не	4	19
176	если не	5	19
177	если бы	23	19
178	как в	18	19
179	как нечто	1	19
180	жизни и	3	19
181	в этих	10	18
182	того же	13	18
183	не было	7	18
184	символа в	1	18
185	не будет	2	18
186	и ни	1	18
187	мы и	1	18
188	не существует	2	18
189	в ее	2	18
190	того чтобы	4	18
191	в ней	9	18
192	без всякого	1	17
193	что они	6	17
194	во всех	12	17
195	значение и	4	17
196	но уже	2	17
197	и здесь	1	17
198	есть именно	1	17
199	мы уже	1	17
200	совсем не	1	17
201	в языке	36	17
202	что здесь	1	17
203	совершенно не	1	17
204	точно так	18	16
205	что она	3	16
206	будто бы	1	16
207	как это	1	16
208	же в	7	16
209	для этого	2	16
210	но все	4	16
211	в одно	5	16
212	к тому	5	16
213	но даже	2	16
214	между собою	10	16
215	случае не	1	16
216	далеко не	4	16
217	и сам	1	15
218	с этим	11	15
219	теории языка	2	15
220	в чем	6	15
221	всякого рода	1	15
222	в той	1	15
223	у него	3	15
224	что не	15	15
225	общего с	3	15
226	и более	3	15
227	уже и	2	14
228	что все	4	14
229	с другими	3	14
230	сих пор	5	14
231	только о	2	14
232	не так	6	14
233	нас не	1	14
234	а это	1	14
235	все равно	1	14
236	в котором	5	14
237	нас в	2	14
238	до сих	5	14
239	не что	2	14
240	то ни	3	14
241	за пределы	4	14
242	что иное	2	14
243	нет никакой	1	14
244	иное как	2	14
245	же и	1	13
246	из них	2	13
247	тому что	4	13
248	из этого	2	13
249	должны сказать	1	13
250	сами по	8	13
251	ни на	1	13
252	только при	3	13
253	мы имеем	1	13
254	в их	3	13
255	или даже	3	13
256	здесь только	1	13
257	в области	1	13
258	уже давно	1	13
259	в других	6	13
260	мы в	2	13
261	дело в	3	13
262	на земле	1	12
263	в другом	3	12
264	с одной	7	12
265	в которой	5	12
266	время как	2	12
267	в самой	5	12
268	для них	2	12
269	то время	3	12
270	каждый раз	5	12
271	в начале	2	12
272	или по	2	12
273	что этот	1	12
274	значения и	1	12
275	в басне	1	12
276	в смысле	4	12
277	что это	5	12
278	не будем	1	12
279	нисколько не	2	12
280	не говоря	1	12
281	в целом	3	12
282	бы то	2	11
283	о которых	5	11
284	и следовательно	4	11
285	могли бы	4	11
286	нет никакого	1	11
287	тот же	5	11
288	мы выше	2	11
289	как именно	3	11
290	в таких	2	11
291	и другое	7	11
292	родовое понятие	1	11
293	одной стороны	6	11
294	по поводу	7	11
295	к нему	2	11
296	только не	2	11
297	не о	1	11
298	что его	2	11
299	не могут	10	11
300	и у	3	11
301	мы говорим	3	11
302	заключается в	3	11
303	в истории	8	11
304	и во	6	11
305	общее и	1	11
306	и самого	2	11
307	указание на	2	11
308	и их	6	11
309	в нашей	2	11
310	по этому	2	11
311	и тогда	2	11
312	более или	6	10
313	что у	2	10
314	не всякое	1	10
315	на том	2	10
316	но он	3	10
317	в математике	1	10
318	что для	5	10
319	один из	2	10
320	от нас	3	10
321	со всеми	1	10
322	бы не	11	10
323	что оно	5	10
324	бы даже	2	10
325	в одном	13	10
326	и которые	3	10
327	отличается от	1	10
328	которые мы	7	10
329	не то	3	10
330	в заключение	1	10
331	это будет	5	10
332	быть только	7	10
333	он в	1	10
334	однако в	4	10
335	состоит из	1	10
336	не имеют	7	10
337	относится к	5	10
338	внимание на	3	10
339	ни с	2	10
340	общего и	1	10
341	или менее	6	10
342	только то	3	10
343	собственно говоря	2	10
344	слова и	7	10
345	и другие	1	9
346	что если	7	9
347	говоря уже	1	9
348	в своих	4	9
349	их в	2	9
350	вопрос о	5	9
351	что даже	2	9
352	представить себе	3	9
353	здесь как	1	9
354	именно как	1	9
355	имеет ничего	1	9
356	в тех	1	9
357	как знак	1	9
358	тогда когда	15	9
359	в которых	2	9
360	о котором	4	9
361	то он	2	9
362	только тогда	7	9
363	д и	2	9
364	того как	12	9
365	но эта	1	9
366	а его	3	9
367	она не	3	9
368	или как	2	9
369	которые в	1	9
370	языка и	20	9
371	в жизни	5	9
372	только для	7	9
373	не вполне	1	9
374	вообще и	2	9
375	сравнении с	4	9
376	обратить внимание	2	9
377	то с	1	9
378	между прочим	5	9
379	же касается	1	9
380	на себе	3	9
381	бы в	6	9
382	был бы	1	9
383	не всякий	1	9
384	поэтому и	1	9
385	в сравнении	5	9
386	и до	1	9
387	известного рода	1	9
388	совсем другое	1	9
389	в условиях	1	9
390	это было	3	9
391	как же	1	9
392	человеческой жизни	1	9
393	во всем	5	8
394	является в	1	8
395	заметим что	1	8
396	только что	4	8
397	с этой	3	8
398	мы считаем	1	8
399	и образ	2	8
400	или вернее	1	8
401	и весь	3	8
402	конечно не	1	8
403	во всей	1	8
404	тем же	4	8
405	что при	6	8
406	но для	1	8
407	от этого	2	8
408	а потом	1	8
409	но тогда	3	8
410	и по	8	8
411	с ее	2	8
412	к сожалению	1	8
413	и при	6	8
414	никто не	3	8
415	из этих	8	8
416	только с	1	8
417	только потому	4	8
418	мы будем	3	8
419	если и	3	8
420	бы мы	1	8
421	на его	1	8
422	не все	3	8
423	еще в	1	8
424	для всех	6	8
425	были бы	4	8
426	которые не	5	8
427	как они	1	8
428	как только	1	8
429	и нет	1	8
430	если в	3	8
431	входит в	1	8
432	в чистом	1	8
433	здесь нет	1	8
434	ни было	4	8
435	себе и	2	8
436	если же	5	8
437	которое мы	5	8
438	и этот	1	8
439	это уже	1	8
440	том как	6	8
441	он есть	3	8
442	в сознании	8	8
443	для него	13	8
444	в г	2	8
445	говорим о	1	8
446	же такое	1	8
447	а то	1	8
448	с самого	5	8
449	как он	5	8
450	или других	1	7
451	даже в	1	7
452	его от	2	7
453	но что	2	7
454	во все	2	7
455	предметов и	3	7
456	из себя	6	7
457	себе в	2	7
458	мы ни	1	7
459	она есть	3	7
460	все в	2	7
461	ни от	1	7
