N	2gram	Medvedev_U	Formalny
1	и в	14	95
2	и не	8	78
3	может быть	6	66
4	в этом	7	61
5	не может	7	57
6	таким образом	2	52
7	так и	1	50
8	в нем	1	42
9	в его	2	42
10	прежде всего	8	41
11	как и	3	39
12	художественного произведения	2	36
13	в самом	2	35
14	не в	2	35
15	а не	10	34
16	формального метода	9	34
17	в процессе	1	34
18	но и	4	33
19	то же	5	32
20	самом деле	2	32
21	истории литературы	3	31
22	не только	10	30
23	в пределах	1	28
24	в том	2	26
25	отнюдь не	1	26
26	если бы	2	26
27	то что	7	25
28	в своей	3	24
29	было бы	3	23
30	в ней	1	23
31	в то	3	22
32	и с	2	21
33	что в	1	21
34	с тем	1	20
35	входит в	1	20
36	формальный метод	11	20
37	же время	3	20
38	в их	4	20
39	по себе	2	19
40	конструктивное значение	1	19
41	художественное произведение	5	19
42	хотя бы	5	19
43	не могут	2	19
44	все это	5	19
45	все же	3	18
46	в шкловский	2	18
47	должна быть	2	18
48	только в	2	18
49	и все	1	18
50	с его	2	18
51	именно как	2	17
52	как раз	2	17
53	произведения в	1	17
54	с другой	4	16
55	в искусстве	6	16
56	у формалистов	1	16
57	должно быть	1	15
58	бы в	1	15
59	но в	3	15
60	в своем	1	14
61	в этой	4	14
62	что он	2	14
63	и потому	1	14
64	тем что	2	13
65	что и	2	13
66	говорит он	1	13
67	могут быть	2	13
68	независимо от	1	13
69	как таковой	2	13
70	сводится к	2	13
71	науки об	1	13
72	что же	1	13
73	до конца	1	13
74	того что	1	13
75	она не	1	13
76	история литературы	1	12
77	уже не	1	12
78	и для	2	12
79	никогда не	1	11
80	то ни	3	11
81	между тем	2	11
82	литературного произведения	1	11
83	литературы в	1	11
84	произведения как	1	11
85	для него	3	11
86	этом отношении	2	11
87	но не	2	11
88	произведение как	1	11
89	не как	3	10
90	другой стороны	3	10
91	в художественном	5	10
92	конечно не	4	10
93	о литературе	1	10
94	бы то	3	10
95	не было	1	10
96	не есть	2	10
97	он не	1	10
98	для формалистов	1	10
99	формы и	2	10
100	и др	1	10
101	мы не	2	10
102	материала и	2	10
103	по существу	2	10
104	не о	3	10
105	и даже	1	9
106	ни было	3	9
107	литературы и	2	9
108	бы ни	1	9
109	метода в	1	9
110	но это	2	9
111	ничего не	2	9
112	у нас	3	9
113	в данном	1	8
114	в шкловского	2	8
115	одной стороны	1	8
116	задачи и	1	8
117	как такового	3	8
118	с одной	1	8
119	же как	1	8
120	в сторону	2	8
121	сих пор	2	8
122	и является	2	8
123	всех этих	2	8
124	до сих	2	8
125	в поэтическом	1	8
126	это не	3	8
127	не следует	3	8
128	в области	3	8
129	для этого	3	8
130	в той	1	7
131	более или	1	7
132	даже и	2	7
133	сказать что	1	7
134	установка на	1	7
135	к этому	1	7
136	и прием	2	7
137	художественном произведении	2	7
138	в себе	2	7
139	искусства в	1	7
140	литературы как	1	7
141	том что	2	7
142	не входит	1	7
143	единства и	1	7
144	он и	1	7
145	или менее	1	7
146	как таковое	1	7
147	и только	5	7
148	литературы а	1	6
