N	4gram	Losev_Vlad	VLabPisa
1	в то же время	7	5
2	и в то же	3	3
3	в письме к а	1	2
4	и не может быть	1	2
5	в письме к н	1	2
6	не в том что	1	2
7	письме к н н	1	1
8	с его точки зрения	2	1
9	них не может быть	1	1
10	одно и то же	1	1
11	но вместе с тем	1	1
12	в силу чего он	1	1
13	по этому поводу с	1	1
14	говоря уже о том	1	1
15	из них не может	1	1
16	а в том что	1	1
17	о том что и	1	1
18	но в то же	2	1
19	уже о том что	1	1
20	в то время как	2	1
21	говорит в письме к	1	1
22	нет и не может	1	1
23	не говоря уже о	3	1
24	письме к а а	1	1
25	мы имеем дело с	1	1
26	еще из другого письма	1	1
27	и вместе с тем	1	1
28	к н н страхову	2	1
