N	2gram	Vinokur_St	Sovremen
1	не может	10	17
2	может быть	16	12
3	точки зрения	16	12
4	таким образом	16	11
5	мы не	3	9
6	в каждом	3	8
7	в этом	37	7
8	и в	61	7
9	мы можем	1	6
10	в результате	5	6
11	как и	11	6
12	ничего не	6	6
13	и не	23	6
14	с точки	10	5
15	прежде всего	11	5
16	что же	6	5
17	каждом отдельном	1	5
18	все эти	7	5
19	в условиях	1	5
20	отдельном случае	1	5
21	а в	18	4
22	так как	7	4
23	вопрос о	9	4
24	это не	8	4
25	не только	36	4
26	в развитии	2	4
27	как бы	8	4
28	нет и	1	4
29	если мы	1	4
30	в зависимости	2	4
31	их в	2	4
32	жизни и	6	4
33	вместе с	5	4
34	в целом	5	4
35	же это	3	4
36	в том	56	4
37	зависимости от	2	4
38	из них	11	4
39	точку зрения	3	4
40	и к	5	3
41	и потому	3	3
42	с самого	4	3
43	когда мы	1	3
44	уже в	3	3
45	то же	7	3
46	у каждого	1	3
47	при этом	4	3
48	не в	15	3
49	а не	19	3
50	для нас	7	3
51	все это	13	3
52	как он	3	3
53	в одном	7	3
54	у нас	12	3
55	самого начала	3	3
56	в конце	5	3
57	ведь это	1	3
58	в наших	2	3
59	было бы	21	3
60	в первом	2	3
61	у всех	1	3
62	в этой	13	3
63	из двух	3	3
64	он в	1	3
65	и все	3	3
66	на две	1	3
67	мы называем	1	3
68	в себе	3	3
69	само собою	2	3
70	ясно что	10	3
71	не подлежит	2	3
72	что она	5	3
73	одна из	1	3
74	состоит из	1	3
75	все же	12	3
76	при таком	2	3
77	в области	16	3
78	может не	2	3
79	отличается от	2	3
80	между собой	1	3
81	в нем	9	3
82	но в	16	3
83	еще не	4	3
84	с этим	6	2
85	что в	41	2
86	этих двух	4	2
87	тем не	4	2
88	в самом	14	2
89	совершенно не	7	2
90	значение в	1	2
91	каждая из	1	2
92	и что	8	2
93	ясного и	1	2
94	отличие от	1	2
95	которой он	1	2
96	и пр	4	2
97	то и	1	2
98	о значении	3	2
99	с одной	3	2
100	принципиально не	1	2
101	в отличие	1	2
102	это за	1	2
103	такого рода	2	2
104	из этих	7	2
105	в его	19	2
106	во всяком	8	2
107	не будем	1	2
108	не дает	2	2
109	в которую	2	2
110	еще более	5	2
111	можно назвать	3	2
112	то ни	2	2
113	только так	1	2
114	что это	5	2
115	или же	3	2
116	что при	3	2
117	быть и	2	2
118	в некоторых	3	2
119	по мнению	4	2
120	из которых	1	2
121	только один	1	2
122	что такое	2	2
123	он приводит	1	2
124	говорить о	3	2
125	на его	2	2
126	в науке	1	2
127	конечно в	1	2
128	с общим	1	2
129	в третьем	1	2
130	у него	3	2
131	не могут	2	2
132	в виде	3	2
133	со всеми	2	2
134	а на	4	2
135	и даже	8	2
136	как известно	2	2
137	говорим о	1	2
138	самом деле	14	2
139	в которой	13	2
140	но все	9	2
141	который как	2	2
142	как мы	1	2
143	настоящее время	2	2
144	тем же	3	2
145	и во	3	2
146	той же	5	2
147	могут быть	5	2
148	в таком	4	2
149	в нашем	1	2
150	уже не	1	2
151	и есть	1	2
152	что все	3	2
153	или иной	1	2
154	и именно	2	2
155	на этот	5	2
156	такой же	6	2
157	на этом	1	2
158	но очень	1	2
159	роль в	1	2
160	не менее	8	2
161	же мы	1	2
162	собою разумеется	2	2
163	и по	6	2
164	времени и	4	2
165	в и	143	2
166	на котором	1	2
167	свою собственную	3	2
168	в настоящее	2	2
169	в один	1	2
170	каждого из	3	2
171	тот же	2	2
172	всяком случае	8	2
173	он должен	2	2
174	прошлого века	1	1
175	во всех	8	1
176	только одно	1	1
177	к началу	1	1
178	бы то	2	1
179	которые в	2	1
180	к которому	4	1
181	это и	5	1
182	его и	1	1
183	этом случае	3	1
184	в свое	3	1
185	только не	2	1
186	том случае	1	1
187	а потому	2	1
188	во втором	5	1
189	только все	1	1
190	но как	1	1
191	и снова	1	1
192	и живой	1	1
193	чем же	1	1
194	всего необходимо	1	1
195	не является	5	1
196	в данном	16	1
197	до сих	13	1
198	только к	2	1
199	все его	1	1
200	при условии	1	1
201	он уже	1	1
202	еще раз	1	1
203	и более	4	1
204	пор в	1	1
205	вытекает из	2	1
206	вытекает ли	1	1
207	его мнению	1	1
208	системы не	1	1
209	от его	2	1
210	объяснения для	1	1
211	есть такой	1	1
212	которых в	3	1
213	ведь именно	1	1
214	перестал быть	1	1
215	в процессе	3	1
216	с жизнью	1	1
217	данном случае	7	1
218	ведь в	1	1
219	разрешения проблемы	1	1
220	в очень	4	1
221	не имеют	2	1
222	связи с	3	1
223	приходится сказать	1	1
224	здесь нет	1	1
225	если в	2	1
226	на язык	1	1
227	очень часто	3	1
228	указать на	1	1
229	такую же	1	1
230	несколько слов	1	1
231	почти не	1	1
232	с и	1	1
233	случае и	2	1
234	видит читатель	1	1
235	для ее	1	1
236	идет о	3	1
237	она не	3	1
238	в течение	7	1
239	на ее	1	1
240	чтобы он	1	1
241	но еще	1	1
242	не полно	1	1
243	одной стороны	2	1
244	приводит и	1	1
245	все свои	1	1
246	на другой	1	1
247	это то	1	1
248	мы имеем	2	1
249	и у	2	1
250	быть в	2	1
251	и речи	3	1
252	в другом	5	1
253	то нужно	2	1
254	совсем не	3	1
255	несмотря на	4	1
256	это только	1	1
257	том как	4	1
258	не быть	1	1
259	в ней	9	1
260	которых он	2	1
261	из всех	1	1
262	достаточно для	3	1
263	мы очень	1	1
264	ни было	1	1
265	уже к	1	1
266	что эта	5	1
267	положение в	1	1
268	этот был	1	1
269	а может	1	1
270	хотя и	4	1
271	человек с	1	1
272	сказать еще	2	1
273	с другой	11	1
274	и тогда	2	1
275	а это	1	1
276	подчеркнуть что	5	1
277	на которых	1	1
278	что вся	1	1
279	он не	11	1
280	системе в	2	1
281	кроме того	3	1
282	и из	1	1
283	себя самого	1	1
284	за собой	1	1
285	и той	1	1
286	не соответствует	1	1
287	мы снова	1	1
288	какой бы	1	1
289	не будет	1	1
290	что с	4	1
291	те же	1	1
292	дело если	1	1
293	вследствие этого	1	1
294	те или	2	1
295	которому они	1	1
296	как видит	1	1
297	а затем	1	1
298	мы в	1	1
299	как у	1	1
300	и вся	2	1
