N	2gram	Tiupa_Vved	Istorich
1	и в	23	181
2	может быть	25	115
3	не только	32	114
4	что он	2	111
5	мы имеем	8	102
6	что в	6	90
7	но и	31	85
8	в этом	27	81
9	то что	9	73
10	таким образом	6	72
11	вместе с	2	71
12	и не	24	67
13	мы видим	1	65
14	все же	10	65
15	в этих	5	64
16	еще не	8	63
17	не может	14	61
18	этих случаях	2	60
19	так же	2	57
20	то же	8	56
21	никогда не	6	56
22	в том	21	53
23	том что	16	53
24	а в	15	52
25	с другой	10	52
26	потому что	7	52
27	и что	2	51
28	и здесь	2	51
29	что и	6	51
30	мы видели	3	49
31	а не	31	48
32	о том	7	48
33	связь с	1	47
34	его в	1	47
35	не в	12	47
36	другой стороны	3	46
37	превращается в	1	45
38	мы должны	1	44
39	но в	14	44
40	это не	7	43
41	и его	9	43
42	в нем	9	42
43	только в	9	42
44	как в	8	42
45	или в	3	39
46	тем что	2	38
47	и на	5	38
48	в его	9	38
49	для нас	4	38
50	как и	21	37
51	уже не	7	37
52	он не	6	37
53	что здесь	1	37
54	так и	14	37
55	мы увидим	1	36
56	мы можем	2	36
57	что они	2	35
58	с тем	1	35
59	мы не	6	35
60	здесь мы	2	35
61	все эти	1	35
62	не всегда	2	34
63	связи с	2	34
64	но не	9	34
65	а именно	3	34
66	у него	8	34
67	во время	3	34
68	что это	2	34
69	представления о	1	33
70	же как	1	33
71	там где	1	33
72	об этом	5	33
73	в качестве	18	32
74	один из	3	31
75	прежде всего	11	31
76	так в	5	31
77	представляет собой	18	31
78	ничего не	3	31
79	с одной	9	30
80	к нему	2	30
81	этот мотив	1	30
82	этом случае	1	29
83	одной стороны	9	29
84	как мы	5	29
85	но это	4	29
86	что она	2	28
87	и с	2	28
88	например в	2	28
89	героя в	3	27
90	так что	1	27
91	могут быть	5	27
92	в образе	1	27
93	того что	7	27
94	как он	2	27
95	как это	2	26
96	на него	3	26
97	и др	2	26
98	представляют собой	3	26
99	предположить что	1	26
100	в ней	5	26
101	и он	4	25
102	не менее	4	24
103	видно что	2	24
104	к этому	3	24
105	было бы	4	24
106	того как	1	24
107	в виде	1	24
108	если бы	10	24
109	что мы	2	24
110	на небо	1	24
111	представлений о	1	23
112	их в	3	23
113	в доме	1	23
114	как бы	8	23
115	и это	2	23
116	тем не	3	23
117	в этой	2	23
118	все это	3	23
119	в частности	19	23
120	и по	3	22
121	с ним	3	22
122	при этом	43	22
123	связано с	3	21
124	в другом	2	21
125	в одном	5	21
126	сказать что	1	21
127	в связи	1	21
128	должны были	3	21
129	здесь не	2	21
130	с появлением	2	21
131	к тому	9	21
132	они не	3	21
133	из них	1	20
134	из этих	5	20
135	наряду с	2	20
136	одна из	5	20
137	в силу	2	20
138	с собой	1	19
139	так например	2	19
140	что у	4	19
141	на том	1	19
142	но он	2	19
143	сказке о	1	19
144	в другой	1	19
145	не совсем	1	19
146	на то	3	19
147	и как	2	19
148	живет в	1	19
149	в то	5	18
150	что этот	1	18
151	не все	2	18
152	в данном	22	18
153	вовсе не	1	18
154	в них	4	17
155	очень много	1	17
156	том как	4	17
157	то и	2	17
158	дело не	2	17
159	и только	2	17
160	и она	1	16
161	во всех	2	16
162	всех этих	1	16
163	в котором	11	16
164	между двумя	5	16
165	не вполне	4	16
166	и все	8	16
167	со стороны	15	16
168	перед нами	13	16
169	связана с	1	16
170	даже в	3	15
171	в пределах	3	15
172	в особенности	3	15
173	и то	1	15
174	в своей	10	15
175	в которых	2	15
176	данном случае	15	15
177	его и	1	15
178	волшебной сказки	1	15
179	в одной	2	15
180	как будто	6	15
181	и даже	3	15
182	на его	2	15
183	детей в	2	15
184	и тем	3	15
185	он в	1	15
186	друг друга	1	15
187	тот кто	2	15
188	в целом	4	15
189	на смену	2	14
190	по отношению	11	14
191	этого обряда	1	14
192	можно было	2	14
193	в него	2	14
194	и ее	2	14
195	одной из	1	14
196	на вопрос	1	14
197	у нас	4	14
198	его на	1	14
199	должна быть	3	14
200	но они	3	14
201	и есть	2	14
202	из которых	1	14
203	с ней	1	14
204	увидим ниже	1	14
205	с того	3	14
206	должен был	2	14
207	а также	12	14
208	отношение к	5	14
209	отношению к	11	14
210	на себя	5	14
211	и наконец	2	14
212	в своем	9	13
213	на котором	1	13
214	по себе	2	13
215	тогда как	16	13
216	и для	8	13
217	в себе	15	13
218	все что	3	13
219	своего рода	20	13
220	не просто	2	13
221	и у	2	13
222	на этом	1	13
223	в форме	1	13
224	в нее	1	13
225	и от	3	13
226	с ними	2	13
227	не имеет	3	13
228	смерти и	1	13
229	к своему	2	13
230	и если	1	13
231	что иное	1	13
232	во всем	1	12
233	хотя бы	2	12
234	к себе	2	12
235	и герой	1	12
236	ответ на	2	12
237	о нем	1	12
238	в их	2	12
239	к этой	1	12
240	не знает	2	12
241	одним из	5	12
242	что не	2	12
243	между прочим	1	12
244	за ним	1	12
245	в более	1	12
246	и их	1	12
247	у нее	4	12
248	в этот	3	11
249	к которому	2	11
250	точки зрения	1	11
251	ясно что	2	11
252	иное как	1	11
253	только с	1	11
254	уже в	2	11
255	на нее	2	11
256	же в	3	11
257	происходит в	1	11
258	по мере	2	11
259	восходит к	2	11
260	не что	1	11
261	хотя и	10	11
262	относится к	1	11
263	но оно	1	11
264	и вот	3	11
265	и более	5	11
266	этого не	2	11
267	человека в	2	11
268	далеко не	5	11
269	и к	2	10
270	он видит	1	10
271	не как	2	10
272	на земле	1	10
273	к ним	4	10
274	от них	2	10
275	но так	2	10
276	не было	5	10
277	за собой	1	10
278	а с	4	10
279	и тот	1	10
280	его к	1	10
281	на основе	2	10
282	вслед за	3	10
283	еще один	3	10
284	что же	6	10
285	но если	1	10
286	он и	2	10
287	однако это	1	10
288	связаны с	1	10
289	к обряду	1	10
290	о чем	4	10
291	говорит о	1	10
292	их не	1	10
293	начинается с	2	10
294	не должен	2	10
295	в различных	1	10
296	как правило	6	10
297	не мог	2	10
298	себя в	4	10
299	в ее	1	10
300	но как	1	10
301	известно что	1	10
302	только одна	1	10
303	он может	1	10
304	а на	4	10
305	указывает на	2	10
306	есть только	1	10
307	не можем	2	10
308	три года	1	10
309	более или	2	9
310	на первый	3	9
311	но эти	1	9
312	только на	2	9
313	себе в	1	9
314	том чтобы	2	9
315	она в	2	9
316	является и	1	9
317	но для	1	9
318	в чем	2	9
319	героя и	5	9
320	сюда же	1	9
321	и хотя	1	9
322	также не	1	9
323	и так	1	9
324	зависимости от	1	9
325	это и	1	9
326	в течение	2	9
327	в свою	5	9
328	целый ряд	2	9
329	на этот	2	9
330	тот же	1	9
331	зависит от	3	9
332	бы мы	2	9
333	из этого	1	9
334	а по	1	9
335	из другой	1	9
336	он имеет	1	9
337	которой он	1	9
338	следующим образом	1	9
339	не могут	1	9
340	пребывания в	1	9
341	а как	1	9
342	означает что	1	9
343	и вновь	3	9
344	в основе	6	9
345	в истории	1	9
346	с его	1	9
347	из него	2	9
348	ему в	2	9
349	же не	1	9
350	или менее	2	9
351	это так	1	9
352	но здесь	1	9
353	стороны и	4	9
354	приводит к	2	9
355	говорилось выше	2	9
356	что на	4	9
357	жизни и	8	9
358	только что	1	8
359	и сам	2	8
360	именно в	1	8
361	во всяком	3	8
362	он был	1	8
363	это тоже	1	8
364	еще одну	1	8
365	с другими	1	8
366	чем это	1	8
367	на другой	2	8
368	не так	1	8
369	см в	1	8
370	та же	1	8
371	подобно тому	3	8
372	в отдельности	1	8
373	и наоборот	1	8
374	у них	3	8
375	смерть и	1	8
376	горы и	1	8
377	или даже	2	8
378	и потому	2	8
379	в приведенных	1	8
380	но она	2	8
381	не с	4	8
382	тем самым	6	8
383	могло быть	1	8
384	же самое	2	8
385	для этого	2	8
386	большой дом	1	8
387	или по	1	8
388	в этнографии	1	8
389	роль в	2	8
390	можно сказать	6	8
391	входит в	2	8
392	в зависимости	1	8
393	тут же	3	8
394	дома не	1	8
395	он на	1	8
396	она и	1	8
397	встречается в	1	8
398	в целях	1	8
399	в современной	7	8
400	что ты	1	8
401	образом и	1	8
402	его с	2	8
403	не говорится	3	8
404	кажется что	1	8
405	может оказаться	1	8
406	что такое	23	8
407	но с	1	8
408	вообще не	1	8
409	должен быть	3	8
410	это явление	1	8
411	он говорит	1	8
412	тому как	3	8
413	в жизни	7	8
414	не столько	5	7
415	этим объясняется	1	7
416	первый взгляд	3	7
417	ключ к	2	7
418	а сам	1	7
419	будто бы	3	7
420	тому что	2	7
421	не есть	2	7
422	между собой	2	7
423	о которых	2	7
424	в эту	1	7
425	в работе	1	7
426	между тем	3	7
427	если в	3	7
428	самом деле	6	7
429	обращается к	2	7
430	к которым	1	7
431	состоит в	23	7
432	на самом	5	7
433	в стране	1	7
434	не по	4	7
435	здесь совершенно	1	7
436	мы пока	1	7
437	в начале	3	7
438	еще в	3	7
439	это означает	1	7
440	в области	5	7
441	вплоть до	2	7
442	случае мы	1	7
443	по всему	1	7
444	те же	2	7
445	из земли	1	7
446	еще одна	1	7
447	о ней	4	7
448	ее и	2	7
449	указать на	1	7
450	это мы	1	7
451	в конце	3	7
452	также в	1	7
453	а только	3	7
454	ли это	2	7
455	того же	1	7
456	однако в	9	7
457	был бы	1	7
458	совершенно не	2	7
459	то он	2	7
460	тех же	2	7
461	того чтобы	2	7
462	если мы	1	7
463	что я	2	7
464	всяком случае	3	7
465	ко мне	1	7
466	для него	5	7
467	как у	3	7
468	со своим	1	7
469	а то	2	7
470	как она	1	7
471	с самого	1	7
472	в какой	4	7
473	одного из	3	7
474	и о	4	7
475	эти два	1	7
476	героя но	1	7
477	его от	1	6
478	между ними	1	6
479	уже нет	1	6
480	на эту	1	6
481	дело с	4	6
482	можно ли	1	6
483	именно так	1	6
484	той же	3	6
485	что как	1	6
486	не могла	1	6
487	оно может	1	6
488	к сожалению	1	6
489	нет ничего	2	6
490	в подземелье	1	6
491	отличие от	11	6
492	также и	6	6
493	не случайно	1	6
494	для того	1	6
495	сводится к	6	6
496	он является	2	6
497	самого начала	1	6
498	от себя	2	6
499	и становится	1	6
500	то в	1	6
501	от его	1	6
502	жить в	1	6
503	мы читаем	1	6
504	к жизни	2	6
505	что все	1	6
506	тому же	6	6
507	к чему	1	6
508	себе не	1	6
509	даже не	1	6
510	быть и	2	6
511	видим и	1	6
512	отношения к	1	6
513	не на	3	6
514	к которой	2	6
515	своей работе	1	6
516	заметить что	2	6
517	мог бы	2	6
518	же он	1	6
519	меня не	1	6
520	но герой	1	6
521	голову и	1	6
522	из которого	1	6
523	с той	1	6
524	говорят о	2	6
525	и оно	2	6
526	обстоит дело	1	6
527	только по	1	6
528	и уже	1	6
529	в виду	3	5
530	в своих	5	5
531	мы и	2	5
532	бы в	4	5
533	не имели	2	5
534	к своей	2	5
535	от солнца	1	5
536	и мы	1	5
537	героя с	2	5
538	или не	3	5
539	в сторону	1	5
540	эти слова	2	5
541	проникнуть в	1	5
542	по своей	4	5
543	или иное	1	5
544	могла бы	3	5
545	обратимся к	2	5
546	них не	1	5
547	с ее	3	5
548	это он	1	5
549	из таких	1	5
550	для них	3	5
551	оттого что	2	5
552	оно не	2	5
553	о природе	1	5
554	от своего	2	5
555	можно назвать	2	5
556	это время	2	5
557	есть на	1	5
558	да и	3	5
559	о котором	5	5
560	это только	3	5
561	из братьев	1	5
562	в которую	1	5
563	он как	1	5
564	в совершенно	1	5
565	в отличие	11	5
566	от героя	1	5
567	она может	2	5
568	подобного рода	3	5
569	не означает	1	5
570	со мной	1	5
571	жениха и	1	5
572	этом он	1	5
573	далее мы	1	5
574	по своему	3	5
575	однако не	2	5
576	тоже не	2	5
577	но при	7	5
578	мы узнаем	2	5
579	видели в	1	5
580	которые не	2	5
581	еще более	2	5
582	со своей	4	5
583	не видел	1	5
584	такого рода	23	5
585	несмотря на	2	5
586	в герое	1	5
587	в таком	2	5
588	героя из	1	5
589	до этого	2	5
590	хотя в	2	5
591	и затем	2	5
592	это делает	1	5
593	бы быть	1	5
594	как таковой	1	5
595	чтобы они	1	5
596	это уже	2	5
597	вот как	1	5
598	никак не	2	5
599	мы это	1	5
600	в нашей	1	5
601	как о	2	5
602	не могло	2	5
603	соответствии с	8	5
604	ее не	2	5
605	они были	1	5
606	с пребыванием	1	5
607	том числе	1	5
608	или иначе	2	5
609	мира и	5	5
610	к концу	1	5
611	тут и	1	5
612	задний план	1	5
613	как уже	1	5
614	имеются и	1	5
615	не говорит	1	5
616	не сам	1	5
617	в самом	6	4
618	происходит и	1	4
619	в разных	2	4
620	в результате	5	4
621	относится и	1	4
622	в мир	1	4
623	по своим	3	4
624	а что	1	4
625	каждый из	1	4
626	в действительности	1	4
627	следовало бы	1	4
628	уже у	1	4
629	на пути	1	4
630	людей и	1	4
631	друг на	2	4
632	могло бы	4	4
633	во всей	1	4
634	из трех	2	4
635	он сам	1	4
636	и во	2	4
637	нет никаких	1	4
638	к этим	1	4
639	случае в	1	4
640	герой и	3	4
641	этой задачи	1	4
642	к их	1	4
643	он к	1	4
644	бы что	1	4
645	не хватает	1	4
646	очевидно что	2	4
647	одном из	1	4
648	из одного	1	4
649	идет по	1	4
650	в наше	1	4
651	но вот	1	4
652	иметь в	1	4
653	того кто	1	4
654	не один	2	4
655	что есть	1	4
656	не сразу	1	4
657	отнюдь не	14	4
658	в ответ	2	4
659	от нее	1	4
660	это одна	1	4
661	содержит в	1	4
662	то можно	1	4
663	сами по	1	4
664	так называемая	1	4
665	он мог	1	4
666	впечатление что	1	4
667	в греческой	1	4
668	себя за	1	4
669	на друга	2	4
670	по сравнению	1	4
671	быть не	4	4
672	с которой	1	4
673	для нее	1	4
674	которых он	1	4
675	по ходу	2	4
676	находятся в	1	4
677	но на	2	4
678	в литературе	2	4
679	не существует	3	4
680	есть в	2	4
681	особенно в	3	4
682	тем более	3	4
683	ему путь	1	4
684	а его	3	4
685	могут служить	3	4
686	в большой	1	4
687	на своих	1	4
688	мысль о	2	4
689	ведет к	2	4
690	когда в	2	4
691	здесь имеет	1	4
692	в глаза	1	4
693	и вообще	1	4
694	они сами	1	4
695	который в	5	4
696	на почве	1	4
697	как раз	5	4
698	они в	1	4
699	не от	1	4
700	случаях это	1	4
701	прямо не	1	4
702	они могут	1	4
703	не знаешь	1	4
704	здесь как	2	4
705	он обладает	1	4
706	из тела	1	4
707	что происходит	1	4
708	там он	1	4
709	здесь она	1	4
710	если же	1	4
711	бы его	1	4
712	столь же	3	4
713	до его	1	4
714	бывает и	1	4
715	и этот	1	4
716	к иному	1	4
717	что касается	5	4
718	понятие исторического	1	4
719	ли герой	1	4
720	себя и	1	4
721	здесь может	2	4
722	все они	2	4
723	еще и	2	4
724	ни к	3	4
725	вытекает из	1	4
726	действия и	1	4
727	принадлежит к	3	4
728	или просто	1	4
729	ни с	2	4
730	и через	2	4
731	в тот	1	4
732	дело в	1	4
733	для героя	2	4
734	путь к	1	4
735	разнообразных формах	1	4
736	искать в	1	4
737	не могу	2	4
738	что смерть	2	4
739	во второй	1	4
740	слова в	3	4
741	быть только	2	4
742	только тот	1	3
743	ее то	1	3
744	или от	1	3
745	человек в	4	3
746	не хотят	2	3
747	в соответствии	8	3
748	и ушел	1	3
749	не непосредственно	1	3
750	не могли	1	3
751	раз и	2	3
752	в противоположность	1	3
753	и той	1	3
754	чего не	1	3
755	о них	4	3
756	не обязательно	2	3
757	есть знак	1	3
758	обратим внимание	3	3
