N	3gram	Nazirov_Tv	Narrotol
1	в том что	8	18
2	в данном случае	2	17
3	не только в	2	13
4	в отличие от	2	11
5	по отношению к	3	11
6	к тому же	1	9
7	о том что	6	9
8	не может быть	2	8
9	тем не менее	2	8
10	не сводится к	1	8
11	в соответствии с	7	8
12	той или иной	1	8
13	то же время	18	8
14	в то же	19	8
15	в известном смысле	2	6
16	можно сказать что	2	6
17	с одной стороны	1	6
18	но при этом	1	5
19	в свою очередь	2	5
20	на самом деле	2	5
21	и вследствие этого	1	5
22	и все же	3	5
23	в конечном счете	4	4
24	к тому что	1	4
25	на другой день	1	4
26	во всяком случае	2	4
27	заключает в себе	1	3
28	в самом деле	2	3
29	в случае с	1	3
30	и не может	2	3
31	друг на друга	1	3
32	до сих пор	1	3
33	точно так же	3	3
34	по сути дела	5	3
35	в связи с	2	3
36	то же самое	1	3
37	едва ли не	2	3
38	того или иного	1	3
39	дело в том	4	3
40	как уже говорилось	1	3
41	войне и мире	2	2
42	и в то	3	2
43	дело не только	1	2
44	и т п	4	2
45	мы узнаем что	2	2
46	важно не только	1	2
47	в частности в	1	2
48	в таком случае	2	2
49	одного и того	1	2
50	что у него	2	2
51	сами по себе	2	2
52	в финале рассказа	1	2
53	внешнего и внутреннего	1	2
54	и того же	1	2
55	на то чтобы	1	2
56	а с другой	1	2
57	хотя и не	1	2
58	и потому что	1	2
59	не в его	1	2
60	прежде всего на	1	2
61	к ней в	1	2
62	добра и зла	2	2
63	особое место в	2	2
64	все же не	1	2
65	в отрыве от	1	2
66	можно было бы	1	2
67	с установкой на	1	2
68	так же как	1	2
69	только потому что	1	2
70	в русской литературе	2	2
71	не зависит от	1	2
72	в войне и	1	2
73	на первый взгляд	1	2
74	друг для друга	1	2
75	что иное как	1	2
76	ни во что	2	1
77	так быстро что	1	1
78	потому что я	1	1
79	у него есть	1	1
80	и как бы	1	1
81	перед мысленным взором	1	1
82	в письме к	1	1
83	имеют для них	1	1
84	настоящего и будущего	1	1
85	целой жизни в	1	1
86	по себе а	1	1
87	не только потому	1	1
88	о том как	1	1
89	называет себя в	1	1
90	с ним вместе	1	1
91	ничего не делает	1	1
92	целый ряд других	1	1
93	то что не	1	1
94	и в другом	1	1
95	ничего не говорит	1	1
96	и к этому	1	1
97	занимает особое место	1	1
98	его участие в	1	1
99	пока что еще	1	1
100	при этом что	1	1
101	то или иное	1	1
102	терпеть не может	1	1
103	в первый раз	1	1
104	и его и	1	1
105	он не может	1	1
106	что ведет к	1	1
107	он вовсе не	1	1
108	можно читать как	1	1
109	в том числе	1	1
110	в развитии сюжета	1	1
111	но на этот	1	1
112	самим собой в	2	1
113	не только с	1	1
114	может быть истолкована	1	1
115	так и в	2	1
116	интересны не сами	1	1
117	он живет в	1	1
118	ее и не	1	1
119	только в качестве	1	1
120	бросается в глаза	1	1
121	в конце жизни	1	1
122	приняв на себя	1	1
123	если можно так	1	1
124	не о том	1	1
125	а во второй	1	1
126	в чем не	1	1
127	том что в	3	1
128	если же в	1	1
129	следует рассматривать в	1	1
130	оставляя открытым вопрос	1	1
131	и не мог	1	1
132	и в других	1	1
133	не сами по	1	1
134	то ни было	1	1
135	с матерью и	1	1
136	в первой главе	1	1
137	не может не	1	1
138	имеет место в	1	1
139	преступление и наказание	5	1
140	в целом и	1	1
141	его жизненной позиции	1	1
142	это своего рода	1	1
143	только то что	1	1
144	как мы узнаем	1	1
145	в стороне от	1	1
146	же время они	1	1
147	для всего мира	1	1
148	том числе и	1	1
149	с другой стороны	2	1
150	в этой связи	2	1
151	бы то ни	1	1
152	и на другой	1	1
153	никогда не было	2	1
154	не то что	1	1
155	что никогда не	1	1
156	в чем же	1	1
157	у нее была	1	1
158	можно так выразиться	1	1
159	и т д	10	1
160	жизни то есть	1	1
161	прежде всего его	1	1
162	и тем не	1	1
163	повести и рассказы	2	1
164	признать что в	1	1
165	только в двух	1	1
166	вследствие этого в	1	1
167	и особенно в	1	1
168	отнюдь не означает	1	1
169	в творчестве чехова	1	1
170	о жизни как	1	1
171	по крайней мере	4	1
172	на втором плане	1	1
173	в чем он	1	1
174	подробнее об этом	1	1
175	в мировой литературе	1	1
176	в поле зрения	1	1
177	в которой он	1	1
178	и в самом	1	1
179	но в целом	1	1
180	что же касается	1	1
181	прошлое и будущее	1	1
182	как и сам	1	1
183	как и в	2	1
184	в повседневной жизни	1	1
185	он не имел	1	1
186	от себя лично	1	1
187	как один из	1	1
188	действительной жизни и	1	1
189	к жизни в	1	1
190	в отказе от	1	1
191	что он вовсе	1	1
192	не должен быть	1	1
193	на этот вопрос	2	1
194	к которым приводит	1	1
195	тем что они	1	1
196	именно в этом	1	1
197	все та же	1	1
198	как и на	1	1
199	прошлого и будущего	2	1
200	я не могу	1	1
201	не означает что	2	1
202	не что иное	1	1
203	и та же	2	1
204	ответ на этот	1	1
205	на протяжении всего	2	1
206	у древних греков	1	1
207	за собой лишь	1	1
208	это уже не	2	1
209	не столько к	1	1
210	но отнюдь не	1	1
211	с самого начала	3	1
212	и что в	1	1
213	же как и	1	1
214	чувство стыда за	1	1
215	аналогичных действий в	1	1
216	тем самым как	1	1
217	он говорит о	1	1
218	одна и та	1	1
219	искать ключ к	1	1
220	самым как бы	1	1
221	это прежде всего	3	1
222	в виду что	1	1
223	нет и не	1	1
224	ни в чем	1	1
225	на жизнь его	1	1
