N	2gram	Berdyaev_O	Russkaja
1	не может	4	22
2	и не	13	19
3	в этом	12	17
4	в том	5	17
5	с другом	1	14
6	и в	19	14
7	друг с	1	14
8	то что	5	13
9	самим собой	1	12
10	но и	13	10
11	не только	11	9
12	том что	2	9
13	во всяком	1	9
14	может быть	11	9
15	в себе	3	9
16	прежде всего	9	8
17	того чтобы	4	8
18	ни к	1	7
19	россии в	2	7
20	самом деле	1	7
21	о том	3	7
22	и с	2	7
23	к богу	1	7
24	и к	2	6
25	для него	5	6
26	все это	6	6
27	на самом	1	6
28	в своих	3	6
29	если бы	1	6
30	и для	2	6
31	в россии	5	6
32	с тем	2	6
33	что он	3	6
34	для того	3	6
35	к которой	1	6
36	в своем	2	6
37	всяком случае	1	6
38	а потому	1	5
39	и на	2	5
40	в своей	2	5
41	во имя	3	5
42	жизни в	2	5
43	вопрос о	10	5
44	хотя бы	3	5
45	потому что	9	5
46	в нем	10	5
47	он не	7	5
48	а в	5	5
49	было бы	3	5
50	на то	1	5
51	он должен	1	5
52	никогда не	9	5
53	что в	4	4
54	во всем	1	4
55	и то	2	4
56	все что	3	4
57	так как	2	4
58	к этой	2	4
59	в его	7	4
60	не могут	3	4
61	его в	2	4
62	не в	11	4
63	лишь к	1	4
64	в корне	1	4
65	как и	6	4
66	на земле	4	4
67	в мире	1	4
68	все же	2	4
69	со стороны	1	4
70	себе и	1	4
71	том случае	1	4
72	можно было	1	4
73	что же	2	4
74	в совершенно	1	4
75	от того	1	4
76	как бы	3	4
77	в этой	5	4
78	жизни и	1	4
79	но не	1	4
80	в самом	5	3
81	то в	1	3
82	что они	2	3
83	должно быть	2	3
84	вопросу о	1	3
85	что это	1	3
86	что и	2	3
87	не было	9	3
88	тем что	2	3
89	в конце	1	3
90	и как	1	3
91	да и	1	3
92	не есть	2	3
93	еще не	3	3
94	и потому	2	3
95	случае если	1	3
96	ко всем	2	3
97	одна из	1	3
98	и ни	2	3
99	в другом	2	3
100	можно ли	2	3
101	лишь в	7	3
102	что для	2	3
103	что все	2	3
104	в сознании	1	3
105	он сам	4	3
106	из них	1	3
107	того что	3	3
108	не так	1	2
109	от него	7	2
110	не нужна	1	2
111	для русской	1	2
112	это потому	1	2
113	и вот	3	2
114	должна быть	1	2
115	из всех	1	2
116	с ним	3	2
117	видеть в	1	2
118	у многих	1	2
119	это есть	1	2
120	там и	1	2
121	в этих	3	2
122	у него	22	2
123	по себе	2	2
124	их не	2	2
125	и даже	1	2
126	ее в	2	2
127	к чему	1	2
128	все эти	4	2
129	раз навсегда	1	2
130	указывает на	1	2
131	отношения к	1	2
132	так часто	1	2
133	отличается от	1	2
134	нисколько не	1	2
135	любовь к	2	2
136	в других	2	2
137	уже не	1	2
138	его и	1	2
139	совершенно не	1	2
140	а с	1	2
141	стремиться к	1	2
142	и более	1	2
143	в котором	1	2
144	и состоит	1	2
145	в борьбе	1	2
146	даже и	2	2
147	она не	1	2
148	в ней	1	2
149	и тогда	1	2
150	в частности	1	2
151	народа и	1	2
152	а не	11	2
153	отношении к	1	2
154	в силу	1	2
155	и что	1	2
156	людей и	1	2
157	разных сторон	2	2
158	существование в	1	2
159	отметить что	1	2
160	в культурном	1	2
161	любви к	1	2
162	свое учение	1	2
163	в глазах	1	2
164	что только	1	2
165	и от	3	2
166	но в	2	2
167	и есть	3	2
168	так что	2	2
169	единственный путь	1	2
170	и о	2	2
171	как будто	1	2
172	бы ни	1	2
173	но это	1	2
174	свое собственное	1	2
175	к нему	3	2
176	когда он	3	1
177	всего в	2	1
178	понял что	1	1
179	ближе к	1	1
180	и весь	1	1
181	связан с	1	1
182	люди что	1	1
183	ни минуты	1	1
184	как это	1	1
185	ее и	1	1
186	еще одну	1	1
187	один из	1	1
188	человека к	2	1
189	что у	2	1
190	друг к	1	1
191	же и	1	1
192	есть единственное	1	1
193	убедятся что	1	1
194	эта не	1	1
195	собой в	1	1
196	от власти	1	1
197	мы не	1	1
198	бы признать	1	1
199	не идет	1	1
200	это не	3	1
201	человек может	1	1
202	для всякого	2	1
203	отношениях к	1	1
204	до самого	5	1
205	к творчеству	1	1
206	была бы	1	1
207	от которого	1	1
208	ничего кроме	2	1
209	и судьбу	1	1
210	в разных	1	1
211	а это	1	1
212	этом отношении	1	1
213	в сущности	1	1
214	в ее	2	1
215	она стала	1	1
216	так и	2	1
217	о которой	2	1
218	не хочет	1	1
219	не таков	1	1
220	они в	1	1
221	с богом	2	1
222	смысле этого	1	1
223	быть может	3	1
224	не допускает	1	1
225	в русском	1	1
226	которые будут	1	1
227	существенны и	1	1
228	есть дело	1	1
229	связь с	1	1
230	этой природы	1	1
231	в которой	2	1
232	заключает в	1	1
233	то к	2	1
234	заключается в	1	1
235	дело в	1	1
236	мысль о	2	1
237	что не	4	1
238	в эпоху	1	1
239	отношение человека	1	1
240	из всего	2	1
241	и действительно	1	1
242	в жизни	1	1
243	великое дело	1	1
244	человек и	4	1
245	судьбу ее	1	1
246	тем же	1	1
247	она и	1	1
248	и без	1	1
249	лишь с	1	1
250	к его	1	1
251	физически и	1	1
252	с ними	1	1
253	есть та	1	1
254	русского человека	5	1
255	к другу	1	1
256	в одно	1	1
257	и вопрос	1	1
258	того ни	1	1
259	другом месте	1	1
