N	2gram	Berdyaev_N	BTomashe
1	у нас	1	3
2	все это	5	2
3	в ней	5	2
4	можно было	2	2
5	и не	11	2
6	вопрос о	3	1
7	говорить о	1	1
8	творчества и	1	1
9	было и	1	1
10	и нет	1	1
11	не только	5	1
12	не было	4	1
13	в эпоху	9	1
14	прежде всего	4	1
15	моментом в	1	1
16	и в	16	1
17	так и	2	1
18	в своей	3	1
19	во всяком	1	1
20	и потому	4	1
21	и во	1	1
22	также что	1	1
23	за пределы	3	1
24	с другой	3	1
25	как будто	2	1
26	другой стороны	2	1
27	всяком случае	1	1
28	было бы	1	1
29	в значительной	1	1
30	из ее	2	1
31	должна быть	3	1
32	в области	1	1
33	и более	1	1
34	что все	2	1
35	значительной степени	1	1
36	будто бы	1	1
37	а не	17	1
38	о свободе	1	1
39	на формальной	1	1
40	и на	2	1
41	выходит за	1	1
42	еще не	3	1
43	к ней	1	1
44	что в	9	1
