N	4gram	Propp_Isto	Tvorches
1	в том что в	1	3
2	и не может быть	1	3
3	заключается в том что	1	2
4	и т д такое	1	1
5	на самом же деле	1	1
6	не что иное как	6	1
7	и в другом месте	1	1
8	у нас до сих	1	1
9	так же как в	2	1
10	в том что после	1	1
11	это еще не все	1	1
12	но это еще не	1	1
13	это означало бы что	1	1
14	но в таком случае	1	1
15	дело не только в	1	1
16	с другой стороны и	3	1
17	в соответствии с этим	1	1
18	и т д в	1	1
19	в одном из вариантов	2	1
20	то это означало бы	1	1
21	и т д все	1	1
22	так же как и	3	1
23	нас до сих пор	1	1
