N	2gram	Medvedev_I	Otkroven
1	и в	1	19
2	и не	2	13
3	в этом	2	12
4	из подполья	1	11
5	никогда не	1	9
6	он не	2	7
7	все это	1	6
8	человеке и	1	5
9	для него	1	5
10	а в	1	5
11	записок из	2	5
12	что в	2	4
13	того чтобы	1	4
14	все эти	1	4
15	для того	1	3
16	самого достоевского	1	3
17	это было	1	3
18	того что	1	3
19	так и	1	2
20	и очень	1	2
21	о достоевском	2	2
22	из мертвого	1	2
23	к достоевскому	1	2
24	мертвого дома	1	2
25	художественном творчестве	1	2
26	и с	3	2
27	достоевского с	1	2
28	и о	1	2
29	что для	1	2
30	тем что	1	2
31	ничего не	2	2
32	же это	1	2
33	всего творчества	1	1
34	не так	1	1
35	а с	1	1
36	братья карамазовы	1	1
37	и наказания	1	1
38	преступления и	1	1
39	оба они	2	1
40	художественного творчества	1	1
41	творчества достоевского	2	1
42	был человек	1	1
43	в них	1	1
44	не случайно	1	1
45	если бы	1	1
46	жизни этого	1	1
47	и сам	1	1
48	я нисколько	1	1
49	ушел от	1	1
50	и без	1	1
51	жизни и	1	1
52	от этого	1	1
53	слишком много	1	1
54	вся диалектика	1	1
55	нисколько не	1	1
56	было не	1	1
57	писателя а	1	1
58	со всеми	1	1
59	бы в	1	1
