N	2gram	Bakhtin_Pr	Myshleni
1	в том	12	195
2	в этом	33	167
3	то что	21	166
4	и в	64	162
5	том что	8	161
6	таким образом	15	147
7	точки зрения	31	143
8	с помощью	2	131
9	что в	11	119
10	мышления и	1	117
11	не только	26	116
12	того что	3	109
13	в процессе	6	101
14	так же	8	100
15	речи и	4	99
16	и речи	1	96
17	потому что	8	95
18	того чтобы	2	91
19	может быть	43	89
20	с точки	21	89
21	что он	15	86
22	не может	26	81
23	как и	25	79
24	для того	1	78
25	так как	9	78
26	и не	55	78
27	только в	13	75
28	в целом	8	74
29	как мы	13	72
30	но и	26	70
31	заключается в	1	67
32	в его	30	67
33	сказать что	4	65
34	как бы	33	64
35	вместе с	1	62
36	и что	5	60
37	было бы	8	60
38	в качестве	1	60
39	то же	18	58
40	в основе	4	58
41	устной речи	3	58
42	в отношении	5	55
43	могли бы	2	54
44	между собой	2	53
45	что мы	1	53
46	в самом	17	52
47	по сравнению	1	51
48	в сущности	10	51
49	мы должны	3	50
50	к тому	4	49
51	что они	1	48
52	тем что	6	48
53	мы можем	1	48
54	тогда когда	1	47
55	мы не	4	47
56	сравнению с	1	46
57	если бы	12	46
58	по отношению	12	45
59	но не	12	45
60	с другой	7	45
61	в мышлении	1	44
62	же как	2	43
63	тому что	3	42
64	как это	1	42
65	отношению к	12	42
66	о том	5	40
67	одной стороны	1	40
68	никогда не	11	39
69	говорит он	6	39
70	с одной	1	39
71	так и	8	39
72	мы видели	1	38
73	в области	1	38
74	и к	5	37
75	вопрос о	3	37
76	если мы	3	37
77	мы видим	3	37
78	не в	15	37
79	в этой	5	37
80	с самого	1	36
81	в своем	12	36
82	речи как	3	36
83	все эти	13	36
84	самого начала	2	36
85	как в	7	36
86	а не	29	36
87	и его	21	36
88	того же	3	35
89	с другом	3	35
90	можно было	3	35
91	в себе	11	35
92	в которой	2	35
93	друг с	4	35
94	он не	14	35
95	для себя	3	35
96	связи с	3	34
97	и как	9	34
98	приводит к	8	34
99	прежде всего	16	33
100	при этом	8	33
101	по себе	16	33
102	мысли к	1	33
103	именно в	5	32
104	и на	16	32
105	той же	8	32
106	что оно	2	32
107	по своему	1	32
108	же самое	1	32
109	что и	7	32
110	и тем	1	32
111	но в	14	32
112	слова и	8	32
113	развития в	1	31
114	все же	11	31
115	мысли и	6	30
116	на то	5	30
117	этом отношении	3	30
118	этого слова	3	29
119	между тем	7	29
120	могут быть	9	29
121	от того	4	29
122	с этим	3	28
123	что с	1	28
124	самом деле	10	28
125	к слову	2	28
126	только что	1	27
127	с этой	2	27
128	в результате	7	27
129	другой стороны	6	27
130	этом случае	1	27
131	в то	15	27
132	и с	9	27
133	в своей	11	27
134	что все	2	27
135	речи но	1	27
136	перед нами	12	27
137	в их	6	26
138	в собственном	1	26
139	собственном смысле	1	26
140	что это	2	26
141	для него	23	26
142	мысли в	2	26
143	в частности	1	26
144	что она	7	25
145	еще не	10	25
146	уже в	5	25
147	все это	9	25
148	можно сказать	2	25
149	по мере	4	25
150	только не	2	25
151	мы уже	4	25
152	это не	12	25
153	в смысле	3	24
154	мы знаем	1	24
155	тот же	2	24
156	зависимости от	5	24
157	целый ряд	2	24
158	на этот	4	24
159	того как	3	24
160	в какой	2	24
161	мы пытались	1	24
162	так что	6	24
163	в нем	28	24
164	в слове	3	24
165	как уже	1	24
166	в высшей	1	24
167	друг друга	4	23
168	этот вопрос	4	23
169	бы в	7	23
170	отношение между	2	23
171	ни в	5	23
172	как он	3	23
173	связи между	3	23
174	слова в	12	23
175	во всяком	7	22
176	не могут	10	22
177	то время	2	22
178	смысле этого	1	22
179	в известном	1	22
180	в зависимости	5	22
181	отношения между	1	22
182	высшей степени	1	22
183	мыслью и	1	22
184	между ними	6	21
185	к этому	1	21
186	и следовательно	7	21
187	и ее	5	21
188	с таким	1	21
189	в нашем	2	21
190	его в	8	21
191	все время	3	21
192	в свете	4	21
193	там где	12	21
194	и все	6	21
195	не имеет	2	21
196	в истории	2	21
197	в сознании	3	21
198	ее в	3	21
199	отношение к	4	21
200	в виду	3	20
201	не менее	3	20
202	в котором	7	20
203	в другом	3	20
204	к которому	2	20
205	из них	3	20
206	время как	2	20
207	речь и	2	20
208	из этих	3	20
209	на вопрос	2	20
210	к внутренней	2	20
211	в такой	1	20
212	и других	1	20
213	а в	10	20
214	едва ли	1	20
215	как раз	9	20
216	на этом	2	20
217	должно быть	8	20
218	речи не	1	20
219	по существу	6	20
220	речь для	1	20
221	и их	3	20
222	в речи	3	19
223	речь не	1	19
224	в связи	1	19
225	во всех	4	19
226	а с	2	19
227	и по	1	19
228	один из	3	19
229	но если	1	19
230	независимо от	1	19
231	в данном	2	19
232	для других	2	19
233	в той	5	19
234	мы и	2	19
235	словом и	3	19
236	как на	4	19
237	с ним	8	19
238	в себя	6	19
