N	2gram	Bakhtin_Pr	Narrotol
1	не только	26	62
2	и не	55	50
3	при этом	8	47
4	но и	26	45
5	а не	29	38
6	в качестве	1	35
7	в частности	1	31
8	может быть	43	30
9	и в	64	30
10	в том	12	29
11	в этом	33	28
12	тогда как	1	28
13	своего рода	1	28
14	том что	8	28
15	а в	10	27
16	такого рода	1	26
17	только в	13	25
18	в данном	2	24
19	как и	25	24
20	не в	15	23
21	то что	21	23
22	то есть	3	22
23	не может	26	20
24	в рассказе	2	18
25	в себе	11	17
26	данном случае	2	17
27	так и	8	17
28	со стороны	1	16
29	в его	30	16
30	к тому	4	15
31	можно сказать	2	15
32	и т.п	1	15
33	но в	14	15
34	в жизни	5	14
35	и его	21	14
36	то же	18	13
37	в своей	11	13
38	уже не	15	13
39	о том	5	13
40	в своем	12	13
41	у него	11	13
42	времени и	2	13
43	все же	11	12
44	как в	7	12
45	перед нами	12	12
46	как бы	33	12
47	прежде всего	16	12
48	по отношению	12	11
49	об этом	3	11
50	к себе	6	11
51	хотя и	5	11
52	в мире	7	11
53	если бы	12	11
54	и тем	1	11
55	в этой	5	11
56	в нем	28	11
57	героя в	7	11
58	в отличие	4	11
59	отличие от	4	11
60	отношению к	12	11
61	один из	3	10
62	никогда не	11	10
63	тому же	2	10
64	точки зрения	31	10
65	между тем	7	10
66	как это	1	10
67	в то	15	10
68	и все	6	10
69	жизни и	3	10
70	с его	11	10
71	ничего не	8	10
72	того что	3	10
73	но не	12	10
74	как раз	9	9
75	тем не	2	9
76	той или	1	9
77	я в	2	9
78	что в	11	9
79	с ним	8	9
80	что он	15	9
81	еще не	10	9
82	потому что	8	9
83	во времени	3	9
84	для него	23	9
85	далеко не	7	9
86	в рамках	2	9
87	рассказа в	1	9
88	в той	5	8
89	и к	5	8
90	в самом	17	8
91	в таком	3	8
92	о чем	1	8
93	не менее	3	8
94	не мог	1	8
95	одна из	5	8
96	он не	14	8
97	и он	5	8
98	самом деле	10	8
99	того чтобы	2	8
100	мы имеем	1	8
101	же время	13	8
102	и для	7	8
103	этом отношении	3	8
104	в литературе	4	8
105	у нас	3	8
106	но при	4	8
107	или иной	1	8
108	мира в	5	8
109	в речи	3	7
110	при всей	2	7
111	а во	1	7
112	в котором	7	7
113	с другой	7	7
114	едва ли	1	7
115	в ее	2	7
116	на себя	4	7
117	в конце	8	7
118	и на	16	7
119	в форме	8	7
120	же в	2	7
121	в свою	1	7
122	это не	12	7
123	или в	7	7
124	также и	3	7
125	в ней	2	7
126	в целом	8	7
127	все что	4	6
128	в результате	7	6
129	например в	5	6
130	между двумя	1	6
131	сказать что	4	6
132	в нашем	2	6
133	на него	6	6
134	то в	2	6
135	что у	2	6
136	с одной	1	6
137	что и	7	6
138	могло бы	1	6
139	героя и	14	6
140	в случае	1	6
141	не могла	1	6
142	главного героя	1	6
143	человеческих отношений	1	6
144	известном смысле	1	6
145	однако в	3	6
146	однако и	1	6
147	во втором	1	6
148	таким образом	15	6
149	никак не	4	6
150	к его	1	6
151	в слове	3	6
152	в известном	1	6
153	то и	3	6
154	из этих	3	6
155	в сознании	3	6
156	здесь не	7	6
157	ответ на	1	6
158	они не	5	6
159	о нем	15	6
160	как у	1	6
161	слова в	12	6
162	одной стороны	1	6
163	на то	5	6
164	в центре	1	5
165	только что	1	5
166	не столько	1	5
167	в своих	4	5
168	и даже	5	5
169	и сам	6	5
170	именно в	5	5
171	а именно	2	5
172	мира и	7	5
173	свою очередь	1	5
174	в другом	3	5
175	для того	1	5
176	не всегда	2	5
177	о них	1	5
178	может служить	3	5
179	в одном	20	5
180	он сам	5	5
181	точка зрения	13	5
182	себя в	3	5
183	из них	3	5
184	к нему	11	5
185	от его	1	5
186	начала и	2	5
187	бы и	6	5
188	не было	5	5
189	но для	3	5
190	я не	6	5
191	такова что	1	5
192	человек в	1	5
193	так сказать	9	5
194	между собой	2	5
195	его жизни	2	5
196	в русской	1	5
197	по поводу	1	5
198	точку зрения	7	5
199	и от	3	5
200	с ее	1	5
201	было как	1	5
202	и здесь	6	5
203	что это	2	5
204	подобно тому	3	5
205	если не	1	5
206	их в	8	5
207	и у	3	5
208	с ними	2	5
209	да и	2	5
210	о котором	1	5
211	вследствие этого	2	5
212	стало быть	1	5
213	было бы	8	5
214	и уже	3	5
215	за пределами	2	5
216	мы не	4	5
217	на самом	5	5
218	читателя в	1	5
219	в равной	1	5
220	в какой	2	5
221	тому как	3	5
222	высказывания в	1	5
223	в начале	1	5
224	в пределах	24	5
225	и о	7	5
226	место в	1	5
227	как будто	4	5
228	себе самому	6	5
229	или напротив	1	5
230	и мира	1	4
231	даже в	6	4
232	строго говоря	1	4
233	в виду	3	4
234	по себе	16	4
235	в них	5	4
236	в первом	2	4
237	и с	9	4
238	все его	3	4
239	ведет к	1	4
240	роль в	1	4
241	он является	3	4
242	не существует	1	4
243	хотя бы	4	4
244	только на	3	4
245	но они	2	4
246	взаимодействия сознаний	1	4
247	и когда	1	4
248	который в	1	4
249	к этому	1	4
250	обо мне	1	4
251	что они	1	4
252	на том	2	4
253	несмотря на	7	4
254	и притом	1	4
255	не о	3	4
256	тому что	3	4
257	в себя	6	4
