N	2gram	Medvedev_F	RusskieA
1	и в	54	79
2	в том	17	64
3	том что	3	59
4	что в	10	57
5	т е	50	54
6	не только	14	41
7	а а	1	40
8	так как	4	34
9	и другие	3	33
10	в этом	39	33
11	состоит в	3	32
12	как бы	10	31
13	но и	18	31
14	в других	5	30
15	в и	1	30
16	п в	2	30
17	как и	18	28
18	и на	10	28
19	может быть	30	28
20	в этот	2	26
21	а н	3	25
22	одна из	2	24
23	о том	1	23
24	и т	22	23
25	при этом	14	22
26	т д	11	21
27	это не	4	20
28	е в	2	20
29	а в	11	20
30	как мы	10	20
31	из них	5	19
32	все это	11	18
33	с тем	11	17
34	таким образом	28	17
35	то что	14	17
36	вместе с	8	17
37	потому что	2	17
38	мы не	6	16
39	или на	2	15
40	один из	4	15
41	в них	4	14
42	и с	17	14
43	не менее	12	14
44	тем не	2	14
45	в другие	1	14
46	как это	8	14
47	и что	2	14
48	мы видели	5	14
49	и не	34	14
50	для нас	1	14
51	у нас	6	14
52	уже не	9	13
53	к этому	3	13
54	в некоторых	2	13
55	так что	2	13
56	и по	3	13
57	как в	12	13
58	еще не	6	13
59	не может	26	13
60	тем что	6	12
61	между собой	1	12
62	полагает что	1	12
63	этом случае	1	12
64	мы имеем	1	12
65	в виде	2	12
66	мы увидим	5	11
67	следующим образом	1	11
68	не имеет	2	11
69	но это	4	11
70	а на	2	11
71	далеко не	2	11
72	что на	3	11
73	все же	8	10
74	так например	3	10
75	том чтобы	3	10
76	его в	5	10
77	между тем	4	10
78	что и	10	10
79	так и	24	10
80	или в	2	10
81	а также	1	10
82	по существу	8	10
83	и других	4	10
84	то же	16	9
85	что они	4	9
86	с ней	1	9
87	и все	9	9
88	данном случае	2	9
89	но в	9	9
90	в русском	2	9
91	в г	1	9
92	но не	5	9
93	в этих	3	8
94	представление о	2	8
95	так же	5	8
96	связи с	12	8
97	на себя	1	8
98	во всех	9	8
99	что это	1	8
100	их в	2	8
101	в россии	4	8
102	того чтобы	4	8
103	того что	7	8
104	ее в	3	8
105	в данном	2	8
106	для того	3	8
107	же в	4	8
108	в это	1	7
109	в руках	1	7
110	должна была	2	7
111	настоящее время	11	7
112	в своем	12	7
113	на них	1	7
114	к нему	3	7
115	не в	16	7
116	в свете	1	7
