N	2gram	Propp_Isto	Freidism
1	таким образом	21	34
2	и не	19	34
3	точки зрения	3	31
4	не может	10	30
5	и пр	6	29
6	в этом	20	28
7	может быть	31	28
8	и в	44	28
9	прежде всего	7	26
10	в его	16	25
11	и его	15	22
12	с помощью	1	20
13	мы можем	6	20
14	как бы	4	19
15	как мы	9	18
16	то что	16	17
17	вовсе не	6	16
18	с точки	1	15
19	все эти	11	15
20	так как	19	15
21	с ним	9	14
22	в своей	3	14
23	так и	9	14
24	самом деле	2	14
25	и все	4	13
26	как и	12	13
27	по отношению	2	13
28	но в	7	13
29	во всех	3	13
30	в самом	1	12
31	то же	9	12
32	ни в	2	12
33	что он	29	12
34	том что	12	12
35	для него	2	12
36	все это	4	12
37	и потому	2	12
38	и наконец	2	12
39	мы видели	9	12
40	только в	8	11
41	мы знаем	12	11
42	сказать что	2	11
43	отношению к	2	11
44	его в	17	11
45	все что	5	10
46	один из	6	10
47	не только	17	10
48	и с	8	10
49	но и	16	10
50	конечно не	1	10
51	что же	1	10
52	тот же	1	10
53	никогда не	5	10
54	в том	13	10
55	мы уже	6	10
56	он не	5	10
57	все те	1	10
58	не в	11	10
59	и на	11	9
60	те же	1	9
61	уже не	14	9
62	во всяком	1	9
63	совершенно не	2	9
64	мы не	6	9
65	с его	3	9
66	к этому	5	9
67	к нему	5	9
68	а не	5	9
69	мы должны	7	9
70	и др	6	9
71	могут быть	9	9
72	при этом	4	8
73	все же	17	8
74	еще не	16	8
75	с этим	7	8
76	было бы	2	8
77	и вот	4	8
78	знаем что	10	8
79	а в	9	8
80	по мнению	1	8
81	с другими	4	8
82	на этом	5	8
83	в ней	8	8
84	всяком случае	1	8
85	что в	18	7
86	и к	3	7
87	не могут	2	7
88	связь с	20	7
89	в жизни	1	7
90	роль в	3	7
91	хотя бы	2	7
92	в каком	1	7
93	если мы	1	7
94	что все	4	7
95	и для	3	7
96	из них	4	7
97	того что	3	7
98	не является	1	7
99	но не	8	7
100	об этом	6	7
101	и у	3	7
102	с самого	1	7
103	в нем	10	7
104	быть и	1	7
105	в этой	5	7
106	отношение к	3	7
107	в себе	1	7
108	жизни и	4	7
109	в то	5	7
110	и ее	1	7
111	одно из	3	6
112	если он	2	6
113	не менее	6	6
114	но мы	5	6
115	к тому	1	6
116	можно сказать	2	6
117	в основе	3	6
118	в свою	3	6
119	для того	3	6
120	же время	1	6
121	из этих	5	6
122	мы имеем	22	6
123	что такое	1	6
124	во время	12	6
125	на самом	1	6
126	здесь в	1	6
127	чем же	1	6
128	в таком	2	6
129	она не	7	6
130	совсем не	1	6
131	и что	13	6
132	в пределах	5	6
133	человека и	2	6
134	и о	2	6
135	и только	1	6
136	для этого	3	6
137	всех этих	2	6
138	что это	8	5
139	процесс образования	1	5
140	в более	6	5
141	в своих	4	5
142	ее в	8	5
143	в процессе	1	5
144	с ними	4	5
145	вместе с	26	5
146	со стороны	6	5
147	на первый	1	5
148	тех же	2	5
149	того чтобы	3	5
150	увидим что	3	5
151	на основании	1	5
152	и те	1	5
153	самого начала	1	5
154	что она	3	5
155	он сам	1	5
156	той же	2	5
157	это не	8	5
158	в ее	4	5
159	что и	11	5
160	в которой	4	5
161	тому что	1	5
162	между ними	2	5
163	в этих	7	5
164	в себя	3	5
165	и по	3	5
166	не было	2	5
167	другими словами	4	5
168	не знает	1	5
169	как это	5	5
170	далеко не	1	5
171	только то	1	5
172	от того	1	5
173	что может	1	5
174	ничего не	4	5
175	отнюдь не	1	5
176	с которыми	1	4
177	мы и	3	4
178	в последнем	2	4
179	как с	1	4
180	в основном	5	4
181	уже знаем	1	4
182	сам по	1	4
183	борьбы с	3	4
184	в виду	1	4
185	сводится к	1	4
186	по себе	2	4
187	если бы	5	4
188	именно и	1	4
189	теперь мы	1	4
190	связанные с	5	4
191	как в	11	4
192	этот вопрос	2	4
193	зависимости от	1	4
