N	2gram	Potebnia_M	VelikijI
1	и не	34	20
2	и в	58	16
3	свободы и	3	12
4	так как	29	9
5	то что	24	9
6	в истории	8	8
7	еще не	9	8
8	и потому	7	7
9	что они	6	7
10	а не	38	7
11	на земле	1	7
12	человека и	2	6
13	не есть	13	6
14	что есть	3	5
15	хотя и	6	5
16	того что	15	5
17	все это	3	5
18	в боге	1	5
19	как бы	12	5
20	на себя	1	5
21	в мире	3	5
22	но и	26	5
23	все что	5	4
24	в котором	5	4
25	в этом	18	4
26	что мы	11	4
27	потому что	89	4
28	в его	7	4
29	в ней	9	4
30	так и	17	4
31	мы хотим	1	4
32	и есть	4	4
33	и все	6	4
34	что не	15	4
35	в образе	1	4
36	что все	4	4
37	как и	16	4
38	что он	5	4
39	в нем	26	4
40	во всех	12	3
41	что в	34	3
42	нет ничего	2	3
43	и мы	1	3
44	за ним	2	3
45	то это	8	3
46	должно быть	9	3
47	тех которые	1	3
48	если не	5	3
49	хотя бы	4	3
50	в том	38	3
51	тому что	4	3
52	от которого	2	3
53	не в	23	3
54	его во	1	3
55	и что	13	3
56	что и	16	3
57	ни в	2	3
58	превращается в	2	3
59	людей он	1	3
60	в этих	10	3
61	в них	7	3
62	оно не	4	3
63	не было	7	3
64	лишь в	2	3
65	что во	4	3
66	в жизни	5	3
67	что я	2	3
68	по этому	2	3
69	и они	2	3
70	как не	4	3
71	их в	2	3
72	в своей	3	3
73	должна быть	4	3
74	с его	3	3
75	от этого	2	3
76	не имеет	9	3
77	но это	7	3
78	и для	8	3
79	жизни и	3	3
80	в чем	6	3
81	все эти	3	3
82	тот же	5	3
83	но в	12	3
84	к тому	5	3
85	никогда не	7	3
86	людей в	1	3
87	чтобы сделать	1	2
88	под конец	1	2
89	во всяком	9	2
90	от него	8	2
91	его и	1	2
92	жизни все	2	2
93	ее и	1	2
94	с пути	1	2
95	что от	1	2
96	а к	1	2
97	один из	2	2
98	превращаются в	1	2
99	мы и	1	2
100	не могли	2	2
101	в последнем	2	2
102	самого себя	4	2
103	которые не	5	2
104	более чем	1	2
105	на том	2	2
106	не создает	2	2
107	его не	3	2
108	не так	6	2
109	того чтобы	4	2
110	это не	10	2
111	это все	1	2
112	между тем	7	2
113	не только	32	2
114	для него	13	2
115	что истина	1	2
116	кто эти	1	2
117	и тогда	2	2
118	с ним	7	2
119	является в	1	2
120	но теперь	1	2
121	не будет	2	2
122	ее в	1	2
123	для нас	29	2
124	и то	4	2
125	и за	1	2
126	не с	2	2
127	на нас	1	2
128	прежде всего	8	2
129	а есть	1	2
130	для них	2	2
131	можно было	1	2
132	так не	1	2
133	а между	5	2
134	вслед за	2	2
135	и это	3	2
136	мы не	17	2
137	конечно не	1	2
138	и теперь	1	2
139	только в	36	2
140	силы человека	2	2
141	все равно	1	2
142	а в	11	2
143	до того	2	2
144	будет уже	1	2
145	в духе	1	2
146	в прошлом	1	2
147	истории и	1	2
148	ставится выше	1	2
149	и сам	1	2
150	но не	19	2
151	тем что	15	2
152	по которым	2	2
153	духа и	8	2
154	и во	6	2
155	тогда будет	1	2
156	могут быть	17	2
157	ничего и	1	2
158	значения и	1	2
159	не имел	2	2
160	с тем	9	2
161	давно уже	2	2
162	и т	10	2
163	к нам	3	2
164	одна из	4	2
165	мы слышим	1	2
166	его к	3	2
167	не могут	10	2
168	т д	6	2
169	да и	1	2
170	есть уже	4	2
171	том что	21	2
172	когда в	3	2
173	почему в	1	2
174	мир и	1	2
175	для их	2	2
176	для человека	3	2
177	но мы	3	2
178	в себя	2	2
179	уже не	4	2
180	только стало	1	2
181	не к	1	2
182	от своей	1	2
183	жизни но	2	1
184	с которыми	3	1
185	в самом	5	1
186	во всем	5	1
187	бы то	2	1
188	перестает быть	3	1
189	были в	1	1
190	природы в	2	1
191	и человеческого	2	1
192	могли бы	4	1
193	связь с	2	1
194	и другие	1	1
195	то есть	69	1
196	и стало	1	1
197	его связь	1	1
198	законы по	1	1
199	людям что	1	1
200	а потому	14	1
201	человека в	3	1
202	но как	4	1
203	все в	2	1
204	нужно знать	1	1
205	мы видим	5	1
206	и самое	3	1
207	и быть	1	1
208	ее к	1	1
209	природы человека	1	1
210	не хотим	1	1
211	если оно	1	1
212	самой жизни	1	1
213	что оно	5	1
214	на котором	1	1
215	для нашего	1	1
216	любви и	1	1
217	человеческой жизни	1	1
218	вообще в	1	1
219	свободы с	1	1
220	образом соединиться	1	1
221	тоже не	1	1
