N	4gram	Vygotskiy_	Komedia
1	в то время как	4	9
2	бы то ни было	1	7
3	не говоря уже о	1	6
4	в том что он	3	4
5	один и тот же	5	3
6	в том числе и	2	3
7	само собой разумеется что	1	3
8	сомневаться в том что	1	3
9	состоит в том что	7	2
10	с этой точки зрения	7	2
11	с одной стороны и	2	2
12	в том что в	2	2
13	в тех случаях когда	1	2
14	к одному и тому	2	2
15	к тому что и	1	2
16	мы имеем в виду	1	2
17	о чем идет речь	1	2
18	одному и тому же	2	2
19	этого было бы достаточно	1	1
20	той мере в какой	2	1
21	мы можем заключить что	1	1
22	в один и тот	1	1
23	не что иное как	2	1
24	вперед по сравнению с	2	1
25	в той мере в	3	1
26	но вместе с тем	3	1
27	вопрос о том как	1	1
28	по сравнению с тем	2	1
29	он имеет в виду	1	1
30	но как раз в	1	1
31	в той же мере	1	1
32	что и те и	1	1
33	представление о том что	1	1
34	вместе с тем мы	1	1
35	выходит далеко за пределы	3	1
36	которую можно было бы	1	1
37	той простой причине что	1	1
38	в связи с этим	1	1
39	в этой области не	1	1
40	в собственном смысле слова	1	1
41	на вопрос почему в	1	1
42	другой стороны нет ничего	1	1
43	только в том что	2	1
44	то же самое что	2	1
45	по самой своей природе	2	1
46	в самых общих чертах	1	1
47	и подобно тому как	2	1
48	то время как в	1	1
49	только в связи с	1	1
50	дело таким образом что	1	1
51	с другой стороны нет	1	1
52	и те и другие	1	1
53	несмотря на то что	2	1
54	одного и того же	8	1
55	начинается с того что	2	1
56	и в конце концов	1	1
57	по той простой причине	1	1
58	о том в чем	1	1
59	так же как и	2	1
60	мы имеем дело с	1	1
61	с самого начала что	3	1
62	в том виде как	1	1
63	с другой стороны при	1	1
