N	2gram	Tiupa_Vved	VerxiiNi
1	и в	23	26
2	таким образом	6	22
3	с тем	1	18
4	в этом	27	15
5	вместе с	2	15
6	русской культуры	1	15
7	точки зрения	1	13
8	как бы	8	12
9	в том	21	11
10	не только	32	10
11	и с	2	10
12	может быть	25	10
13	из этих	5	10
14	что в	6	9
15	связи с	2	9
16	но и	31	9
17	в области	5	9
18	и у	2	8
19	и не	24	8
20	с другой	10	8
21	но не	9	8
22	с одной	9	7
23	в эпоху	1	7
24	том что	16	7
25	потому что	7	7
26	одной стороны	9	7
27	а с	4	7
28	то что	9	7
29	но в	14	7
30	из них	1	7
31	к нему	2	7
32	так и	14	6
33	в конце	3	6
34	несмотря на	2	6
35	все это	3	6
36	что и	6	6
37	в отношении	1	6
38	все эти	1	6
39	все же	10	6
40	к тому	9	6
41	о том	7	6
42	во всяком	3	6
43	и потому	2	6
44	всяком случае	3	6
45	мы должны	1	6
46	и т.д	6	6
47	в себе	15	6
48	того же	1	6
49	и к	2	5
50	том числе	1	5
51	в его	9	5
52	к жизни	2	5
53	тому же	6	5
54	более или	2	5
55	в мире	9	5
56	не имеет	3	5
57	или менее	2	5
58	по крайней	1	5
59	того чтобы	2	5
60	для того	1	5
61	так же	2	5
62	лишь в	4	5
63	отношение к	5	5
64	одной из	1	5
65	в силу	2	5
66	а не	31	5
67	и для	8	5
68	крайней мере	1	5
69	никогда не	6	5
70	при жизни	1	4
71	в самом	6	4
72	то есть	13	4
73	и по	3	4
74	то же	8	4
75	из которых	1	4
76	только в	9	4
77	в этих	5	4
78	должен был	2	4
79	с другими	1	4
80	целый ряд	2	4
81	что он	2	4
82	в которых	2	4
83	в котором	11	4
84	в течение	2	4
85	он не	6	4
86	и что	2	4
87	далеко не	5	4
88	а в	15	4
89	в этой	2	4
90	числе и	1	4
91	и от	3	4
92	не может	14	4
93	что все	1	4
94	на этот	2	4
95	в виде	1	4
96	в то	5	4
97	и только	2	4
98	в нем	9	4
99	во время	3	4
100	к сожалению	1	3
101	при этом	43	3
102	для него	5	3
103	из всех	1	3
104	что это	2	3
