N	4gram	Losev_Vesc	Sovremen
1	и есть не что	3	1
2	ни то ни другое	1	1
3	может быть и речи	1	1
4	они принципиально не могут	1	1
5	все же это не	1	1
6	хотя и эта сторона	1	1
7	какой бы то ни	1	1
8	дело в том что	4	1
9	бы то ни было	12	1
10	и не было бы	1	1
11	и в то же	3	1
12	с одной стороны и	1	1
13	принципиально не может быть	1	1
14	не что иное как	12	1
15	не может быть и	1	1
16	в то же время	4	1
17	не может не быть	1	1
18	возможность и для ее	1	1
19	это значит что она	4	1
20	один и тот же	1	1
21	есть не что иное	8	1
