N	3gram	Savitsky_P	Vladivir
1	в том что	4	29
2	и то что	1	14
3	во всяком случае	1	12
4	более или менее	1	11
5	не может быть	1	10
6	в то же	7	10
7	вместе с тем	1	10
8	с точки зрения	3	10
9	в этом смысле	1	9
10	то же время	7	9
11	само по себе	1	6
12	том что в	1	6
13	в отличие от	1	6
14	с другой стороны	1	6
15	и в этом	1	6
16	в настоящее время	1	6
17	можно судить по	1	6
18	и в то	2	5
19	в сравнении с	3	5
20	не только в	4	5
21	для того чтобы	1	4
22	что в этом	1	4
23	и т д	1	4
24	заключается в том	2	4
25	с одной стороны	3	4
26	в последние годы	1	3
27	хотя бы и	1	3
28	в том числе	2	3
29	не в том	1	3
30	мы знаем что	1	3
31	для тех кто	1	3
32	тем более что	1	3
33	и в частности	1	3
34	так же как	1	2
35	одной стороны и	2	2
36	россия и европа	1	2
37	половины xix века	1	2
38	в тот же	2	2
39	все существующее в	1	2
40	вопрос об отношении	1	2
41	за то что	1	2
42	то что его	1	2
43	тех пор пока	1	2
44	мы можем представить	1	2
45	до тех пор	1	2
46	только в виде	1	2
47	но в общем	1	2
48	тех кто не	1	2
49	но в то	1	2
50	есть прежде всего	1	2
51	мы не будем	1	2
52	если бы мы	1	2
53	в этом не	1	2
54	между прочим потому	1	1
55	на пути в	1	1
56	что уже в	1	1
57	и с этим	1	1
58	на наш взгляд	1	1
59	и в годы	1	1
60	с и и	1	1
61	что мы и	1	1
62	а с тем	1	1
63	прочим потому что	1	1
64	на свои собственные	1	1
65	с тем чтобы	1	1
66	начал со стороны	1	1
67	можно думать что	1	1
68	в россии и	1	1
69	и тем самым	1	1
70	во многих случаях	1	1
71	есть для нас	1	1
72	что во всех	1	1
73	в ней не	2	1
74	хотя и без	1	1
75	очень и очень	1	1
76	эта не только	1	1
77	в известном смысле	1	1
78	да и не	1	1
79	что все существующее	1	1
80	н и е	3	1
81	было в то	1	1
82	а в с	1	1
83	как никогда раньше	2	1
84	чуть ли не	1	1
85	в значительной мере	2	1
86	насколько можно судить	1	1
87	но и в	2	1
88	не может идти	1	1
89	должна относиться к	1	1
90	в настоящую минуту	1	1
91	и теперь в	1	1
92	в каком смысле	1	1
93	закрывать глаза на	1	1
94	тем и другим	1	1
95	бы она ни	1	1
96	не было бы	1	1
97	с богом и	1	1
98	далеко не все	1	1
99	в отрыве от	1	1
100	человека с богом	1	1
101	в собственном смысле	1	1
102	ни к чему	1	1
103	и не может	1	1
104	в том виде	1	1
105	что из всех	1	1
106	главным образом на	1	1
107	и не только	2	1
108	не только как	1	1
109	мы должны в	1	1
110	из этой области	1	1
