N	2gram	Bakhtin_KF	VerxiiNi
1	и в	28	26
2	с тем	2	18
3	в этом	15	15
4	вместе с	1	15
5	точки зрения	13	13
6	как бы	9	12
7	в том	6	11
8	не только	5	10
9	и с	1	10
10	может быть	45	10
11	что в	4	9
12	так как	1	9
13	но и	9	9
14	в области	2	9
15	и не	28	8
16	главным образом	1	8
17	но не	12	8
18	но все	6	7
19	том что	4	7
20	потому что	2	7
21	а с	2	7
22	то что	7	7
23	но в	5	7
24	к нему	12	7
25	так и	2	6
26	несмотря на	1	6
27	все это	10	6
28	что и	7	6
29	в отношении	1	6
30	все эти	11	6
31	все же	5	6
32	к тому	1	6
33	о том	3	6
34	во всяком	1	6
35	и потому	2	6
36	всяком случае	1	6
37	мы должны	1	6
38	и т.д	4	6
39	с точки	10	6
40	в себе	21	6
41	того же	1	6
42	и к	1	5
43	до сих	1	5
44	в его	42	5
45	в мире	8	5
46	не имеет	6	5
47	сих пор	1	5
48	того чтобы	2	5
49	для того	3	5
50	лишь в	8	5
51	отношение к	6	5
52	одной из	1	5
53	образом в	1	5
54	а не	17	5
55	и для	10	5
56	никогда не	5	5
57	в самом	1	4
58	ничем не	1	4
59	то есть	1	4
60	и по	1	4
61	то же	5	4
62	из которых	2	4
63	только в	18	4
64	в этих	1	4
65	должен был	1	4
66	что он	2	4
67	в смысле	6	4
68	в котором	24	4
69	он не	6	4
70	а в	5	4
71	в этой	2	4
72	и от	1	4
73	не может	29	4
74	что все	1	4
75	в виде	2	4
76	в то	3	4
77	и только	7	4
78	в нем	32	4
79	уже с	1	3
80	при этом	4	3
81	для него	13	3
82	из всех	1	3
83	религии в	1	3
84	что это	4	3
85	тем не	2	3
86	в качестве	2	3
87	в результате	1	3
88	и даже	1	3
89	если бы	8	3
90	в которой	1	3
91	с ней	1	3
92	ясно что	3	3
93	и как	2	3
94	как о	1	3
95	не менее	3	3
96	и таким	1	3
97	что эти	1	3
98	можно сказать	1	3
99	но с	1	3
100	за собой	1	3
101	хотя бы	5	3
102	в значительной	1	3
103	культура в	2	3
104	так называемые	1	3
105	когда он	1	3
106	всякое бытие	1	3
107	в одном	5	3
108	к ним	4	3
109	и о	1	3
110	культуры и	5	3
111	отношению к	22	3
112	в своем	17	3
113	уже не	7	3
114	подойти к	1	3
115	к этому	2	3
116	того что	3	3
117	бы то	2	2
118	влечет за	1	2
119	все что	1	2
120	этой задачи	1	2
121	один из	2	2
122	и здесь	7	2
123	культурные ценности	3	2
124	ему в	2	2
125	и на	3	2
126	связанных с	1	2
127	только что	1	2
128	тогда когда	3	2
129	мы имеем	5	2
130	не с	1	2
131	ни было	4	2
132	утверждать что	1	2
133	только не	1	2
134	культуры на	1	2
135	не как	4	2
136	прежде всего	4	2
137	одно из	1	2
138	его от	1	2
139	различия между	1	2
140	со всеми	2	2
141	связь с	1	2
142	из него	4	2
143	не было	8	2
144	к его	1	2
145	не потому	2	2
146	отличаются от	1	2
147	не в	13	2
148	в виду	3	2
149	мысль о	1	2
150	с целью	1	2
151	именно в	5	2
152	и действительно	6	2
153	в процессе	2	2
154	для каждого	1	2
155	выход из	2	2
156	одновременно и	1	2
157	при таком	1	2
158	эта ценность	1	2
159	по своему	3	2
160	приводит к	1	2
161	на все	1	2
162	только для	1	2
163	было конечно	1	2
164	отличается от	1	2
165	ничего общего	2	2
166	в эту	1	2
167	особенно в	1	2
168	еще не	5	2
169	во всех	11	2
170	и мир	2	2
171	перестает быть	1	2
172	ко всему	5	2
173	мы можем	1	2
174	уже давно	1	2
175	людей и	3	2
176	что мы	1	2
177	ни у	2	2
178	совершенно иной	1	2
179	ли это	2	2
180	если не	2	2
181	но при	1	2
182	его не	1	2
183	то ни	2	2
184	между тем	4	2
185	в свою	3	2
186	из себя	11	2
187	быть и	3	2
188	сознании и	1	2
189	не могло	1	2
190	ни один	1	2
191	всех других	2	2
192	так чтобы	1	2
193	и это	12	2
194	этот факт	2	2
195	превращается в	1	2
196	конечно не	7	2
197	по своей	1	2
198	же время	2	2
199	признать что	1	2
200	или иное	2	2
201	еще на	1	2
202	нами и	1	2
203	же самое	1	2
