N	2gram	Voloshinov	Sotsiolo
1	все это	4	7
2	в том	3	5
3	в этом	10	5
4	не только	28	3
5	как же	1	3
6	не в	6	3
7	и в	42	3
8	но ведь	6	3
9	более чем	1	3
10	в его	6	3
11	для нас	3	3
12	что в	1	2
13	то что	9	2
14	таким образом	8	2
15	том что	3	2
16	или даже	2	2
17	дело не	1	2
18	как бы	30	2
19	в результате	1	2
20	было бы	7	2
21	как будто	1	2
22	очевидно что	2	2
23	в частности	3	2
24	нужно было	2	2
25	но и	16	2
26	конце концов	3	2
27	может быть	13	2
28	по существу	1	2
29	главным образом	3	2
30	и что	1	2
31	это и	1	2
32	исторической жизни	1	2
33	за пределы	1	2
34	по отношению	2	2
35	в конце	6	2
36	как только	4	2
37	отношению к	2	2
38	тем более	1	2
39	только в	7	2
40	к которому	2	2
41	только как	1	2
42	то же	16	2
43	еще не	3	2
44	творческой энергии	1	1
45	а в	5	1
46	что он	2	1
47	образом в	1	1
48	в конечном	1	1
49	столь же	1	1
50	даже в	1	1
51	в таких	1	1
52	в целом	4	1
53	в силу	1	1
54	вряд ли	3	1
55	на этот	2	1
56	и темы	1	1
57	что эти	3	1
58	жизни он	1	1
59	все эти	3	1
60	не было	2	1
61	представить себе	3	1
62	когда мы	6	1
63	связи с	3	1
64	его исследования	1	1
65	только то	1	1
66	не мешает	1	1
67	в своей	2	1
68	что без	1	1
69	в мире	2	1
70	и потому	2	1
71	дает нам	1	1
72	все же	9	1
73	что это	4	1
74	или не	1	1
75	еще и	2	1
76	по крайней	1	1
77	происходящее в	1	1
78	с другой	1	1
79	ни на	3	1
80	мы должны	10	1
81	это как	1	1
82	это же	2	1
83	с ним	2	1
84	к вопросам	1	1
85	между тем	3	1
86	о художественных	1	1
87	но как	2	1
88	в этой	6	1
89	и его	7	1
90	перейти к	2	1
91	ли не	2	1
92	никак не	1	1
93	на все	1	1
94	в области	6	1
95	и по	1	1
96	с помощью	6	1
97	же самое	5	1
98	этом не	1	1
99	один из	4	1
100	так и	7	1
101	только тогда	2	1
102	в то	9	1
103	может не	1	1
104	слова но	3	1
105	в котором	3	1
106	те же	5	1
107	поэта и	1	1
108	между собой	2	1
109	должно было	3	1
110	отнюдь не	10	1
111	и не	14	1
112	со своими	1	1
113	он ни	1	1
114	стоит только	1	1
115	благодаря тому	1	1
116	по необходимости	1	1
117	и о	1	1
118	и должны	1	1
119	но не	2	1
120	осложняется еще	1	1
121	в те	1	1
122	в него	2	1
123	благодаря этому	1	1
124	она должна	1	1
125	что личность	1	1
126	для этого	2	1
127	прежде всего	22	1
128	тем что	2	1
129	тем же	4	1
130	в каждом	4	1
131	связь между	3	1
132	и благодаря	1	1
133	в чем	1	1
134	не из	2	1
135	этом но	1	1
136	а с	5	1
137	это происходит	1	1
138	и будет	1	1
139	в сущности	1	1
140	конечном счете	1	1
141	он говорит	2	1
142	его в	4	1
143	зависит от	2	1
144	писателя не	1	1
145	крайней мере	1	1
146	же этот	1	1
147	в процессе	6	1
148	я и	2	1
149	вовсе не	2	1
150	даже не	1	1
151	и наконец	5	1
152	конечно не	3	1
153	о том	4	1
154	мы не	9	1
155	и понимает	1	1
156	тому что	5	1
157	в заключение	1	1
158	том и	1	1
159	нет его	1	1
160	эти вопросы	2	1
161	в этих	2	1
162	у него	1	1
163	по себе	1	1
164	на отдельные	2	1
165	на первый	2	1
166	перед нами	3	1
167	из тех	1	1
168	это дает	1	1
169	и никак	1	1
170	все то	2	1
171	хотя бы	18	1
172	же время	7	1
173	даже больше	1	1
174	это не	3	1
175	чуть ли	2	1
176	в связи	2	1
177	бы в	6	1
178	конечно только	2	1
179	в виде	1	1
180	мастером своего	1	1
181	именно в	1	1
182	вопросом о	1	1
183	никогда не	7	1
184	и есть	1	1
185	не может	13	1
186	между ними	3	1
187	и как	10	1
188	место в	2	1
189	для наших	3	1
190	как и	12	1
191	ничего не	8	1
