N	4gram	Bakhtin_Pr	RusskieA
1	состоит в том что	1	26
2	не что иное как	1	4
3	на самом же деле	2	3
4	но тем не менее	1	2
5	мы не будем останавливаться	1	2
6	мы не будем здесь	1	2
7	греческой и особенно римской	1	1
8	и до сих пор	2	1
9	общего не имеет с	1	1
10	самом же деле это	1	1
11	а может быть и	1	1
12	можно сказать что в	1	1
13	самом же деле эти	1	1
14	так как это не	1	1
15	до сих пор в	1	1
16	или во всяком случае	1	1
17	в одном из своих	1	1
18	в том что на	1	1
19	дело в том что	2	1
20	ничего общего не имеет	1	1
21	для них таким же	1	1
