N	3gram	Losev_Vesc	Morfolog
1	и т д	36	60
2	мы видим что	2	11
3	в этом случае	1	10
4	не может быть	22	9
5	в связи с	1	9
6	с точки зрения	6	6
7	тем не менее	11	6
8	подобно тому как	5	5
9	с другой стороны	3	5
10	в том что	9	4
11	не может считаться	2	4
12	независимо от того	1	4
13	к тому что	2	4
14	но все же	2	4
15	на то что	7	3
16	о том что	4	3
17	в собственном смысле	3	3
18	для того чтобы	2	3
19	не значит что	1	3
20	и пр и	1	3
21	в то время	4	3
22	бы то ни	12	3
23	в первом случае	2	3
24	далеко не все	1	3
25	то время как	4	3
26	в научной литературе	1	2
27	и тем не	5	2
28	это не значит	1	2
29	о том как	4	2
30	но если это	3	2
31	дело не в	1	2
32	то что в	1	2
33	т д а	1	2
34	более или менее	4	2
35	т д в	1	2
36	не что иное	12	2
37	можно было бы	3	2
38	и таким образом	2	2
39	в данном случае	2	2
40	если это так	2	2
41	но так как	1	2
42	то ни было	12	2
43	должен знать что	1	2
44	во всяком случае	2	2
45	что иное как	12	2
46	с одной стороны	3	2
47	в этом отношении	2	2
48	вопрос о том	2	2
49	оно может быть	1	2
50	может быть и	1	2
51	но то что	3	1
52	и не с	2	1
53	есть не что	8	1
54	т д и	11	1
55	в свою очередь	5	1
56	и тот же	1	1
57	т е не	5	1
58	т д все	1	1
59	т д то	1	1
60	и даже не	3	1
61	и пр что	2	1
62	если это не	1	1
63	мы скажем что	1	1
64	в применении к	2	1
65	между собою так	1	1
66	то что он	2	1
67	т д таким	1	1
68	но и здесь	1	1
69	и может быть	1	1
70	это так то	2	1
71	бы сказать что	2	1
72	не только никакого	1	1
73	какого бы то	2	1
74	т е на	2	1
75	это одна из	1	1
76	том или другом	2	1
77	в чем же	5	1
78	так как мы	2	1
79	то что не	2	1
80	какая разница между	1	1
81	она должна быть	2	1
82	возникает другой вопрос	1	1
83	они все же	1	1
84	самом деле в	1	1
85	если же они	2	1
86	того или другого	1	1
87	один и тот	1	1
88	здесь как и	1	1
89	никогда меня не	1	1
90	хотя это и	1	1
91	она могла бы	2	1
92	с этой точки	3	1
93	а в с	1	1
94	в коем случае	1	1
95	можно сказать что	3	1
96	только в том	1	1
97	в этом и	2	1
98	в то же	5	1
99	тех или иных	2	1
100	решить вопрос о	1	1
101	и то же	5	1
102	и есть то	2	1
103	а и в	9	1
104	и пр также	1	1
105	мы будем говорить	1	1
106	может быть или	1	1
107	на этом основании	1	1
108	уже не может	3	1
109	но и она	1	1
110	она не есть	1	1
111	то как же	1	1
112	друг с другом	2	1
113	видим таким образом	1	1
114	что бы то	1	1
115	до сих пор	1	1
116	не потому что	5	1
117	ясно что это	1	1
118	школы исходят из	1	1
119	мы переходим к	1	1
120	а если мы	1	1
121	он ничего не	2	1
122	ни в коем	1	1
123	нет а есть	1	1
124	одно и то	5	1
125	таким образом что	1	1
126	т д словом	1	1
127	она все же	1	1
128	вместо того чтобы	1	1
129	было бы считать	1	1
130	д таким образом	1	1
131	это уже не	1	1
132	в том или	2	1
133	нет не только	1	1
134	а потому что	1	1
135	понимания может быть	1	1
136	то что же	2	1
137	она может быть	2	1
138	превратился бы в	2	1
139	или нет? если	1	1
140	том что он	2	1
141	стоит в связи	1	1
142	несмотря на огромную	1	1
143	это было бы	1	1
144	тем что она	1	1
145	по существу и	1	1
146	хотя бы только	1	1
147	самого т е	1	1
148	но в этом	1	1
149	мы увидим как	1	1
150	если она есть	1	1
151	ясно что и	1	1
152	мы видим как	1	1
153	этой точки зрения	3	1
154	с тех пор	1	1
155	то что ему	1	1
156	тех пор как	1	1
157	это значит что	25	1
158	один из наиболее	1	1
159	между прочим и	1	1
160	в одном случае	1	1
161	во втором случае	1	1
162	то же время	4	1
163	то это значит	3	1
164	является одним из	1	1
165	не то что	1	1
166	что и в	1	1
167	должны быть изучены	1	1
168	при таких условиях	1	1
169	те или иные	1	1
170	мы не можем	3	1
171	что несмотря на	1	1
172	по тем же	1	1
173	коем случае не	1	1
174	потому что они	4	1
175	мы видим таким	1	1
176	было бы сказать	2	1
177	то возникает другой	1	1
